runId,phase,effectiveMode,modeName,robotId,taskSeq,pickupNode,destNode,taskStartSim,toPickupSec,deliveryLegSec,returnSec,totalSec,expOutSec,expInSec,hopsToStore,hopsToDest,hopsReturn,crowdednessLevel,numRobots,numOrders,randomSeed
20260514_150611,0,0,SSP,0,1,node50,node33,0.00,15.32,12.62,0.00,27.93,66.00,49.07,1,7,0,1,1,20,6131
20260514_150611,0,0,SSP,0,2,node49,node46,27.93,11.24,9.70,0.00,20.93,0.00,46.11,0,6,0,1,1,20,6131
20260514_150611,0,0,SSP,0,3,node13,node33,48.87,6.82,20.71,0.00,27.52,0.00,89.05,0,6,0,1,1,20,6131
20260514_150611,0,0,SSP,0,4,node49,node22,76.39,9.59,18.17,0.00,27.75,0.00,87.88,0,8,0,1,1,20,6131
20260514_150611,0,0,SSP,0,5,node13,node38,104.14,8.96,12.33,0.00,21.29,0.00,63.02,0,7,0,1,1,20,6131
20260514_150611,0,0,SSP,0,6,node59,node62,125.44,5.62,2.10,0.00,7.73,0.00,10.52,0,1,0,1,1,20,6131
20260514_150611,0,0,SSP,0,7,node59,node27,133.16,2.55,17.01,0.00,19.57,0.00,82.68,0,9,0,1,1,20,6131
20260514_150611,0,0,SSP,0,8,node50,node24,152.73,16.17,13.88,0.00,30.05,0.00,65.08,0,5,0,1,1,20,6131
20260514_150611,0,0,SSP,0,9,node50,node17,182.78,15.26,10.62,0.00,25.88,0.00,54.52,0,4,0,1,1,20,6131
20260514_150611,0,0,SSP,0,10,node13,node58,208.66,5.10,8.80,0.00,13.90,0.00,47.41,0,3,0,1,1,20,6131
20260514_150611,0,0,SSP,0,11,node50,node46,222.56,8.35,10.46,0.00,18.81,0.00,60.96,0,5,0,1,1,20,6131
20260514_150611,0,0,SSP,0,12,node13,node43,241.37,8.09,6.79,0.00,14.88,0.00,27.95,0,4,0,1,1,20,6131
20260514_150611,0,0,SSP,0,13,node59,node42,256.25,5.05,4.46,0.00,9.51,0.00,27.49,0,3,0,1,1,20,6131
