runId,phase,effectiveMode,modeName,robotId,taskSeq,pickupNode,destNode,taskStartSim,toPickupSec,deliveryLegSec,returnSec,totalSec,expOutSec,expInSec,hopsToStore,hopsToDest,hopsReturn,crowdednessLevel,numRobots,numOrders,randomSeed
20260514_151906,0,0,SSP,0,1,node5,node73,0.00,4.50,17.73,0.00,22.23,34.50,52.42,1,4,0,1,1,20,4639
20260514_151906,0,0,SSP,0,2,node18,node38,22.23,6.91,12.90,0.00,19.81,0.00,64.97,0,10,0,1,1,20,4639
20260514_151906,0,0,SSP,0,3,node44,node69,42.04,7.59,15.87,0.00,23.47,0.00,70.10,0,8,0,1,1,20,4639
20260514_151906,0,0,SSP,0,4,node11,node14,65.51,3.56,7.92,0.00,11.48,0.00,38.77,0,5,0,1,1,20,4639
20260514_151906,0,0,SSP,0,5,node18,node28,76.99,5.38,14.59,0.00,19.97,0.00,73.13,0,10,0,1,1,20,4639
20260514_151906,0,0,SSP,0,6,node5,node68,96.96,8.30,4.53,0.00,12.83,0.00,20.36,0,3,0,1,1,20,4639
20260514_151906,0,0,SSP,0,7,node11,node71,109.79,5.44,3.65,0.00,9.09,0.00,17.27,0,2,0,1,1,20,4639
20260514_151906,0,0,SSP,0,8,node11,node33,118.88,5.01,18.73,0.00,23.74,0.00,80.08,0,9,0,1,1,20,4639
20260514_151906,0,0,SSP,0,9,node5,node22,142.62,11.28,18.91,0.00,30.19,0.00,88.47,0,7,0,1,1,20,4639
20260514_151906,0,0,SSP,0,10,node18,node74,172.81,6.18,6.64,0.00,12.82,0.00,33.74,0,5,0,1,1,20,4639
20260514_151906,0,0,SSP,0,11,node18,node59,185.63,7.26,11.12,0.00,18.38,0.00,47.40,0,6,0,1,1,20,4639
20260514_151906,0,0,SSP,0,12,node44,node29,204.01,5.49,26.29,0.00,31.78,0.00,114.84,0,12,0,1,1,20,4639
20260514_151906,0,0,SSP,0,13,node5,node70,235.79,9.18,13.63,0.00,22.82,0.00,59.03,0,4,0,1,1,20,4639
20260514_151906,0,0,SSP,0,14,node18,node63,258.61,10.51,6.65,0.00,17.16,0.00,31.05,0,4,0,1,1,20,4639
20260514_151906,0,0,SSP,0,15,node44,node28,275.77,5.58,22.78,0.00,28.37,0.00,108.64,0,11,0,1,1,20,4639
