runId,phase,effectiveMode,modeName,numRobots,numOrders,crowdednessLevel,randomSeed,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,robot0Tasks,robot1Tasks,robot2Tasks,robot3Tasks,robot4Tasks,robot5Tasks,robot6Tasks,robot7Tasks,robot8Tasks,robot9Tasks,robot0TotalSec,robot1TotalSec,robot2TotalSec,robot3TotalSec,robot4TotalSec,robot5TotalSec,robot6TotalSec,robot7TotalSec,robot8TotalSec,robot9TotalSec
20260514_150157,0,0,SSP,1,20,1,3719,357.00,20,17.83,4.24,36.03,7.34,10.49,0.00,20,0,0,0,0,0,0,0,0,0,356.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_150157,1,1,EV,1,20,1,3719,332.50,20,16.61,3.97,27.81,6.91,9.70,0.00,20,0,0,0,0,0,0,0,0,0,332.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_150157,2,2,EA,1,20,1,3719,347.00,20,17.35,4.24,32.09,7.38,9.97,0.00,20,0,0,0,0,0,0,0,0,0,346.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         357.00
# EV          332.50
# EA          347.00
# SSP     vs best: +6.9%
# EV      vs best: +0.0%
# EA      vs best: +4.2%
20260514_150157,0,0,SSP,2,20,1,3719,175.50,20,16.49,4.74,28.20,6.49,9.99,0.00,9,11,0,0,0,0,0,0,0,0,154.39,175.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_150157,1,1,EV,2,20,1,3719,162.00,20,15.79,3.97,28.08,6.34,9.45,0.00,10,10,0,0,0,0,0,0,0,0,161.86,153.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_150157,2,2,EA,2,20,1,3719,158.00,20,15.29,3.97,29.91,5.70,9.59,0.00,10,10,0,0,0,0,0,0,0,0,147.98,157.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         175.50
# EV          162.00
# EA          158.00
# SSP     vs best: +10.0%
# EV      vs best: +2.5%
# EA      vs best: +0.0%
