runId,phase,effectiveMode,modeName,numRobots,numOrders,crowdednessLevel,randomSeed,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,robot0Tasks,robot1Tasks,robot2Tasks,robot3Tasks,robot4Tasks,robot5Tasks,robot6Tasks,robot7Tasks,robot8Tasks,robot9Tasks,robot0TotalSec,robot1TotalSec,robot2TotalSec,robot3TotalSec,robot4TotalSec,robot5TotalSec,robot6TotalSec,robot7TotalSec,robot8TotalSec,robot9TotalSec
20260514_151726,0,0,SSP,1,20,1,3593,370.50,20,18.52,5.86,24.95,7.65,10.87,0.00,20,0,0,0,0,0,0,0,0,0,370.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151726,1,1,EV,1,20,1,3593,368.50,20,18.41,6.16,23.38,7.38,11.03,0.00,20,0,0,0,0,0,0,0,0,0,368.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151726,2,2,EA,1,20,1,3593,357.00,20,17.83,4.71,24.15,6.92,10.91,0.00,20,0,0,0,0,0,0,0,0,0,356.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         370.50
# EV          368.50
# EA          357.00
# SSP     vs best: +3.6%
# EV      vs best: +3.1%
# EA      vs best: +0.0%
20260514_151726,0,0,SSP,2,20,1,3593,176.50,20,16.96,4.31,23.35,6.29,10.67,0.00,10,10,0,0,0,0,0,0,0,0,176.08,163.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151726,1,1,EV,2,20,1,3593,174.50,20,17.17,4.09,23.48,6.38,10.79,0.00,10,10,0,0,0,0,0,0,0,0,174.02,169.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151726,2,2,EA,2,20,1,3593,189.00,20,17.70,6.85,28.76,6.88,10.82,0.00,9,11,0,0,0,0,0,0,0,0,165.05,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         176.50
# EV          174.50
# EA          189.00
# SSP     vs best: +1.1%
# EV      vs best: +0.0%
# EA      vs best: +7.7%
20260514_151726,0,0,SSP,3,20,1,3593,123.50,20,17.44,4.31,25.42,6.30,11.14,0.00,6,7,7,0,0,0,0,0,0,0,123.49,117.58,107.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151726,1,1,EV,3,20,1,3593,122.50,20,17.43,4.09,24.21,6.19,11.24,0.00,6,7,7,0,0,0,0,0,0,0,115.75,122.01,110.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151726,2,2,EA,3,20,1,3593,129.00,20,18.14,5.95,33.46,7.05,11.08,0.00,6,7,7,0,0,0,0,0,0,0,109.51,124.72,128.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         123.50
# EV          122.50
# EA          129.00
# SSP     vs best: +0.8%
# EV      vs best: +0.0%
# EA      vs best: +5.0%
20260514_151726,0,0,SSP,4,20,1,3593,99.50,20,18.23,4.94,25.98,7.39,10.84,0.00,4,6,5,5,0,0,0,0,0,0,87.98,99.29,91.63,85.66,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151726,1,1,EV,4,20,1,3593,103.00,20,18.01,4.09,26.54,7.22,10.79,0.00,4,6,5,5,0,0,0,0,0,0,84.20,102.88,88.43,84.61,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151726,2,2,EA,4,20,1,3593,93.50,20,16.99,8.81,23.73,6.14,10.85,0.00,4,5,5,6,0,0,0,0,0,0,88.38,83.25,74.88,93.20,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          99.50
# EV          103.00
# EA           93.50
# SSP     vs best: +6.0%
# EV      vs best: +9.2%
# EA      vs best: +0.0%
20260514_151726,0,0,SSP,5,20,1,3593,82.00,20,17.26,6.97,26.35,6.98,10.28,0.00,3,5,4,4,4,0,0,0,0,0,68.17,81.51,64.14,70.24,61.19,0.00,0.00,0.00,0.00,0.00
20260514_151726,1,1,EV,5,20,1,3593,86.00,20,17.48,8.51,26.56,6.87,10.61,0.00,4,4,4,4,4,0,0,0,0,0,85.55,65.42,61.28,75.87,61.46,0.00,0.00,0.00,0.00,0.00
20260514_151726,2,2,EA,5,20,1,3593,77.50,20,17.54,10.01,23.95,6.21,11.33,0.00,3,4,4,4,5,0,0,0,0,0,68.35,73.14,68.00,63.93,77.38,0.00,0.00,0.00,0.00,0.00

