runId,phase,effectiveMode,modeName,robotId,taskSeq,pickupNode,destNode,taskStartSim,toPickupSec,deliveryLegSec,returnSec,totalSec,expOutSec,expInSec,hopsToStore,hopsToDest,hopsReturn,crowdednessLevel,numRobots,numOrders,randomSeed
20260514_150303,0,0,SSP,0,1,node28,node41,0.00,4.54,24.54,0.00,29.07,26.07,100.59,1,12,0,1,1,20,4253
20260514_150303,0,0,SSP,0,2,node42,node31,29.07,1.15,15.80,0.00,16.95,0.00,78.44,0,11,0,1,1,20,4253
20260514_150303,0,0,SSP,0,3,node28,node67,46.02,4.04,1.48,0.00,5.52,0.00,7.38,0,1,0,1,1,20,4253
20260514_150303,0,0,SSP,0,4,node28,node14,51.54,1.48,13.71,0.00,15.18,0.00,56.83,0,7,0,1,1,20,4253
20260514_150303,0,0,SSP,0,5,node46,node59,66.72,4.09,8.85,0.00,12.95,0.00,40.89,0,5,0,1,1,20,4253
20260514_150303,0,0,SSP,0,6,node42,node45,79.67,6.85,3.99,0.00,10.84,0.00,20.05,0,3,0,1,1,20,4253
20260514_150303,0,0,SSP,0,7,node46,node67,90.51,1.33,16.76,0.00,18.09,0.00,69.91,0,9,0,1,1,20,4253
20260514_150303,0,0,SSP,0,8,node28,node38,108.59,1.79,16.48,0.00,18.27,0.00,69.65,0,9,0,1,1,20,4253
20260514_150303,0,0,SSP,0,9,node46,node68,126.87,11.10,12.92,0.00,24.02,0.00,61.79,0,8,0,1,1,20,4253
20260514_150303,0,0,SSP,0,10,node28,node19,150.88,3.10,13.11,0.00,16.21,0.00,65.75,0,9,0,1,1,20,4253
20260514_150303,0,0,SSP,0,11,node19,node24,167.10,0.00,8.25,0.00,8.25,0.00,38.32,0,5,0,1,1,20,4253
20260514_150303,0,0,SSP,0,12,node28,node8,175.35,5.79,11.90,0.00,17.69,0.00,51.70,0,4,0,1,1,20,4253
20260514_150303,0,0,SSP,0,13,node28,node44,193.03,9.31,19.85,0.00,29.16,0.00,108.85,0,11,0,1,1,20,4253
20260514_150303,0,0,SSP,0,14,node46,node36,222.19,2.69,14.41,0.00,17.10,0.00,64.04,0,10,0,1,1,20,4253
20260514_150303,0,0,SSP,0,15,node19,node6,239.29,20.29,16.60,0.00,36.89,0.00,72.49,0,6,0,1,1,20,4253
20260514_150303,0,0,SSP,0,16,node19,node59,276.18,14.84,10.35,0.00,25.19,0.00,54.78,0,7,0,1,1,20,4253
20260514_150303,0,0,SSP,0,17,node19,node47,301.37,13.11,12.30,0.00,25.41,0.00,67.61,0,9,0,1,1,20,4253
20260514_150303,0,0,SSP,0,18,node19,node25,326.78,14.02,9.97,0.00,23.99,0.00,45.35,0,6,0,1,1,20,4253
20260514_150303,0,0,SSP,0,19,node19,node9,350.77,9.77,9.23,0.00,19.00,0.00,53.82,0,7,0,1,1,20,4253
20260514_150303,0,0,SSP,0,20,node19,node10,369.77,11.98,9.59,0.00,21.58,0.00,44.07,0,6,0,1,1,20,4253
20260514_150303,1,1,EV,0,1,node28,node41,391.50,3.97,19.79,0.00,23.77,26.07,88.62,1,12,0,1,1,20,4253
20260514_150303,1,1,EV,0,2,node42,node31,415.27,1.15,15.55,0.00,16.70,0.00,78.44,0,11,0,1,1,20,4253
20260514_150303,1,1,EV,0,3,node28,node67,431.97,4.30,1.48,0.00,5.78,0.00,7.38,0,1,0,1,1,20,4253
20260514_150303,1,1,EV,0,4,node28,node14,437.75,1.48,13.59,0.00,15.06,0.00,56.83,0,7,0,1,1,20,4253
20260514_150303,1,1,EV,0,5,node46,node59,452.81,4.69,9.38,0.00,14.07,0.00,40.89,0,5,0,1,1,20,4253
20260514_150303,1,1,EV,0,6,node42,node45,466.88,7.73,4.85,0.00,12.57,0.00,20.05,0,3,0,1,1,20,4253
20260514_150303,1,1,EV,0,7,node46,node67,479.45,1.62,15.66,0.00,17.27,0.00,69.91,0,9,0,1,1,20,4253
20260514_150303,1,1,EV,0,8,node28,node38,496.72,1.48,14.74,0.00,16.21,0.00,69.65,0,9,0,1,1,20,4253
20260514_150303,1,1,EV,0,9,node46,node68,512.93,11.67,13.90,0.00,25.57,0.00,61.79,0,8,0,1,1,20,4253
20260514_150303,1,1,EV,0,10,node28,node19,538.51,3.45,14.65,0.00,18.10,0.00,65.75,0,9,0,1,1,20,4253
20260514_150303,1,1,EV,0,11,node19,node24,556.60,0.00,7.88,0.00,7.88,0.00,38.32,0,5,0,1,1,20,4253
20260514_150303,1,1,EV,0,12,node28,node8,564.48,5.80,9.37,0.00,15.17,0.00,49.38,0,5,0,1,1,20,4253
20260514_150303,1,1,EV,0,13,node28,node44,579.66,9.05,20.58,0.00,29.63,0.00,89.68,0,11,0,1,1,20,4253
20260514_150303,1,1,EV,0,14,node46,node36,609.28,3.27,15.01,0.00,18.28,0.00,64.04,0,10,0,1,1,20,4253
20260514_150303,1,1,EV,0,15,node19,node6,627.56,21.29,12.65,0.00,33.94,0.00,70.16,0,7,0,1,1,20,4253
20260514_150303,1,1,EV,0,16,node19,node59,661.50,14.43,9.51,0.00,23.94,0.00,54.78,0,7,0,1,1,20,4253
20260514_150303,1,1,EV,0,17,node19,node47,685.44,11.66,12.33,0.00,23.99,0.00,67.61,0,9,0,1,1,20,4253
20260514_150303,1,1,EV,0,18,node19,node25,709.43,15.05,9.65,0.00,24.71,0.00,45.35,0,6,0,1,1,20,4253
20260514_150303,1,1,EV,0,19,node19,node9,734.13,10.37,9.22,0.00,19.59,0.00,53.82,0,7,0,1,1,20,4253
20260514_150303,1,1,EV,0,20,node19,node10,753.73,11.67,8.75,0.00,20.42,0.00,44.07,0,6,0,1,1,20,4253
20260514_150303,2,2,EA,0,1,node28,node67,774.50,4.28,2.27,0.00,6.54,26.07,7.38,1,1,0,1,1,20,4253
20260514_150303,2,2,EA,0,2,node28,node19,781.04,1.48,14.44,0.00,15.91,0.00,65.75,0,9,0,1,1,20,4253
20260514_150303,2,2,EA,0,3,node19,node24,796.96,0.00,8.56,0.00,8.56,0.00,38.32,0,5,0,1,1,20,4253
20260514_150303,2,2,EA,0,4,node19,node25,805.52,7.98,8.97,0.00,16.95,0.00,45.35,0,6,0,1,1,20,4253
20260514_150303,2,2,EA,0,5,node28,node14,822.46,4.08,13.91,0.00,17.99,0.00,56.83,0,7,0,1,1,20,4253
20260514_150303,2,2,EA,0,6,node42,node45,840.45,7.15,4.28,0.00,11.43,0.00,20.05,0,3,0,1,1,20,4253
20260514_150303,2,2,EA,0,7,node46,node59,851.88,1.33,7.76,0.00,9.09,0.00,40.89,0,5,0,1,1,20,4253
20260514_150303,2,2,EA,0,8,node46,node68,860.97,9.53,14.61,0.00,24.14,0.00,61.79,0,8,0,1,1,20,4253
20260514_150303,2,2,EA,0,9,node28,node8,885.12,3.42,8.86,0.00,12.27,0.00,49.38,0,5,0,1,1,20,4253
20260514_150303,2,2,EA,0,10,node19,node10,897.39,13.46,8.46,0.00,21.92,0.00,44.07,0,6,0,1,1,20,4253
20260514_150303,2,2,EA,0,11,node28,node41,919.31,5.94,21.04,0.00,26.98,0.00,88.62,0,12,0,1,1,20,4253
20260514_150303,2,2,EA,0,12,node42,node31,946.29,1.15,19.06,0.00,20.21,0.00,78.44,0,11,0,1,1,20,4253
20260514_150303,2,2,EA,0,13,node28,node44,966.50,4.57,18.98,0.00,23.55,0.00,89.68,0,11,0,1,1,20,4253
20260514_150303,2,2,EA,0,14,node46,node67,990.05,2.69,16.73,0.00,19.42,0.00,69.91,0,9,0,1,1,20,4253
20260514_150303,2,2,EA,0,15,node28,node38,1009.46,1.48,14.90,0.00,16.38,0.00,69.65,0,9,0,1,1,20,4253
20260514_150303,2,2,EA,0,16,node19,node59,1025.84,16.21,10.54,0.00,26.75,0.00,54.78,0,7,0,1,1,20,4253
20260514_150303,2,2,EA,0,17,node19,node9,1052.59,12.50,9.48,0.00,21.98,0.00,53.82,0,7,0,1,1,20,4253
20260514_150303,2,2,EA,0,18,node19,node47,1074.57,10.31,12.86,0.00,23.17,0.00,67.61,0,9,0,1,1,20,4253
20260514_150303,2,2,EA,0,19,node19,node6,1097.74,14.62,13.83,0.00,28.45,0.00,70.16,0,7,0,1,1,20,4253
20260514_150303,2,2,EA,0,20,node46,node36,1126.20,12.01,14.38,0.00,26.39,0.00,64.04,0,10,0,1,1,20,4253
20260514_150303,0,0,SSP,0,1,node28,node67,1153.00,4.74,2.75,0.00,7.49,26.07,7.38,1,1,0,1,2,20,4253
20260514_150303,0,0,SSP,0,2,node28,node14,1160.49,1.48,12.32,0.00,13.80,0.00,56.83,0,7,0,1,2,20,4253
20260514_150303,0,0,SSP,1,1,node28,node41,1153.00,9.80,20.10,0.00,29.89,42.85,100.59,1,12,0,1,2,20,4253
20260514_150303,0,0,SSP,0,3,node46,node59,1174.28,4.97,7.76,0.00,12.73,0.00,40.89,0,5,0,1,2,20,4253
20260514_150303,0,0,SSP,0,4,node42,node45,1187.01,6.68,4.56,0.00,11.24,0.00,20.05,0,3,0,1,2,20,4253
20260514_150303,0,0,SSP,1,2,node42,node31,1182.89,1.15,15.24,0.00,16.39,0.00,78.44,0,11,0,1,2,20,4253
20260514_150303,0,0,SSP,0,5,node46,node67,1198.26,1.62,17.68,0.00,19.30,0.00,69.91,0,9,0,1,2,20,4253
20260514_150303,0,0,SSP,1,3,node28,node38,1199.28,4.04,17.00,0.00,21.04,0.00,69.65,0,9,0,1,2,20,4253
20260514_150303,0,0,SSP,0,6,node28,node19,1217.55,1.79,13.11,0.00,14.90,0.00,65.75,0,9,0,1,2,20,4253
20260514_150303,0,0,SSP,0,7,node19,node24,1232.46,0.00,8.18,0.00,8.18,0.00,38.32,0,5,0,1,2,20,4253
20260514_150303,0,0,SSP,1,4,node46,node68,1220.33,10.87,12.92,0.00,23.79,0.00,61.79,0,8,0,1,2,20,4253
20260514_150303,0,0,SSP,0,8,node28,node8,1240.64,6.05,15.40,0.00,21.44,0.00,51.70,0,4,0,1,2,20,4253
20260514_150303,0,0,SSP,1,5,node28,node44,1244.12,3.42,19.62,0.00,23.03,0.00,108.85,0,11,0,1,2,20,4253
20260514_150303,0,0,SSP,1,6,node46,node36,1267.15,2.69,13.88,0.00,16.58,0.00,64.04,0,10,0,1,2,20,4253
20260514_150303,0,0,SSP,0,9,node19,node6,1262.08,12.80,16.61,0.00,29.41,0.00,72.49,0,6,0,1,2,20,4253
20260514_150303,0,0,SSP,1,7,node19,node59,1283.72,19.23,9.49,0.00,28.72,0.00,54.78,0,7,0,1,2,20,4253
20260514_150303,0,0,SSP,0,10,node19,node47,1291.49,14.92,11.78,0.00,26.71,0.00,67.61,0,9,0,1,2,20,4253
20260514_150303,0,0,SSP,1,8,node19,node25,1312.44,12.35,8.97,0.00,21.32,0.00,45.35,0,6,0,1,2,20,4253
