runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260514_145139,7,2,2,EA,102.50,20,28.38,7.87,49.71,9.90,18.48,0.00,20,2,1031
20260514_145139,8,0,0,SSP,102.50,20,29.63,3.55,66.75,10.85,18.78,0.00,20,2,1031
20260514_145139,8,1,1,EV,94.00,20,27.87,2.70,61.61,10.31,17.56,0.00,20,2,1031
20260514_145139,8,2,2,EA,94.50,20,28.79,12.25,52.26,10.62,18.17,0.00,20,2,1031
20260514_145139,9,0,0,SSP,96.50,20,29.56,2.70,62.25,10.60,18.97,0.00,20,2,1031
20260514_145139,9,1,1,EV,93.50,20,28.36,2.70,58.40,10.85,17.51,0.00,20,2,1031
20260514_145139,9,2,2,EA,104.00,20,28.50,9.91,60.68,9.62,18.88,0.00,20,2,1031
20260514_145139,10,0,0,SSP,84.00,20,29.68,6.62,48.42,10.14,19.54,0.00,20,2,1031
20260514_145139,10,1,1,EV,80.00,20,28.57,6.72,45.14,10.08,18.48,0.00,20,2,1031
20260514_145139,10,2,2,EA,76.50,20,27.20,7.04,47.05,9.81,17.39,0.00,20,2,1031
20260514_145139,1,0,0,SSP,750.00,20,37.50,10.47,67.88,14.06,23.44,0.00,20,3,1031
20260514_145139,1,1,1,EV,750.50,20,37.52,10.97,72.02,13.66,23.86,0.00,20,3,1031
20260514_145139,1,2,2,EA,783.50,20,39.17,14.90,95.79,15.71,23.46,0.00,20,3,1031
20260514_145139,2,0,0,SSP,414.00,20,38.71,13.76,66.25,13.97,24.74,0.00,20,3,1031
20260514_145139,2,1,1,EV,387.00,20,36.06,12.35,70.31,12.68,23.38,0.00,20,3,1031
20260514_145139,2,2,2,EA,416.50,20,39.99,15.49,78.47,15.60,24.39,0.00,20,3,1031
20260514_145139,3,0,0,SSP,284.50,20,40.12,5.11,74.77,15.26,24.86,0.00,20,3,1031
20260514_145139,3,1,1,EV,283.00,20,38.39,3.41,67.50,14.26,24.13,0.00,20,3,1031
20260514_145139,3,2,2,EA,297.50,20,38.61,3.41,71.75,15.13,23.48,0.00,20,3,1031
20260514_145139,4,0,0,SSP,232.50,20,38.49,2.55,72.96,14.09,24.40,0.00,20,3,1031
20260514_145139,4,1,1,EV,210.50,20,36.79,5.53,88.32,13.82,22.97,0.00,20,3,1031
20260514_145139,4,2,2,EA,222.00,20,34.58,3.41,76.75,11.38,23.20,0.00,20,3,1031
20260514_145139,5,0,0,SSP,194.50,20,41.97,3.83,101.00,17.14,24.83,0.00,20,3,1031
20260514_145139,5,1,1,EV,193.50,20,38.71,3.83,77.42,15.32,23.39,0.00,20,3,1031
20260514_145139,5,2,2,EA,184.50,20,36.30,11.60,67.22,13.04,23.27,0.00,20,3,1031
20260514_145139,6,0,0,SSP,193.00,20,40.78,3.41,93.35,15.79,24.99,0.00,20,3,1031
20260514_145139,6,1,1,EV,139.50,20,38.70,3.41,67.21,15.44,23.25,0.00,20,3,1031
20260514_145139,6,2,2,EA,134.50,20,35.00,10.55,64.16,12.23,22.77,0.00,20,3,1031
20260514_145139,7,0,0,SSP,136.00,20,37.71,3.41,96.16,13.17,24.54,0.00,20,3,1031
20260514_145139,7,1,1,EV,155.00,20,37.30,5.53,83.39,14.11,23.19,0.00,20,3,1031
20260514_145139,7,2,2,EA,150.50,20,36.45,7.30,81.93,12.93,23.52,0.00,20,3,1031
20260514_145139,8,0,0,SSP,149.50,20,38.64,3.83,91.20,13.76,24.88,0.00,20,3,1031
20260514_145139,8,1,1,EV,129.50,20,36.92,4.68,86.53,13.91,23.01,0.00,20,3,1031
20260514_145139,8,2,2,EA,131.50,20,37.49,18.56,75.57,13.87,23.62,0.00,20,3,1031
20260514_145139,9,0,0,SSP,126.50,20,39.14,3.41,76.07,14.35,24.79,0.00,20,3,1031
20260514_145139,9,1,1,EV,128.00,20,37.23,4.26,88.47,14.10,23.13,0.00,20,3,1031
20260514_145139,9,2,2,EA,109.50,20,36.45,10.29,58.84,12.73,23.72,0.00,20,3,1031
20260514_145139,10,0,0,SSP,110.00,20,38.35,6.77,59.74,13.17,25.18,0.00,20,3,1031
20260514_145139,10,1,1,EV,114.00,20,38.19,8.79,71.25,13.50,24.69,0.00,20,3,1031
20260514_145139,10,2,2,EA,128.00,20,35.34,7.97,84.29,13.27,22.07,0.00,20,3,1031
20260514_145139,1,0,0,SSP,930.50,20,46.51,16.32,92.04,16.21,30.30,0.00,20,4,1031
20260514_145139,1,1,1,EV,875.00,20,43.73,16.59,89.27,15.94,27.80,0.00,20,4,1031
