runId,phase,effectiveMode,modeName,numRobots,numOrders,crowdednessLevel,randomSeed,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,robot0Tasks,robot1Tasks,robot2Tasks,robot3Tasks,robot4Tasks,robot5Tasks,robot6Tasks,robot7Tasks,robot8Tasks,robot9Tasks,robot0TotalSec,robot1TotalSec,robot2TotalSec,robot3TotalSec,robot4TotalSec,robot5TotalSec,robot6TotalSec,robot7TotalSec,robot8TotalSec,robot9TotalSec
20260514_151955,0,0,SSP,1,20,1,5179,364.50,20,18.21,7.50,34.75,7.05,11.16,0.00,20,0,0,0,0,0,0,0,0,0,364.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151955,1,1,EV,1,20,1,5179,351.50,20,17.57,6.58,29.46,7.23,10.34,0.00,20,0,0,0,0,0,0,0,0,0,351.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151955,2,2,EA,1,20,1,5179,324.00,20,16.18,6.35,29.66,5.99,10.19,0.00,20,0,0,0,0,0,0,0,0,0,323.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         364.50
# EV          351.50
# EA          324.00
# SSP     vs best: +11.1%
# EV      vs best: +7.8%
# EA      vs best: +0.0%
20260514_151955,0,0,SSP,2,20,1,5179,181.00,20,17.68,6.12,32.00,7.24,10.45,0.00,9,11,0,0,0,0,0,0,0,0,180.61,173.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151955,1,1,EV,2,20,1,5179,179.50,20,17.45,5.87,27.73,7.14,10.30,0.00,9,11,0,0,0,0,0,0,0,0,179.40,169.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151955,2,2,EA,2,20,1,5179,172.50,20,16.41,5.77,28.66,5.95,10.45,0.00,10,10,0,0,0,0,0,0,0,0,155.97,172.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         181.00
# EV          179.50
# EA          172.50
# SSP     vs best: +4.7%
# EV      vs best: +3.9%
# EA      vs best: +0.0%
20260514_151955,0,0,SSP,3,20,1,5179,120.00,20,16.80,3.67,29.94,6.57,10.23,0.00,9,4,7,0,0,0,0,0,0,0,119.64,101.26,115.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151955,1,1,EV,3,20,1,5179,119.50,20,16.98,3.44,34.19,6.72,10.26,0.00,7,5,8,0,0,0,0,0,0,0,101.29,119.15,119.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151955,2,2,EA,3,20,1,5179,117.00,20,16.57,3.86,26.00,5.95,10.62,0.00,7,6,7,0,0,0,0,0,0,0,116.05,98.50,116.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         120.00
# EV          119.50
# EA          117.00
# SSP     vs best: +2.5%
# EV      vs best: +2.1%
# EA      vs best: +0.0%
20260514_151955,0,0,SSP,4,20,1,5179,99.50,20,17.89,7.29,32.36,7.29,10.60,0.00,5,4,4,7,0,0,0,0,0,0,86.28,94.16,78.08,99.37,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151955,1,1,EV,4,20,1,5179,94.50,20,17.00,5.86,30.82,7.10,9.90,0.00,5,4,5,6,0,0,0,0,0,0,81.66,88.48,94.25,75.63,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151955,2,2,EA,4,20,1,5179,93.50,20,16.44,6.53,27.30,6.35,10.10,0.00,4,5,6,5,0,0,0,0,0,0,72.96,93.27,88.67,73.98,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          99.50
# EV           94.50
# EA           93.50
# SSP     vs best: +6.0%
# EV      vs best: +1.1%
# EA      vs best: +0.0%
