runId,phase,effectiveMode,modeName,numRobots,numOrders,crowdednessLevel,randomSeed,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,robot0Tasks,robot1Tasks,robot2Tasks,robot3Tasks,robot4Tasks,robot5Tasks,robot6Tasks,robot7Tasks,robot8Tasks,robot9Tasks,robot0TotalSec,robot1TotalSec,robot2TotalSec,robot3TotalSec,robot4TotalSec,robot5TotalSec,robot6TotalSec,robot7TotalSec,robot8TotalSec,robot9TotalSec
20260514_145139,0,0,SSP,1,20,1,1031,364.00,20,18.19,6.35,29.20,7.28,10.91,0.00,20,0,0,0,0,0,0,0,0,0,363.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_145139,1,1,EV,1,20,1,1031,357.50,20,17.87,6.35,28.69,7.01,10.86,0.00,20,0,0,0,0,0,0,0,0,0,357.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_145139,2,2,EA,1,20,1,1031,366.50,20,18.31,7.07,41.00,7.59,10.73,0.00,20,0,0,0,0,0,0,0,0,0,366.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         364.00
# EV          357.50
# EA          366.50
# SSP     vs best: +1.8%
# EV      vs best: +0.0%
# EA      vs best: +2.5%
20260514_145139,0,0,SSP,2,20,1,1031,199.00,20,18.38,6.45,34.20,6.95,11.43,0.00,8,12,0,0,0,0,0,0,0,0,168.93,198.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_145139,1,1,EV,2,20,1,1031,190.50,20,17.45,6.02,32.09,6.82,10.63,0.00,10,10,0,0,0,0,0,0,0,0,190.03,158.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_145139,2,2,EA,2,20,1,1031,197.00,20,17.93,6.38,36.87,7.44,10.49,0.00,9,11,0,0,0,0,0,0,0,0,161.70,196.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         199.00
# EV          190.50
# EA          197.00
# SSP     vs best: +4.3%
# EV      vs best: +0.0%
# EA      vs best: +3.3%
20260514_145139,0,0,SSP,3,20,1,1031,131.00,20,18.67,1.99,30.60,7.64,11.03,0.00,6,7,7,0,0,0,0,0,0,0,130.95,118.95,123.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_145139,1,1,EV,3,20,1,1031,123.00,20,18.01,1.99,29.33,7.39,10.62,0.00,6,7,7,0,0,0,0,0,0,0,122.63,116.78,120.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_145139,2,2,EA,3,20,1,1031,134.50,20,17.71,2.84,33.47,7.03,10.67,0.00,7,6,7,0,0,0,0,0,0,0,134.15,110.27,109.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         131.00
# EV          123.00
# EA          134.50
# SSP     vs best: +6.1%
# EV      vs best: +0.0%
# EA      vs best: +8.6%
20260514_145139,0,0,SSP,4,20,1,1031,99.00,20,17.59,1.99,30.46,6.67,10.92,0.00,4,4,6,6,0,0,0,0,0,0,82.97,79.97,89.92,98.96,0.00,0.00,0.00,0.00,0.00,0.00
20260514_145139,1,1,EV,4,20,1,1031,97.50,20,16.53,2.41,28.87,5.98,10.55,0.00,3,5,6,6,0,0,0,0,0,0,74.57,73.85,84.87,97.36,0.00,0.00,0.00,0.00,0.00,0.00
20260514_145139,2,2,EA,4,20,1,1031,104.00,20,17.16,1.99,35.62,6.51,10.64,0.00,5,4,6,5,0,0,0,0,0,0,85.91,76.82,103.94,76.48,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          99.00
# EV           97.50
# EA          104.00
# SSP     vs best: +1.5%
# EV      vs best: +0.0%
# EA      vs best: +6.3%
20260514_145139,0,0,SSP,5,20,1,1031,89.50,20,17.86,2.41,37.82,6.63,11.24,0.00,4,3,6,3,4,0,0,0,0,0,86.37,89.29,61.68,55.28,64.63,0.00,0.00,0.00,0.00,0.00
20260514_145139,1,1,EV,5,20,1,1031,84.50,20,18.30,1.99,37.51,7.22,11.09,0.00,4,3,5,3,5,0,0,0,0,0,84.02,58.31,65.17,81.72,76.86,0.00,0.00,0.00,0.00,0.00
20260514_145139,2,2,EA,5,20,1,1031,82.00,20,17.87,5.45,34.65,6.97,10.90,0.00,3,4,5,4,4,0,0,0,0,0,60.67,60.16,81.54,78.66,76.29,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          89.50
# EV           84.50
# EA           82.00
# SSP     vs best: +8.4%
# EV      vs best: +3.0%
# EA      vs best: +0.0%
20260514_145139,0,0,SSP,6,20,1,1031,79.00,20,18.73,1.99,38.84,7.58,11.15,0.00,3,3,4,3,4,3,0,0,0,0,55.85,69.73,71.38,78.64,48.54,50.50,0.00,0.00,0.00,0.00
20260514_145139,1,1,EV,6,20,1,1031,73.50,20,18.11,1.99,28.63,6.81,11.30,0.00,3,2,4,3,5,3,0,0,0,0,70.20,49.48,59.82,48.19,73.42,61.08,0.00,0.00,0.00,0.00
20260514_145139,2,2,EA,6,20,1,1031,71.00,20,17.74,4.92,34.37,6.68,11.06,0.00,2,3,4,4,3,4,0,0,0,0,49.88,48.75,70.40,70.73,49.05,66.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          79.00
# EV           73.50
# EA           71.00
# SSP     vs best: +10.1%
# EV      vs best: +3.4%
# EA      vs best: +0.0%
20260514_145139,0,0,SSP,7,20,1,1031,63.50,20,17.94,1.99,39.60,6.58,11.36,0.00,3,2,4,2,3,3,3,0,0,0,56.91,46.02,34.99,40.06,56.37,61.18,63.20,0.00,0.00,0.00
