runId,phase,effectiveMode,modeName,robotId,taskSeq,pickupNode,destNode,taskStartSim,toPickupSec,deliveryLegSec,returnSec,totalSec,expOutSec,expInSec,hopsToStore,hopsToDest,hopsReturn,crowdednessLevel,numRobots,numOrders,randomSeed
20260514_145346,0,0,SSP,0,1,node6,node35,0.00,8.88,10.38,0.00,19.26,43.00,44.17,1,6,0,1,1,20,1847
20260514_145346,0,0,SSP,0,2,node40,node50,19.26,6.87,6.07,0.00,12.94,0.00,30.36,0,5,0,1,1,20,1847
20260514_145346,0,0,SSP,0,3,node6,node20,32.20,7.25,12.13,0.00,19.38,0.00,66.22,0,7,0,1,1,20,1847
20260514_145346,0,0,SSP,0,4,node73,node43,51.58,5.67,9.71,0.00,15.38,0.00,36.59,0,5,0,1,1,20,1847
20260514_145346,0,0,SSP,0,5,node40,node63,66.96,4.24,7.62,0.00,11.86,0.00,34.64,0,5,0,1,1,20,1847
20260514_145346,0,0,SSP,0,6,node73,node27,78.82,4.09,10.41,0.00,14.49,0.00,53.52,0,7,0,1,1,20,1847
20260514_145346,0,0,SSP,0,7,node68,node48,93.31,5.46,18.59,0.00,24.05,0.00,70.61,0,6,0,1,1,20,1847
20260514_145346,0,0,SSP,0,8,node40,node31,117.36,3.85,13.99,0.00,17.84,0.00,66.61,0,9,0,1,1,20,1847
20260514_145346,0,0,SSP,0,9,node6,node36,135.20,12.38,8.01,0.00,20.39,0.00,37.97,0,5,0,1,1,20,1847
20260514_145346,0,0,SSP,0,10,node40,node23,155.58,5.94,21.00,0.00,26.93,0.00,104.78,0,11,0,1,1,20,1847
20260514_145346,0,0,SSP,0,11,node73,node51,182.52,6.92,16.54,0.00,23.46,0.00,72.48,0,9,0,1,1,20,1847
20260514_145346,0,0,SSP,0,12,node6,node65,205.98,8.59,4.23,0.00,12.82,0.00,20.16,0,3,0,1,1,20,1847
20260514_145346,0,0,SSP,0,13,node6,node60,218.80,4.94,7.80,0.00,12.73,0.00,36.13,0,5,0,1,1,20,1847
20260514_145346,0,0,SSP,0,14,node73,node46,231.53,7.30,6.60,0.00,13.90,0.00,30.80,0,4,0,1,1,20,1847
20260514_145346,0,0,SSP,0,15,node73,node5,245.44,7.19,13.10,0.00,20.29,0.00,55.56,0,4,0,1,1,20,1847
20260514_145346,0,0,SSP,0,16,node6,node60,265.73,2.08,8.46,0.00,10.54,0.00,36.13,0,5,0,1,1,20,1847
20260514_145346,0,0,SSP,0,17,node73,node8,276.27,8.06,10.52,0.00,18.58,0.00,50.23,0,4,0,1,1,20,1847
20260514_145346,0,0,SSP,0,18,node73,node29,294.85,9.22,13.82,0.00,23.04,0.00,52.69,0,7,0,1,1,20,1847
20260514_145346,0,0,SSP,0,19,node73,node33,317.89,12.84,21.46,0.00,34.30,0.00,102.94,0,8,0,1,1,20,1847
20260514_145346,0,0,SSP,0,20,node73,node17,352.19,24.38,4.87,0.00,29.25,0.00,24.35,0,3,0,1,1,20,1847
20260514_145346,1,1,EV,0,1,node6,node35,381.50,7.28,8.08,0.00,15.36,42.33,44.17,1,6,0,1,1,20,1847
20260514_145346,1,1,EV,0,2,node40,node50,396.86,7.40,7.12,0.00,14.52,0.00,30.36,0,5,0,1,1,20,1847
20260514_145346,1,1,EV,0,3,node6,node20,411.39,5.95,13.28,0.00,19.23,0.00,66.22,0,7,0,1,1,20,1847
20260514_145346,1,1,EV,0,4,node73,node43,430.62,5.95,7.76,0.00,13.72,0.00,36.59,0,5,0,1,1,20,1847
20260514_145346,1,1,EV,0,5,node40,node63,444.34,3.70,8.65,0.00,12.35,0.00,34.64,0,5,0,1,1,20,1847
20260514_145346,1,1,EV,0,6,node73,node27,456.69,4.09,10.25,0.00,14.34,0.00,53.52,0,7,0,1,1,20,1847
20260514_145346,1,1,EV,0,7,node68,node48,471.03,5.49,12.47,0.00,17.96,0.00,60.62,0,9,0,1,1,20,1847
20260514_145346,1,1,EV,0,8,node40,node31,488.99,4.70,15.10,0.00,19.80,0.00,66.61,0,9,0,1,1,20,1847
20260514_145346,1,1,EV,0,9,node6,node36,508.78,11.34,9.18,0.00,20.52,0.00,37.97,0,5,0,1,1,20,1847
20260514_145346,1,1,EV,0,10,node40,node23,529.30,5.89,18.44,0.00,24.33,0.00,88.17,0,13,0,1,1,20,1847
20260514_145346,1,1,EV,0,11,node73,node51,553.63,6.89,13.19,0.00,20.08,0.00,61.67,0,9,0,1,1,20,1847
20260514_145346,1,1,EV,0,12,node6,node65,573.72,10.34,5.16,0.00,15.49,0.00,20.16,0,3,0,1,1,20,1847
20260514_145346,1,1,EV,0,13,node6,node60,589.21,6.15,8.30,0.00,14.45,0.00,36.13,0,5,0,1,1,20,1847
20260514_145346,1,1,EV,0,14,node73,node46,603.66,7.55,6.60,0.00,14.15,0.00,30.80,0,4,0,1,1,20,1847
20260514_145346,1,1,EV,0,15,node73,node5,617.81,6.60,16.77,0.00,23.37,0.00,54.64,0,7,0,1,1,20,1847
20260514_145346,1,1,EV,0,16,node6,node60,641.19,2.08,7.84,0.00,9.92,0.00,36.13,0,5,0,1,1,20,1847
20260514_145346,1,1,EV,0,17,node73,node8,651.11,7.03,11.12,0.00,18.15,0.00,44.71,0,4,0,1,1,20,1847
20260514_145346,1,1,EV,0,18,node73,node29,669.26,8.56,11.20,0.00,19.76,0.00,52.69,0,7,0,1,1,20,1847
20260514_145346,1,1,EV,0,19,node73,node33,689.01,13.09,17.75,0.00,30.84,0.00,83.65,0,11,0,1,1,20,1847
20260514_145346,1,1,EV,0,20,node73,node17,719.85,19.47,5.47,0.00,24.94,0.00,24.35,0,3,0,1,1,20,1847
20260514_145346,2,2,EA,0,1,node6,node65,745.00,8.23,2.15,0.00,10.38,42.33,20.16,1,3,0,1,1,20,1847
20260514_145346,2,2,EA,0,2,node6,node36,755.38,5.90,9.68,0.00,15.58,0.00,37.97,0,5,0,1,1,20,1847
20260514_145346,2,2,EA,0,3,node40,node63,770.96,5.36,7.35,0.00,12.72,0.00,34.64,0,5,0,1,1,20,1847
20260514_145346,2,2,EA,0,4,node73,node17,783.68,6.16,4.87,0.00,11.03,0.00,24.35,0,3,0,1,1,20,1847
20260514_145346,2,2,EA,0,5,node73,node43,794.71,5.93,7.79,0.00,13.72,0.00,36.59,0,5,0,1,1,20,1847
20260514_145346,2,2,EA,0,6,node40,node50,808.43,4.20,7.12,0.00,11.33,0.00,30.36,0,5,0,1,1,20,1847
20260514_145346,2,2,EA,0,7,node6,node60,819.76,5.35,7.17,0.00,12.52,0.00,36.13,0,5,0,1,1,20,1847
20260514_145346,2,2,EA,0,8,node73,node46,832.28,7.71,7.04,0.00,14.74,0.00,30.80,0,4,0,1,1,20,1847
20260514_145346,2,2,EA,0,9,node73,node5,847.02,6.16,12.92,0.00,19.08,0.00,54.64,0,7,0,1,1,20,1847
20260514_145346,2,2,EA,0,10,node6,node60,866.10,2.08,9.09,0.00,11.17,0.00,36.13,0,5,0,1,1,20,1847
20260514_145346,2,2,EA,0,11,node73,node8,877.27,7.55,11.75,0.00,19.30,0.00,44.71,0,4,0,1,1,20,1847
20260514_145346,2,2,EA,0,12,node6,node35,896.57,6.13,9.00,0.00,15.13,0.00,44.17,0,6,0,1,1,20,1847
20260514_145346,2,2,EA,0,13,node68,node48,911.70,13.21,14.96,0.00,28.17,0.00,60.62,0,9,0,1,1,20,1847
20260514_145346,2,2,EA,0,14,node6,node20,939.87,8.45,12.89,0.00,21.34,0.00,66.22,0,7,0,1,1,20,1847
20260514_145346,2,2,EA,0,15,node73,node51,961.21,6.19,13.84,0.00,20.03,0.00,61.67,0,9,0,1,1,20,1847
20260514_145346,2,2,EA,0,16,node40,node23,981.24,6.76,19.07,0.00,25.83,0.00,88.17,0,13,0,1,1,20,1847
20260514_145346,2,2,EA,0,17,node73,node29,1007.07,7.16,10.92,0.00,18.08,0.00,52.69,0,7,0,1,1,20,1847
20260514_145346,2,2,EA,0,18,node73,node27,1025.15,12.92,10.37,0.00,23.29,0.00,53.52,0,7,0,1,1,20,1847
20260514_145346,2,2,EA,0,19,node73,node33,1048.44,11.73,19.71,0.00,31.44,0.00,83.65,0,11,0,1,1,20,1847
20260514_145346,2,2,EA,0,20,node40,node31,1079.88,9.18,12.89,0.00,22.06,0.00,66.61,0,9,0,1,1,20,1847
20260514_145346,0,0,SSP,1,1,node6,node35,1102.00,3.40,11.17,0.00,14.57,23.17,44.17,1,6,0,1,2,20,1847
20260514_145346,0,0,SSP,0,1,node6,node20,1102.00,4.93,17.45,0.00,22.38,43.00,66.22,1,7,0,1,2,20,1847
20260514_145346,0,0,SSP,1,2,node40,node50,1116.57,6.34,7.12,0.00,13.46,0.00,30.36,0,5,0,1,2,20,1847
20260514_145346,0,0,SSP,0,2,node73,node43,1124.38,6.20,8.66,0.00,14.86,0.00,36.59,0,5,0,1,2,20,1847
20260514_145346,0,0,SSP,1,3,node6,node36,1130.03,5.80,7.76,0.00,13.56,0.00,37.97,0,5,0,1,2,20,1847
20260514_145346,0,0,SSP,0,3,node40,node63,1139.25,3.70,9.58,0.00,13.28,0.00,34.64,0,5,0,1,2,20,1847
20260514_145346,0,0,SSP,1,4,node40,node31,1143.59,5.65,13.19,0.00,18.84,0.00,66.61,0,9,0,1,2,20,1847
