runId,phase,effectiveMode,modeName,simTime,robotId,eventType,pickupNode,destNode,taskSeq,detail
20260513_011158,0,0,SSP,0.000,R0,TASK_CLAIMED,node56,node52,1,"mode=SSP remaining=19"
20260513_011158,0,0,SSP,0.000,R0,DEPART_TO_PICKUP,node56,node52,1,"hops=4"
20260513_011158,0,0,SSP,1.533,R0,DEPART_TO_PICKUP,node56,node52,1,"hops=3"
20260513_011158,0,0,SSP,6.483,R0,DEPART_TO_PICKUP,node56,node52,1,"hops=2"
20260513_011158,0,0,SSP,7.559,R0,DEPART_TO_PICKUP,node56,node52,1,"hops=1"
20260513_011158,0,0,SSP,7.559,R0,ARRIVED_AT_PICKUP,node56,node52,1,"toPickupTime=7.6s"
20260513_011158,0,0,SSP,10.595,R0,ARRIVED_AT_DEST,node56,node52,1,"delivLegTime=3.0s"
20260513_011158,0,0,SSP,10.595,R0,TASK_COMPLETE,node56,node52,1,"total=10.6s toPickup=7.6s delivery=3.0s return=0.0s"
20260513_011158,0,0,SSP,10.595,R0,TASK_CLAIMED,node56,node9,2,"mode=SSP remaining=18"
20260513_011158,0,0,SSP,10.595,R0,DEPART_TO_NEXT_PICKUP,node56,node52,1,"nextPickup=node56"
20260513_011158,0,0,SSP,12.698,R0,DEPART_TO_PICKUP,node56,node9,2,"hops=0"
20260513_011158,0,0,SSP,12.698,R0,ARRIVED_AT_PICKUP,node56,node9,2,"toPickupTime=2.1s"
20260513_011158,0,0,SSP,27.281,R0,ARRIVED_AT_DEST,node56,node9,2,"delivLegTime=14.6s"
20260513_011158,0,0,SSP,27.281,R0,TASK_COMPLETE,node56,node9,2,"total=16.7s toPickup=2.1s delivery=14.6s return=0.0s"
20260513_011158,0,0,SSP,27.281,R0,TASK_CLAIMED,node9,node26,3,"mode=SSP remaining=17"
20260513_011158,0,0,SSP,27.281,R0,DEPART_TO_NEXT_PICKUP,node56,node9,2,"nextPickup=node9"
20260513_011158,0,0,SSP,27.281,R0,DEPART_TO_PICKUP,node9,node26,3,"hops=0"
20260513_011158,0,0,SSP,27.281,R0,ARRIVED_AT_PICKUP,node9,node26,3,"toPickupTime=0.0s"
20260513_011158,0,0,SSP,34.301,R0,ARRIVED_AT_DEST,node9,node26,3,"delivLegTime=7.0s"
20260513_011158,0,0,SSP,34.301,R0,TASK_COMPLETE,node9,node26,3,"total=7.0s toPickup=0.0s delivery=7.0s return=0.0s"
20260513_011158,0,0,SSP,34.301,R0,TASK_CLAIMED,node24,node74,4,"mode=SSP remaining=16"
20260513_011158,0,0,SSP,34.301,R0,DEPART_TO_NEXT_PICKUP,node9,node26,3,"nextPickup=node24"
20260513_011158,0,0,SSP,37.182,R0,DEPART_TO_PICKUP,node24,node74,4,"hops=0"
20260513_011158,0,0,SSP,37.182,R0,ARRIVED_AT_PICKUP,node24,node74,4,"toPickupTime=2.9s"
20260513_011158,0,0,SSP,43.111,R0,ARRIVED_AT_DEST,node24,node74,4,"delivLegTime=5.9s"
