runId,phase,effectiveMode,modeName,numRobots,numOrders,crowdednessLevel,randomSeed,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,robot0Tasks,robot1Tasks,robot2Tasks,robot3Tasks,robot4Tasks,robot5Tasks,robot6Tasks,robot7Tasks,robot8Tasks,robot9Tasks,robot0TotalSec,robot1TotalSec,robot2TotalSec,robot3TotalSec,robot4TotalSec,robot5TotalSec,robot6TotalSec,robot7TotalSec,robot8TotalSec,robot9TotalSec
20260513_010932,0,0,SSP,1,20,1,5,392.50,20,19.62,3.98,38.21,9.19,10.43,0.00,20,0,0,0,0,0,0,0,0,0,392.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_010932,1,1,EV,1,20,1,5,360.00,20,17.99,3.73,36.66,8.53,9.45,0.00,20,0,0,0,0,0,0,0,0,0,359.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_010932,2,2,EA,1,20,1,5,360.00,20,17.98,3.98,39.52,8.20,9.78,0.00,20,0,0,0,0,0,0,0,0,0,359.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         392.50
# EV          360.00
# EA          360.00
# SSP     vs best: +8.3%
# EV      vs best: +0.0%
# EA      vs best: +0.0%
20260513_010932,0,0,SSP,2,20,1,5,194.00,20,18.83,3.10,33.02,8.77,10.06,0.00,11,9,0,0,0,0,0,0,0,0,193.97,182.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_010932,1,1,EV,2,20,1,5,178.50,20,17.82,3.40,38.38,8.46,9.36,0.00,9,11,0,0,0,0,0,0,0,0,178.44,178.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_010932,2,2,EA,2,20,1,5,181.00,20,17.19,3.70,34.95,7.75,9.44,0.00,10,10,0,0,0,0,0,0,0,0,180.93,162.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         194.00
# EV          178.50
# EA          181.00
# SSP     vs best: +8.0%
# EV      vs best: +0.0%
# EA      vs best: +1.4%
20260513_010932,0,0,SSP,3,20,1,5,132.00,20,18.18,3.40,36.15,8.39,9.80,0.00,6,8,6,0,0,0,0,0,0,0,112.10,119.65,131.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_010932,1,1,EV,3,20,1,5,128.50,20,17.26,3.40,34.36,8.15,9.10,0.00,6,9,5,0,0,0,0,0,0,0,103.64,128.44,113.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_010932,2,2,EA,3,20,1,5,116.50,20,16.84,3.10,34.98,7.32,9.52,0.00,6,7,7,0,0,0,0,0,0,0,111.15,116.50,109.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         132.00
# EV          128.50
# EA          116.50
# SSP     vs best: +11.7%
# EV      vs best: +9.3%
# EA      vs best: +0.0%
20260513_010932,0,0,SSP,4,20,1,5,102.00,20,18.95,5.68,37.67,8.39,10.56,0.00,6,5,5,4,0,0,0,0,0,0,101.69,87.45,99.01,90.92,0.00,0.00,0.00,0.00,0.00,0.00
20260513_010932,1,1,EV,4,20,1,5,92.00,20,17.64,6.19,27.62,7.79,9.84,0.00,5,6,5,4,0,0,0,0,0,0,91.61,89.59,83.82,87.69,0.00,0.00,0.00,0.00,0.00,0.00
20260513_010932,2,2,EA,4,20,1,5,94.00,20,16.81,5.68,29.77,7.08,9.74,0.00,4,5,6,5,0,0,0,0,0,0,81.64,68.09,93.97,92.58,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         102.00
# EV           92.00
# EA           94.00
# SSP     vs best: +9.8%
# EV      vs best: +0.0%
# EA      vs best: +2.1%
20260513_010932,0,0,SSP,5,20,1,5,85.50,20,19.19,8.92,31.55,8.88,10.31,0.00,5,4,3,3,5,0,0,0,0,0,85.31,75.49,77.17,62.42,83.37,0.00,0.00,0.00,0.00,0.00
20260513_010932,1,1,EV,5,20,1,5,81.00,20,18.38,9.09,30.53,8.29,10.09,0.00,4,5,3,4,4,0,0,0,0,0,80.76,73.89,73.87,75.68,63.45,0.00,0.00,0.00,0.00,0.00
20260513_010932,2,2,EA,5,20,1,5,81.00,20,16.73,6.38,28.40,7.48,9.25,0.00,3,5,5,4,3,0,0,0,0,0,59.79,80.52,70.90,62.91,60.43,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          85.50
# EV           81.00
# EA           81.00
# SSP     vs best: +5.3%
# EV      vs best: +0.0%
# EA      vs best: +0.0%
20260513_010932,0,0,SSP,6,20,1,5,63.50,20,17.48,9.03,28.78,7.49,9.99,0.00,4,4,3,3,3,3,0,0,0,0,63.06,57.01,51.19,61.30,59.20,57.83,0.00,0.00,0.00,0.00
20260513_010932,1,1,EV,6,20,1,5,62.00,20,17.38,8.47,30.40,7.57,9.81,0.00,3,4,4,3,3,3,0,0,0,0,56.54,61.54,60.19,57.83,56.47,55.04,0.00,0.00,0.00,0.00
20260513_010932,2,2,EA,6,20,1,5,66.00,20,17.18,7.66,33.32,7.26,9.91,0.00,3,3,4,3,3,4,0,0,0,0,64.00,52.93,61.89,42.14,56.71,65.86,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          63.50
# EV           62.00
# EA           66.00
# SSP     vs best: +2.4%
# EV      vs best: +0.0%
# EA      vs best: +6.1%
20260513_010932,0,0,SSP,7,20,1,5,68.00,20,17.78,8.14,36.55,7.52,10.26,0.00,3,3,3,2,2,3,4,0,0,0,41.88,53.70,43.33,67.95,34.11,61.46,53.15,0.00,0.00,0.00
20260513_010932,1,1,EV,7,20,1,5,62.00,20,17.35,7.47,34.25,7.33,10.03,0.00,2,3,3,2,3,3,4,0,0,0,35.74,41.55,54.66,61.69,52.18,47.43,53.85,0.00,0.00,0.00
20260513_010932,2,2,EA,7,20,1,5,67.50,20,16.82,7.76,32.82,6.62,10.20,0.00,3,3,2,3,2,4,3,0,0,0,52.25,54.05,35.55,52.44,38.99,67.37,35.81,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          68.00
# EV           62.00
# EA           67.50
# SSP     vs best: +8.8%
# EV      vs best: +0.0%
# EA      vs best: +8.1%
20260513_010932,0,0,SSP,8,20,1,5,58.50,20,17.72,3.85,34.81,7.60,10.11,0.00,3,2,2,2,2,2,3,4,0,0,37.11,34.21,48.17,40.55,34.52,58.03,54.40,47.35,0.00,0.00
20260513_010932,1,1,EV,8,20,1,5,52.50,20,16.96,3.85,30.25,7.17,9.79,0.00,2,3,2,2,2,2,3,4,0,0,37.88,45.34,45.63,32.42,40.62,37.37,52.30,47.68,0.00,0.00
20260513_010932,2,2,EA,8,20,1,5,56.50,20,15.86,3.10,32.96,6.09,9.77,0.00,2,3,2,2,2,3,3,3,0,0,36.93,37.52,38.92,29.05,32.90,56.07,46.14,39.68,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          58.50
# EV           52.50
# EA           56.50
# SSP     vs best: +10.3%
# EV      vs best: +0.0%
# EA      vs best: +7.1%
20260513_010932,0,0,SSP,9,20,1,5,49.00,20,17.37,3.85,28.15,6.95,10.42,0.00,2,2,2,2,2,2,3,3,2,0,32.83,37.73,46.65,31.20,48.15,47.91,48.95,26.49,27.49,0.00
20260513_010932,1,1,EV,9,20,1,5,47.00,20,16.79,3.85,29.46,6.84,9.94,0.00,2,2,2,2,2,2,3,3,2,0,26.04,37.69,43.77,46.98,46.24,43.30,37.75,26.24,27.73,0.00
20260513_010932,2,2,EA,9,20,1,5,54.50,20,17.12,4.13,32.17,6.79,10.32,0.00,1,2,2,2,2,2,3,3,3,0,24.89,38.74,43.56,38.34,33.97,26.07,54.21,35.05,47.47,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          49.00
# EV           47.00
# EA           54.50
# SSP     vs best: +4.1%
# EV      vs best: +0.0%
# EA      vs best: +13.8%
20260513_010932,0,0,SSP,10,20,1,5,52.50,20,16.90,6.38,35.12,6.57,10.34,0.00,2,2,2,1,2,2,2,2,2,3,41.61,43.54,21.98,29.35,36.71,25.61,22.74,52.36,29.28,34.92
20260513_010932,1,1,EV,10,20,1,5,47.50,20,16.27,6.38,33.63,6.22,10.05,0.00,2,2,2,1,2,2,2,2,2,3,38.66,47.17,22.35,28.97,35.99,33.48,22.74,33.09,27.83,35.14
20260513_010932,2,2,EA,10,20,1,5,51.00,20,15.63,4.47,32.95,5.93,9.70,0.00,1,2,2,1,2,2,3,3,2,2,20.93,37.92,34.84,19.03,38.92,35.11,33.57,50.75,22.99,18.50

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          52.50
# EV           47.50
# EA           51.00
# SSP     vs best: +9.5%
# EV      vs best: +0.0%
# EA      vs best: +6.9%
20260513_010932,0,0,SSP,1,20,2,5,672.00,20,33.59,6.37,56.15,15.32,18.27,0.00,20,0,0,0,0,0,0,0,0,0,671.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_010932,1,1,EV,1,20,2,5,583.50,20,29.16,5.62,52.09,13.56,15.60,0.00,20,0,0,0,0,0,0,0,0,0,583.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_010932,2,2,EA,1,20,2,5,584.00,20,29.20,10.14,54.26,12.82,16.38,0.00,20,0,0,0,0,0,0,0,0,0,583.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         672.00
# EV          583.50
# EA          584.00
# SSP     vs best: +13.2%
# EV      vs best: +0.0%
# EA      vs best: +0.1%
20260513_010932,0,0,SSP,2,20,2,5,299.50,20,29.85,4.70,58.14,13.53,16.32,0.00,9,11,0,0,0,0,0,0,0,0,299.25,297.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
