runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260513_010932,8,0,0,SSP,95.00,20,28.94,5.23,51.61,11.00,17.93,0.00,20,2,5
20260513_010932,8,1,1,EV,87.50,20,27.78,5.83,52.02,11.47,16.31,0.00,20,2,5
20260513_010932,8,2,2,EA,98.50,20,27.04,5.20,55.06,9.25,17.78,0.00,20,2,5
20260513_010932,9,0,0,SSP,81.00,20,27.04,5.48,47.94,10.49,16.55,0.00,20,2,5
20260513_010932,9,1,1,EV,84.00,20,26.51,5.20,50.77,10.66,15.85,0.00,20,2,5
20260513_010932,9,2,2,EA,71.50,20,24.51,4.40,44.77,7.74,16.77,0.00,20,2,5
20260513_010932,10,0,0,SSP,69.00,20,27.15,8.94,48.99,9.94,17.21,0.00,20,2,5
20260513_010932,10,1,1,EV,77.50,20,26.96,6.49,53.34,10.07,16.89,0.00,20,2,5
20260513_010932,10,2,2,EA,70.50,20,23.24,4.70,46.03,6.66,16.59,0.00,20,2,5
20260513_010932,1,0,0,SSP,828.00,20,41.40,9.65,74.83,17.68,23.71,0.00,20,3,5
20260513_010932,1,1,1,EV,751.00,20,37.54,6.35,67.48,17.48,20.06,0.00,20,3,5
20260513_010932,1,2,2,EA,741.00,20,37.03,10.16,95.26,16.86,20.17,0.00,20,3,5
20260513_010932,2,0,0,SSP,363.50,20,35.82,6.10,68.76,15.78,20.05,0.00,20,3,5
20260513_010932,2,1,1,EV,361.00,20,35.29,5.60,75.95,16.72,18.57,0.00,20,3,5
20260513_010932,2,2,2,EA,361.00,20,34.40,13.38,64.95,14.67,19.73,0.00,20,3,5
20260513_010932,3,0,0,SSP,229.50,20,33.15,6.60,81.49,13.34,19.81,0.00,20,3,5
20260513_010932,3,1,1,EV,252.00,20,34.05,6.30,69.11,15.48,18.57,0.00,20,3,5
20260513_010932,3,2,2,EA,247.50,20,33.84,6.30,74.31,14.45,19.39,0.00,20,3,5
20260513_010932,4,0,0,SSP,172.00,20,32.64,6.00,71.55,13.10,19.53,0.00,20,3,5
20260513_010932,4,1,1,EV,204.50,20,34.31,6.30,78.93,15.20,19.10,0.00,20,3,5
20260513_010932,4,2,2,EA,176.50,20,29.82,6.30,72.74,11.54,18.28,0.00,20,3,5
20260513_010932,5,0,0,SSP,143.50,20,31.67,6.00,78.29,12.85,18.82,0.00,20,3,5
20260513_010932,5,1,1,EV,160.00,20,32.57,6.30,70.56,13.70,18.87,0.00,20,3,5
20260513_010932,5,2,2,EA,157.50,20,29.99,6.00,75.01,12.06,17.93,0.00,20,3,5
20260513_010932,6,0,0,SSP,126.50,20,32.65,6.30,61.78,13.31,19.33,0.00,20,3,5
20260513_010932,6,1,1,EV,136.50,20,33.88,6.30,70.90,14.44,19.44,0.00,20,3,5
20260513_010932,6,2,2,EA,121.00,20,29.05,6.30,63.04,10.87,18.19,0.00,20,3,5
20260513_010932,7,0,0,SSP,119.00,20,31.65,6.00,64.73,13.14,18.51,0.00,20,3,5
20260513_010932,7,1,1,EV,106.50,20,32.40,6.00,67.12,13.22,19.19,0.00,20,3,5
20260513_010932,7,2,2,EA,120.00,20,32.63,11.50,72.14,11.81,20.82,0.00,20,3,5
20260513_010932,8,0,0,SSP,98.50,20,30.24,6.00,66.07,11.27,18.96,0.00,20,3,5
20260513_010932,8,1,1,EV,93.50,20,30.23,6.27,61.61,11.76,18.46,0.00,20,3,5
20260513_010932,8,2,2,EA,118.00,20,31.26,6.10,72.10,10.92,20.34,0.00,20,3,5
20260513_010932,9,0,0,SSP,90.50,20,29.62,6.00,65.86,9.93,19.69,0.00,20,3,5
20260513_010932,9,1,1,EV,91.50,20,29.79,6.00,61.83,11.52,18.27,0.00,20,3,5
20260513_010932,9,2,2,EA,83.00,20,30.02,6.30,51.91,10.42,19.60,0.00,20,3,5
20260513_010932,10,0,0,SSP,85.50,20,29.40,6.00,74.57,10.32,19.08,0.00,20,3,5
20260513_010932,10,1,1,EV,94.50,20,29.91,6.00,67.90,11.10,18.81,0.00,20,3,5
20260513_010932,10,2,2,EA,98.50,20,32.47,9.32,70.75,11.49,20.99,0.00,20,3,5
20260513_010932,1,0,0,SSP,1001.50,20,50.06,15.35,90.00,21.21,28.84,0.00,20,4,5
20260513_010932,1,1,1,EV,891.50,20,44.56,14.50,91.48,20.26,24.29,0.00,20,4,5
20260513_010932,1,2,2,EA,921.00,20,46.05,13.27,87.16,21.68,24.37,0.00,20,4,5
20260513_010932,2,0,0,SSP,462.00,20,45.87,9.40,101.80,20.08,25.80,0.00,20,4,5
20260513_010932,2,1,1,EV,452.00,20,42.80,9.40,78.50,20.13,22.67,0.00,20,4,5
20260513_010932,2,2,2,EA,461.50,20,42.92,14.83,89.67,19.15,23.77,0.00,20,4,5
20260513_010932,3,0,0,SSP,288.50,20,41.07,9.10,96.01,16.14,24.93,0.00,20,4,5
20260513_010932,3,1,1,EV,275.00,20,39.04,9.07,65.76,16.31,22.73,0.00,20,4,5
20260513_010932,3,2,2,EA,296.50,20,40.27,7.90,93.41,17.67,22.60,0.00,20,4,5
20260513_010932,4,0,0,SSP,235.50,20,43.50,8.20,79.39,18.53,24.97,0.00,20,4,5
20260513_010932,4,1,1,EV,216.00,20,40.06,8.50,73.77,16.82,23.24,0.00,20,4,5
20260513_010932,4,2,2,EA,193.00,20,36.19,7.90,71.42,14.00,22.19,0.00,20,4,5
20260513_010932,5,0,0,SSP,208.00,20,41.53,7.90,88.43,16.44,25.09,0.00,20,4,5
20260513_010932,5,1,1,EV,173.50,20,39.00,7.90,68.86,16.10,22.90,0.00,20,4,5
20260513_010932,5,2,2,EA,194.50,20,36.79,8.20,82.08,14.81,21.98,0.00,20,4,5
20260513_010932,6,0,0,SSP,158.50,20,40.63,7.90,76.65,15.57,25.06,0.00,20,4,5
20260513_010932,6,1,1,EV,166.00,20,40.43,7.90,85.96,17.56,22.87,0.00,20,4,5
20260513_010932,6,2,2,EA,161.50,20,35.51,7.60,79.06,13.63,21.88,0.00,20,4,5
20260513_010932,7,0,0,SSP,126.50,20,38.77,7.90,84.44,14.20,24.57,0.00,20,4,5
20260513_010932,7,1,1,EV,133.50,20,36.88,7.60,73.24,14.69,22.19,0.00,20,4,5
20260513_010932,7,2,2,EA,127.50,20,36.32,7.90,64.70,13.01,23.32,0.00,20,4,5
20260513_010932,8,0,0,SSP,109.50,20,36.23,7.50,77.18,11.80,24.43,0.00,20,4,5
20260513_010932,8,1,1,EV,129.50,20,35.78,7.65,77.15,13.63,22.15,0.00,20,4,5
20260513_010932,8,2,2,EA,125.50,20,37.26,7.75,86.01,13.15,24.12,0.00,20,4,5
20260513_010932,9,0,0,SSP,100.50,20,36.22,8.20,79.93,11.76,24.46,0.00,20,4,5
20260513_010932,9,1,1,EV,109.50,20,34.90,7.60,69.14,13.58,21.32,0.00,20,4,5
20260513_010932,9,2,2,EA,113.50,20,35.83,7.60,60.02,12.56,23.27,0.00,20,4,5
20260513_010932,10,0,0,SSP,102.50,20,36.29,7.60,89.69,12.16,24.13,0.00,20,4,5
20260513_010932,10,1,1,EV,107.00,20,35.65,7.60,78.48,13.26,22.39,0.00,20,4,5
20260513_010932,10,2,2,EA,113.50,20,33.39,7.60,74.42,11.31,22.08,0.00,20,4,5
20260513_010932,1,0,0,SSP,1299.50,20,64.96,25.50,106.41,27.58,37.38,0.00,20,5,5
20260513_010932,1,1,1,EV,1139.00,20,56.95,19.15,119.00,26.00,30.95,0.00,20,5,5
20260513_010932,1,2,2,EA,1161.00,20,58.03,15.32,116.92,27.48,30.55,0.00,20,5,5
20260513_010932,2,0,0,SSP,564.00,20,55.13,10.70,112.86,23.68,31.45,0.00,20,5,5
20260513_010932,2,1,1,EV,601.00,20,54.97,10.10,105.41,25.13,29.84,0.00,20,5,5
20260513_010932,2,2,2,EA,558.50,20,54.18,21.63,125.64,23.49,30.69,0.00,20,5,5
20260513_010932,3,0,0,SSP,367.00,20,51.57,9.37,98.47,20.72,30.86,0.00,20,5,5
20260513_010932,3,1,1,EV,421.50,20,54.11,9.50,132.44,24.23,29.87,0.00,20,5,5
20260513_010932,3,2,2,EA,391.50,20,51.97,9.50,122.72,22.52,29.45,0.00,20,5,5
20260513_010932,4,0,0,SSP,286.00,20,52.91,9.20,108.19,21.97,30.94,0.00,20,5,5
20260513_010932,4,1,1,EV,301.00,20,51.25,8.92,106.45,20.34,30.91,0.00,20,5,5
20260513_010932,4,2,2,EA,235.00,20,44.70,9.20,102.55,16.13,28.57,0.00,20,5,5
20260513_010932,5,0,0,SSP,238.00,20,51.79,9.17,104.27,20.56,31.23,0.00,20,5,5
20260513_010932,5,1,1,EV,235.00,20,49.92,8.92,107.55,19.68,30.24,0.00,20,5,5
20260513_010932,5,2,2,EA,231.00,20,45.56,9.20,84.86,17.53,28.04,0.00,20,5,5
20260513_010932,6,0,0,SSP,198.00,20,51.22,9.20,131.91,20.69,30.53,0.00,20,5,5
20260513_010932,6,1,1,EV,200.50,20,50.24,9.20,133.72,19.44,30.80,0.00,20,5,5
20260513_010932,6,2,2,EA,195.50,20,44.82,9.20,80.85,16.67,28.15,0.00,20,5,5
20260513_010932,7,0,0,SSP,157.00,20,46.68,9.20,99.24,16.09,30.59,0.00,20,5,5
20260513_010932,7,1,1,EV,165.50,20,48.07,9.20,129.69,18.17,29.90,0.00,20,5,5
20260513_010932,7,2,2,EA,151.50,20,44.61,9.20,82.86,16.78,27.83,0.00,20,5,5
20260513_010932,8,0,0,SSP,163.50,20,44.86,9.45,100.02,14.70,30.16,0.00,20,5,5
20260513_010932,8,1,1,EV,140.50,20,43.58,9.20,99.54,15.19,28.39,0.00,20,5,5
20260513_010932,8,2,2,EA,139.50,20,48.16,9.15,127.88,16.04,32.12,0.00,20,5,5
20260513_010932,9,0,0,SSP,111.00,20,43.51,9.20,104.52,12.85,30.66,0.00,20,5,5
20260513_010932,9,1,1,EV,128.50,20,43.66,9.20,106.07,14.97,28.69,0.00,20,5,5
20260513_010932,9,2,2,EA,120.50,20,44.38,9.50,89.32,13.88,30.50,0.00,20,5,5
20260513_010932,10,0,0,SSP,120.50,20,44.12,9.20,116.85,14.41,29.70,0.00,20,5,5
20260513_010932,10,1,1,EV,118.00,20,43.79,9.50,117.75,14.40,29.39,0.00,20,5,5
20260513_010932,10,2,2,EA,119.00,20,43.03,9.20,77.82,14.34,28.69,0.00,20,5,5
20260513_011003,1,0,0,SSP,365.00,20,18.23,5.68,30.73,6.56,11.67,0.00,20,1,17
20260513_011003,1,1,1,EV,326.00,20,16.28,4.89,27.96,6.32,9.96,0.00,20,1,17
20260513_011003,1,2,2,EA,334.50,20,16.72,5.84,34.97,6.70,10.02,0.00,20,1,17
20260513_011003,2,0,0,SSP,177.00,20,17.12,4.93,27.19,6.28,10.84,0.00,20,1,17
20260513_011003,2,1,1,EV,164.00,20,16.06,5.23,25.14,6.00,10.06,0.00,20,1,17
20260513_011003,2,2,2,EA,174.50,20,16.14,4.94,35.16,6.07,10.07,0.00,20,1,17
20260513_011003,3,0,0,SSP,121.50,20,16.98,5.10,28.35,6.15,10.83,0.00,20,1,17
20260513_011003,3,1,1,EV,107.50,20,15.48,5.26,25.66,5.83,9.65,0.00,20,1,17
20260513_011003,3,2,2,EA,118.50,20,15.70,1.52,29.30,5.63,10.07,0.00,20,1,17
20260513_011003,4,0,0,SSP,85.50,20,16.32,6.35,26.38,5.92,10.39,0.00,20,1,17
20260513_011003,4,1,1,EV,84.50,20,15.77,4.44,26.12,5.85,9.92,0.00,20,1,17
