runId,phase,effectiveMode,modeName,numRobots,numOrders,crowdednessLevel,randomSeed,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,robot0Tasks,robot1Tasks,robot2Tasks,robot3Tasks,robot4Tasks,robot5Tasks,robot6Tasks,robot7Tasks,robot8Tasks,robot9Tasks,robot0TotalSec,robot1TotalSec,robot2TotalSec,robot3TotalSec,robot4TotalSec,robot5TotalSec,robot6TotalSec,robot7TotalSec,robot8TotalSec,robot9TotalSec
20260513_223801,0,0,SSP,1,20,1,1031,378.50,20,18.90,6.52,34.15,7.30,11.60,0.00,20,0,0,0,0,0,0,0,0,0,378.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_223801,1,1,EV,1,20,1,1031,360.00,20,17.98,7.42,28.23,6.83,11.15,0.00,20,0,0,0,0,0,0,0,0,0,359.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_223801,2,2,EA,1,20,1,1031,370.00,20,18.49,7.32,40.89,7.45,11.04,0.00,20,0,0,0,0,0,0,0,0,0,369.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         378.50
# EV          360.00
# EA          370.00
# SSP     vs best: +4.9%
# EV      vs best: +0.0%
# EA      vs best: +2.7%
20260513_223801,0,0,SSP,2,20,1,1031,191.00,20,17.82,6.17,33.05,6.57,11.24,0.00,8,12,0,0,0,0,0,0,0,0,165.74,190.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_223801,1,1,EV,2,20,1,1031,185.50,20,17.61,5.85,34.63,6.57,11.04,0.00,9,11,0,0,0,0,0,0,0,0,167.10,185.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_223801,2,2,EA,2,20,1,1031,202.00,20,18.49,8.25,39.41,7.32,11.18,0.00,9,11,0,0,0,0,0,0,0,0,167.98,201.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         191.00
# EV          185.50
# EA          202.00
# SSP     vs best: +2.9%
# EV      vs best: +0.0%
# EA      vs best: +8.2%
20260513_223801,0,0,SSP,3,20,1,1031,129.00,20,18.34,1.99,32.23,7.14,11.20,0.00,6,7,7,0,0,0,0,0,0,0,128.97,114.37,123.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_223801,1,1,EV,3,20,1,1031,127.00,20,18.38,1.99,32.11,7.16,11.22,0.00,5,8,7,0,0,0,0,0,0,0,115.59,125.38,126.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00
