runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260513_223801,7,2,2,EA,113.50,20,29.21,6.07,63.32,10.93,18.28,0.00,20,2,1031
20260513_223801,8,0,0,SSP,100.50,20,30.27,2.27,60.48,9.41,20.86,0.00,20,2,1031
20260513_223801,8,1,1,EV,99.00,20,27.46,2.27,57.69,8.57,18.90,0.00,20,2,1031
20260513_223801,8,2,2,EA,81.50,20,26.49,9.20,55.10,7.94,18.55,0.00,20,2,1031
20260513_223801,9,0,0,SSP,93.00,20,31.03,2.27,60.90,10.44,20.59,0.00,20,2,1031
20260513_223801,9,1,1,EV,94.50,20,27.94,2.27,56.01,9.61,18.32,0.00,20,2,1031
20260513_223801,9,2,2,EA,85.50,20,27.93,7.62,57.22,9.10,18.83,0.00,20,2,1031
20260513_223801,10,0,0,SSP,74.00,20,31.33,4.01,66.15,10.09,21.24,0.00,20,2,1031
20260513_223801,10,1,1,EV,88.00,20,27.56,4.01,59.01,8.86,18.69,0.00,20,2,1031
20260513_223801,10,2,2,EA,84.00,20,29.51,4.01,61.19,11.19,18.32,0.00,20,2,1031
20260513_223801,1,0,0,SSP,781.50,20,39.07,11.80,70.87,14.02,25.05,0.00,20,3,1031
20260513_223801,1,1,1,EV,714.00,20,35.69,11.95,62.53,13.20,22.49,0.00,20,3,1031
20260513_223801,1,2,2,EA,726.00,20,36.29,13.31,100.49,14.49,21.80,0.00,20,3,1031
20260513_223801,2,0,0,SSP,390.50,20,38.32,9.52,91.78,12.07,26.24,0.00,20,3,1031
20260513_223801,2,1,1,EV,366.50,20,34.81,9.19,81.93,11.98,22.84,0.00,20,3,1031
20260513_223801,2,2,2,EA,410.00,20,38.07,11.98,85.24,15.41,22.66,0.00,20,3,1031
20260513_223801,3,0,0,SSP,262.50,20,39.08,2.55,89.92,13.82,25.26,0.00,20,3,1031
20260513_223801,3,1,1,EV,284.50,20,36.63,2.55,89.39,12.96,23.67,0.00,20,3,1031
20260513_223801,3,2,2,EA,276.00,20,35.37,2.55,78.35,11.70,23.67,0.00,20,3,1031
20260513_223801,4,0,0,SSP,206.00,20,37.13,2.55,87.07,11.81,25.33,0.00,20,3,1031
20260513_223801,4,1,1,EV,191.50,20,34.25,2.55,89.25,10.72,23.53,0.00,20,3,1031
20260513_223801,4,2,2,EA,193.00,20,33.75,2.55,91.11,10.73,23.02,0.00,20,3,1031
20260513_223801,5,0,0,SSP,164.50,20,38.12,2.55,85.77,10.61,27.51,0.00,20,3,1031
20260513_223801,5,1,1,EV,148.50,20,34.59,2.55,75.77,11.22,23.38,0.00,20,3,1031
20260513_223801,5,2,2,EA,166.00,20,34.85,6.33,80.54,10.51,24.34,0.00,20,3,1031
20260513_223801,6,0,0,SSP,152.50,20,39.34,2.55,95.31,12.41,26.94,0.00,20,3,1031
20260513_223801,6,1,1,EV,154.50,20,34.98,2.55,81.76,11.19,23.79,0.00,20,3,1031
20260513_223801,6,2,2,EA,145.00,20,34.55,6.33,77.27,10.78,23.77,0.00,20,3,1031
20260513_223801,7,0,0,SSP,151.00,20,37.94,2.55,93.30,11.58,26.36,0.00,20,3,1031
20260513_223801,7,1,1,EV,123.50,20,34.54,2.55,73.56,10.95,23.59,0.00,20,3,1031
20260513_223801,7,2,2,EA,155.50,20,38.27,7.11,85.84,14.46,23.81,0.00,20,3,1031
20260513_223801,8,0,0,SSP,134.00,20,38.16,2.55,87.91,11.20,26.96,0.00,20,3,1031
20260513_223801,8,1,1,EV,135.50,20,34.65,2.55,86.84,10.58,24.07,0.00,20,3,1031
20260513_223801,8,2,2,EA,110.50,20,33.76,12.15,82.77,9.89,23.87,0.00,20,3,1031
20260513_223801,9,0,0,SSP,122.50,20,40.74,2.98,92.00,13.59,27.15,0.00,20,3,1031
20260513_223801,9,1,1,EV,138.50,20,36.13,2.55,89.85,12.23,23.90,0.00,20,3,1031
20260513_223801,9,2,2,EA,103.50,20,34.45,8.58,76.60,10.91,23.54,0.00,20,3,1031
20260513_223801,10,0,0,SSP,110.00,20,40.47,5.81,88.05,13.13,27.34,0.00,20,3,1031
20260513_223801,10,1,1,EV,131.00,20,35.36,5.81,90.38,11.36,24.00,0.00,20,3,1031
20260513_223801,10,2,2,EA,135.00,20,36.62,5.81,104.84,13.81,22.80,0.00,20,3,1031
20260513_223801,1,0,0,SSP,938.00,20,46.89,18.42,89.60,16.04,30.85,0.00,20,4,1031
20260513_223801,1,1,1,EV,779.50,20,38.97,12.23,77.97,14.58,24.38,0.00,20,4,1031
20260513_223801,1,2,2,EA,730.00,20,36.48,14.42,109.61,14.06,22.42,0.00,20,4,1031
20260513_223801,2,0,0,SSP,482.00,20,47.52,11.76,121.51,14.93,32.59,0.00,20,4,1031
20260513_223801,2,1,1,EV,389.50,20,35.82,10.13,89.84,13.82,22.00,0.00,20,4,1031
20260513_223801,2,2,2,EA,416.00,20,38.60,12.92,104.62,16.27,22.33,0.00,20,4,1031
20260513_223801,3,0,0,SSP,322.50,20,46.22,3.69,121.23,13.63,32.58,0.00,20,4,1031
20260513_223801,3,1,1,EV,251.00,20,34.94,2.84,85.21,12.72,22.22,0.00,20,4,1031
20260513_223801,3,2,2,EA,237.50,20,33.75,2.84,77.86,11.99,21.75,0.00,20,4,1031
20260513_223801,4,0,0,SSP,247.00,20,46.00,2.84,128.97,13.26,32.74,0.00,20,4,1031
20260513_223801,4,1,1,EV,196.00,20,33.58,2.84,80.28,12.42,21.15,0.00,20,4,1031
20260513_223801,4,2,2,EA,216.50,20,33.87,3.26,89.03,12.11,21.76,0.00,20,4,1031
20260513_223801,5,0,0,SSP,216.50,20,47.15,2.84,115.04,12.56,34.59,0.00,20,4,1031
20260513_223801,5,1,1,EV,184.00,20,35.80,2.84,86.09,14.20,21.60,0.00,20,4,1031
20260513_223801,5,2,2,EA,162.50,20,31.24,7.03,81.12,9.58,21.65,0.00,20,4,1031
20260513_223801,6,0,0,SSP,201.50,20,49.07,2.84,126.17,14.10,34.96,0.00,20,4,1031
20260513_223801,6,1,1,EV,153.00,20,34.55,2.84,96.00,12.88,21.67,0.00,20,4,1031
20260513_223801,6,2,2,EA,156.00,20,34.43,7.03,86.24,13.15,21.28,0.00,20,4,1031
20260513_223801,7,0,0,SSP,195.00,20,47.26,2.84,126.96,12.76,34.50,0.00,20,4,1031
20260513_223801,7,1,1,EV,137.50,20,32.77,2.84,72.59,11.66,21.11,0.00,20,4,1031
20260513_223801,7,2,2,EA,156.50,20,37.66,9.17,85.18,15.87,21.79,0.00,20,4,1031
20260513_223801,8,0,0,SSP,158.50,20,50.19,2.84,121.56,14.34,35.86,0.00,20,4,1031
20260513_223801,8,1,1,EV,130.00,20,32.32,2.84,83.47,10.61,21.71,0.00,20,4,1031
