runId,phase,effectiveMode,modeName,simTime,robotId,eventType,pickupNode,destNode,taskSeq,detail
20260513_225156,0,0,SSP,0.000,R0,TASK_CLAIMED,node50,node33,1,"mode=SSP remaining=19"
20260513_225156,0,0,SSP,0.000,R0,DEPART_TO_PICKUP,node50,node33,1,"hops=4"
20260513_225156,0,0,SSP,5.400,R0,DEPART_TO_PICKUP,node50,node33,1,"hops=3"
20260513_225156,0,0,SSP,9.150,R0,DEPART_TO_PICKUP,node50,node33,1,"hops=2"
20260513_225156,0,0,SSP,14.817,R0,DEPART_TO_PICKUP,node50,node33,1,"hops=1"
20260513_225156,0,0,SSP,14.817,R0,ARRIVED_AT_PICKUP,node50,node33,1,"toPickupTime=14.8s"
20260513_225156,0,0,SSP,28.058,R0,ARRIVED_AT_DEST,node50,node33,1,"delivLegTime=13.2s"
20260513_225156,0,0,SSP,28.058,R0,TASK_COMPLETE,node50,node33,1,"total=28.1s toPickup=14.8s delivery=13.2s return=0.0s"
20260513_225156,0,0,SSP,28.058,R0,TASK_CLAIMED,node49,node46,2,"mode=SSP remaining=18"
20260513_225156,0,0,SSP,28.058,R0,DEPART_TO_NEXT_PICKUP,node50,node33,1,"nextPickup=node49"
20260513_225156,0,0,SSP,38.634,R0,DEPART_TO_PICKUP,node49,node46,2,"hops=0"
20260513_225156,0,0,SSP,38.634,R0,ARRIVED_AT_PICKUP,node49,node46,2,"toPickupTime=10.6s"
20260513_225156,0,0,SSP,47.885,R0,ARRIVED_AT_DEST,node49,node46,2,"delivLegTime=9.3s"
20260513_225156,0,0,SSP,47.885,R0,TASK_COMPLETE,node49,node46,2,"total=19.8s toPickup=10.6s delivery=9.3s return=0.0s"
20260513_225156,0,0,SSP,47.885,R0,TASK_CLAIMED,node13,node33,3,"mode=SSP remaining=17"
20260513_225156,0,0,SSP,47.885,R0,DEPART_TO_NEXT_PICKUP,node49,node46,2,"nextPickup=node13"
20260513_225156,0,0,SSP,55.552,R0,DEPART_TO_PICKUP,node13,node33,3,"hops=0"
20260513_225156,0,0,SSP,55.552,R0,ARRIVED_AT_PICKUP,node13,node33,3,"toPickupTime=7.7s"
20260513_225156,0,0,SSP,74.769,R0,ARRIVED_AT_DEST,node13,node33,3,"delivLegTime=19.2s"
20260513_225156,0,0,SSP,74.769,R0,TASK_COMPLETE,node13,node33,3,"total=26.9s toPickup=7.7s delivery=19.2s return=0.0s"
20260513_225156,0,0,SSP,74.769,R0,TASK_CLAIMED,node49,node22,4,"mode=SSP remaining=16"
20260513_225156,0,0,SSP,74.769,R0,DEPART_TO_NEXT_PICKUP,node13,node33,3,"nextPickup=node49"
20260513_225156,0,0,SSP,84.927,R0,DEPART_TO_PICKUP,node49,node22,4,"hops=0"
20260513_225156,0,0,SSP,84.927,R0,ARRIVED_AT_PICKUP,node49,node22,4,"toPickupTime=10.2s"
20260513_225156,0,0,SSP,101.768,R0,ARRIVED_AT_DEST,node49,node22,4,"delivLegTime=16.8s"
20260513_225156,0,0,SSP,101.768,R0,TASK_COMPLETE,node49,node22,4,"total=27.0s toPickup=10.2s delivery=16.8s return=0.0s"
20260513_225156,0,0,SSP,101.768,R0,TASK_CLAIMED,node13,node38,5,"mode=SSP remaining=15"
20260513_225156,0,0,SSP,101.768,R0,DEPART_TO_NEXT_PICKUP,node49,node22,4,"nextPickup=node13"
20260513_225156,0,0,SSP,109.993,R0,DEPART_TO_PICKUP,node13,node38,5,"hops=0"
20260513_225156,0,0,SSP,109.993,R0,ARRIVED_AT_PICKUP,node13,node38,5,"toPickupTime=8.2s"
20260513_225156,0,0,SSP,123.950,R0,ARRIVED_AT_DEST,node13,node38,5,"delivLegTime=14.0s"
20260513_225156,0,0,SSP,123.950,R0,TASK_COMPLETE,node13,node38,5,"total=22.2s toPickup=8.2s delivery=14.0s return=0.0s"
20260513_225156,0,0,SSP,123.950,R0,TASK_CLAIMED,node59,node62,6,"mode=SSP remaining=14"
20260513_225156,0,0,SSP,123.950,R0,DEPART_TO_NEXT_PICKUP,node13,node38,5,"nextPickup=node59"
20260513_225156,0,0,SSP,129.522,R0,DEPART_TO_PICKUP,node59,node62,6,"hops=0"
20260513_225156,0,0,SSP,129.522,R0,ARRIVED_AT_PICKUP,node59,node62,6,"toPickupTime=5.6s"
20260513_225156,0,0,SSP,131.625,R0,ARRIVED_AT_DEST,node59,node62,6,"delivLegTime=2.1s"
20260513_225156,0,0,SSP,131.625,R0,TASK_COMPLETE,node59,node62,6,"total=7.7s toPickup=5.6s delivery=2.1s return=0.0s"
20260513_225156,0,0,SSP,131.625,R0,TASK_CLAIMED,node59,node27,7,"mode=SSP remaining=13"
20260513_225156,0,0,SSP,131.625,R0,DEPART_TO_NEXT_PICKUP,node59,node62,6,"nextPickup=node59"
20260513_225156,0,0,SSP,134.179,R0,DEPART_TO_PICKUP,node59,node27,7,"hops=0"
20260513_225156,0,0,SSP,134.179,R0,ARRIVED_AT_PICKUP,node59,node27,7,"toPickupTime=2.6s"
20260513_225156,0,0,SSP,150.122,R0,ARRIVED_AT_DEST,node59,node27,7,"delivLegTime=15.9s"
20260513_225156,0,0,SSP,150.122,R0,TASK_COMPLETE,node59,node27,7,"total=18.5s toPickup=2.6s delivery=15.9s return=0.0s"
20260513_225156,0,0,SSP,150.122,R0,TASK_CLAIMED,node50,node24,8,"mode=SSP remaining=12"
20260513_225156,0,0,SSP,150.122,R0,DEPART_TO_NEXT_PICKUP,node59,node27,7,"nextPickup=node50"
20260513_225156,0,0,SSP,165.624,R0,DEPART_TO_PICKUP,node50,node24,8,"hops=0"
20260513_225156,0,0,SSP,165.624,R0,ARRIVED_AT_PICKUP,node50,node24,8,"toPickupTime=15.5s"
20260513_225156,0,0,SSP,180.407,R0,ARRIVED_AT_DEST,node50,node24,8,"delivLegTime=14.8s"
20260513_225156,0,0,SSP,180.407,R0,TASK_COMPLETE,node50,node24,8,"total=30.3s toPickup=15.5s delivery=14.8s return=0.0s"
20260513_225156,0,0,SSP,180.407,R0,TASK_CLAIMED,node50,node17,9,"mode=SSP remaining=11"
20260513_225156,0,0,SSP,180.407,R0,DEPART_TO_NEXT_PICKUP,node50,node24,8,"nextPickup=node50"
20260513_225156,0,0,SSP,196.840,R0,DEPART_TO_PICKUP,node50,node17,9,"hops=0"
20260513_225156,0,0,SSP,196.840,R0,ARRIVED_AT_PICKUP,node50,node17,9,"toPickupTime=16.4s"
20260513_225156,0,0,SSP,208.036,R0,ARRIVED_AT_DEST,node50,node17,9,"delivLegTime=11.2s"
20260513_225156,0,0,SSP,208.036,R0,TASK_COMPLETE,node50,node17,9,"total=27.6s toPickup=16.4s delivery=11.2s return=0.0s"
20260513_225156,0,0,SSP,208.036,R0,TASK_CLAIMED,node13,node58,10,"mode=SSP remaining=10"
20260513_225156,0,0,SSP,208.036,R0,DEPART_TO_NEXT_PICKUP,node50,node17,9,"nextPickup=node13"
20260513_225156,0,0,SSP,213.564,R0,DEPART_TO_PICKUP,node13,node58,10,"hops=0"
20260513_225156,0,0,SSP,213.564,R0,ARRIVED_AT_PICKUP,node13,node58,10,"toPickupTime=5.5s"
20260513_225156,0,0,SSP,223.862,R0,ARRIVED_AT_DEST,node13,node58,10,"delivLegTime=10.3s"
20260513_225156,0,0,SSP,223.862,R0,TASK_COMPLETE,node13,node58,10,"total=15.8s toPickup=5.5s delivery=10.3s return=0.0s"
20260513_225156,0,0,SSP,223.862,R0,TASK_CLAIMED,node50,node46,11,"mode=SSP remaining=9"
20260513_225156,0,0,SSP,223.862,R0,DEPART_TO_NEXT_PICKUP,node13,node58,10,"nextPickup=node50"
20260513_225156,0,0,SSP,234.310,R0,DEPART_TO_PICKUP,node50,node46,11,"hops=0"
20260513_225156,0,0,SSP,234.310,R0,ARRIVED_AT_PICKUP,node50,node46,11,"toPickupTime=10.4s"
20260513_225156,0,0,SSP,244.417,R0,ARRIVED_AT_DEST,node50,node46,11,"delivLegTime=10.1s"
20260513_225156,0,0,SSP,244.417,R0,TASK_COMPLETE,node50,node46,11,"total=20.6s toPickup=10.4s delivery=10.1s return=0.0s"
20260513_225156,0,0,SSP,244.417,R0,TASK_CLAIMED,node13,node43,12,"mode=SSP remaining=8"
20260513_225156,0,0,SSP,244.417,R0,DEPART_TO_NEXT_PICKUP,node50,node46,11,"nextPickup=node13"
20260513_225156,0,0,SSP,251.234,R0,DEPART_TO_PICKUP,node13,node43,12,"hops=0"
20260513_225156,0,0,SSP,251.234,R0,ARRIVED_AT_PICKUP,node13,node43,12,"toPickupTime=6.8s"
20260513_225156,0,0,SSP,257.349,R0,ARRIVED_AT_DEST,node13,node43,12,"delivLegTime=6.1s"
20260513_225156,0,0,SSP,257.349,R0,TASK_COMPLETE,node13,node43,12,"total=12.9s toPickup=6.8s delivery=6.1s return=0.0s"
20260513_225156,0,0,SSP,257.349,R0,TASK_CLAIMED,node59,node42,13,"mode=SSP remaining=7"
20260513_225156,0,0,SSP,257.349,R0,DEPART_TO_NEXT_PICKUP,node13,node43,12,"nextPickup=node59"
20260513_225156,0,0,SSP,261.516,R0,DEPART_TO_PICKUP,node59,node42,13,"hops=0"
20260513_225156,0,0,SSP,261.516,R0,ARRIVED_AT_PICKUP,node59,node42,13,"toPickupTime=4.2s"
20260513_225156,0,0,SSP,265.979,R0,ARRIVED_AT_DEST,node59,node42,13,"delivLegTime=4.5s"
20260513_225156,0,0,SSP,265.979,R0,TASK_COMPLETE,node59,node42,13,"total=8.6s toPickup=4.2s delivery=4.5s return=0.0s"
20260513_225156,0,0,SSP,265.979,R0,TASK_CLAIMED,node59,node54,14,"mode=SSP remaining=6"
20260513_225156,0,0,SSP,265.979,R0,DEPART_TO_NEXT_PICKUP,node59,node42,13,"nextPickup=node59"
20260513_225156,0,0,SSP,271.927,R0,DEPART_TO_PICKUP,node59,node54,14,"hops=0"
20260513_225156,0,0,SSP,271.927,R0,ARRIVED_AT_PICKUP,node59,node54,14,"toPickupTime=5.9s"
20260513_225156,0,0,SSP,274.477,R0,ARRIVED_AT_DEST,node59,node54,14,"delivLegTime=2.6s"
20260513_225156,0,0,SSP,274.477,R0,TASK_COMPLETE,node59,node54,14,"total=8.5s toPickup=5.9s delivery=2.6s return=0.0s"
20260513_225156,0,0,SSP,274.477,R0,TASK_CLAIMED,node49,node33,15,"mode=SSP remaining=5"
20260513_225156,0,0,SSP,274.477,R0,DEPART_TO_NEXT_PICKUP,node59,node54,14,"nextPickup=node49"
20260513_225156,0,0,SSP,276.003,R0,DEPART_TO_PICKUP,node49,node33,15,"hops=0"
20260513_225156,0,0,SSP,276.003,R0,ARRIVED_AT_PICKUP,node49,node33,15,"toPickupTime=1.5s"
20260513_225156,0,0,SSP,285.445,R0,ARRIVED_AT_DEST,node49,node33,15,"delivLegTime=9.4s"
20260513_225156,0,0,SSP,285.445,R0,TASK_COMPLETE,node49,node33,15,"total=11.0s toPickup=1.5s delivery=9.4s return=0.0s"
20260513_225156,0,0,SSP,285.445,R0,TASK_CLAIMED,node59,node72,16,"mode=SSP remaining=4"
20260513_225156,0,0,SSP,285.445,R0,DEPART_TO_NEXT_PICKUP,node49,node33,15,"nextPickup=node59"
20260513_225156,0,0,SSP,295.918,R0,DEPART_TO_PICKUP,node59,node72,16,"hops=0"
