runId,phase,effectiveMode,modeName,numRobots,numOrders,crowdednessLevel,randomSeed,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,robot0Tasks,robot1Tasks,robot2Tasks,robot3Tasks,robot4Tasks,robot5Tasks,robot6Tasks,robot7Tasks,robot8Tasks,robot9Tasks,robot0TotalSec,robot1TotalSec,robot2TotalSec,robot3TotalSec,robot4TotalSec,robot5TotalSec,robot6TotalSec,robot7TotalSec,robot8TotalSec,robot9TotalSec
20260513_224836,0,0,SSP,1,20,1,4517,444.00,20,22.19,12.19,33.55,7.71,14.48,0.00,20,0,0,0,0,0,0,0,0,0,443.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_224836,1,1,EV,1,20,1,4517,415.00,20,20.75,12.45,29.64,7.74,13.01,0.00,20,0,0,0,0,0,0,0,0,0,414.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_224836,2,2,EA,1,20,1,4517,435.50,20,21.77,12.24,40.09,8.47,13.30,0.00,20,0,0,0,0,0,0,0,0,0,435.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         444.00
# EV          415.00
# EA          435.50
# SSP     vs best: +6.5%
# EV      vs best: +0.0%
# EA      vs best: +4.7%
20260513_224836,0,0,SSP,2,20,1,4517,232.50,20,23.04,12.27,34.08,8.76,14.28,0.00,9,11,0,0,0,0,0,0,0,0,228.78,232.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_224836,1,1,EV,2,20,1,4517,222.50,20,21.10,11.43,35.43,8.34,12.76,0.00,9,11,0,0,0,0,0,0,0,0,199.86,222.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_224836,2,2,EA,2,20,1,4517,253.50,20,21.88,12.41,43.45,8.92,12.96,0.00,11,9,0,0,0,0,0,0,0,0,253.47,184.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         232.50
# EV          222.50
# EA          253.50
# SSP     vs best: +4.3%
# EV      vs best: +0.0%
# EA      vs best: +12.2%
20260513_224836,0,0,SSP,3,20,1,4517,167.00,20,22.31,12.35,46.42,8.51,13.80,0.00,6,6,8,0,0,0,0,0,0,0,133.66,166.97,145.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_224836,1,1,EV,3,20,1,4517,164.00,20,21.60,12.57,39.03,8.71,12.89,0.00,6,7,7,0,0,0,0,0,0,0,125.54,142.70,163.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_224836,2,2,EA,3,20,1,4517,160.50,20,21.24,11.95,43.80,8.33,12.91,0.00,6,7,7,0,0,0,0,0,0,0,127.08,137.62,160.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         167.00
# EV          164.00
# EA          160.50
# SSP     vs best: +3.9%
# EV      vs best: +2.1%
# EA      vs best: +0.0%
20260513_224836,0,0,SSP,4,20,1,4517,139.00,20,22.42,10.68,45.39,8.23,14.19,0.00,4,5,5,6,0,0,0,0,0,0,138.93,118.42,97.73,93.38,0.00,0.00,0.00,0.00,0.00,0.00
20260513_224836,1,1,EV,4,20,1,4517,125.50,20,21.21,11.43,38.70,8.47,12.74,0.00,5,5,5,5,0,0,0,0,0,0,87.12,89.60,122.32,125.15,0.00,0.00,0.00,0.00,0.00,0.00
20260513_224836,2,2,EA,4,20,1,4517,144.50,20,21.35,8.41,40.49,8.67,12.68,0.00,6,4,5,5,0,0,0,0,0,0,144.10,75.23,97.64,110.05,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         139.00
# EV          125.50
# EA          144.50
# SSP     vs best: +9.7%
# EV      vs best: +0.0%
# EA      vs best: +13.1%
20260513_224836,0,0,SSP,5,20,1,4517,131.00,20,22.98,12.50,48.82,8.81,14.17,0.00,3,4,5,4,4,0,0,0,0,0,79.42,102.92,130.57,70.99,75.75,0.00,0.00,0.00,0.00,0.00
20260513_224836,1,1,EV,5,20,1,4517,115.00,20,21.53,12.57,42.79,8.42,13.11,0.00,4,3,5,4,4,0,0,0,0,0,94.85,70.61,114.65,70.55,79.91,0.00,0.00,0.00,0.00,0.00
20260513_224836,2,2,EA,5,20,1,4517,128.00,20,21.61,7.71,43.01,8.62,13.00,0.00,3,3,5,4,5,0,0,0,0,0,69.55,56.30,104.80,73.85,127.77,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         131.00
# EV          115.00
# EA          128.00
# SSP     vs best: +12.2%
# EV      vs best: +0.0%
# EA      vs best: +10.2%
