runId,phase,effectiveMode,modeName,simTime,robotId,eventType,pickupNode,destNode,taskSeq,detail
20260513_230052,0,0,SSP,0.000,R0,TASK_CLAIMED,node35,node67,1,"mode=SSP remaining=19"
20260513_230052,0,0,SSP,0.000,R0,DEPART_TO_PICKUP,node35,node67,1,"hops=3"
20260513_230052,0,0,SSP,1.400,R0,DEPART_TO_PICKUP,node35,node67,1,"hops=2"
20260513_230052,0,0,SSP,2.876,R0,DEPART_TO_PICKUP,node35,node67,1,"hops=1"
20260513_230052,0,0,SSP,2.876,R0,ARRIVED_AT_PICKUP,node35,node67,1,"toPickupTime=2.9s"
20260513_230052,0,0,SSP,16.992,R0,ARRIVED_AT_DEST,node35,node67,1,"delivLegTime=14.1s"
20260513_230052,0,0,SSP,16.992,R0,TASK_COMPLETE,node35,node67,1,"total=17.0s toPickup=2.9s delivery=14.1s return=0.0s"
20260513_230052,0,0,SSP,16.992,R0,TASK_CLAIMED,node69,node65,2,"mode=SSP remaining=18"
20260513_230052,0,0,SSP,16.992,R0,DEPART_TO_NEXT_PICKUP,node35,node67,1,"nextPickup=node69"
20260513_230052,0,0,SSP,20.131,R0,DEPART_TO_PICKUP,node69,node65,2,"hops=0"
20260513_230052,0,0,SSP,20.131,R0,ARRIVED_AT_PICKUP,node69,node65,2,"toPickupTime=3.1s"
20260513_230052,0,0,SSP,22.744,R0,ARRIVED_AT_DEST,node69,node65,2,"delivLegTime=2.6s"
20260513_230052,0,0,SSP,22.744,R0,TASK_COMPLETE,node69,node65,2,"total=5.8s toPickup=3.1s delivery=2.6s return=0.0s"
20260513_230052,0,0,SSP,22.744,R0,TASK_CLAIMED,node69,node55,3,"mode=SSP remaining=17"
20260513_230052,0,0,SSP,22.744,R0,DEPART_TO_NEXT_PICKUP,node69,node65,2,"nextPickup=node69"
20260513_230052,0,0,SSP,25.609,R0,DEPART_TO_PICKUP,node69,node55,3,"hops=0"
20260513_230052,0,0,SSP,25.609,R0,ARRIVED_AT_PICKUP,node69,node55,3,"toPickupTime=2.9s"
20260513_230052,0,0,SSP,34.517,R0,ARRIVED_AT_DEST,node69,node55,3,"delivLegTime=8.9s"
20260513_230052,0,0,SSP,34.517,R0,TASK_COMPLETE,node69,node55,3,"total=11.8s toPickup=2.9s delivery=8.9s return=0.0s"
20260513_230052,0,0,SSP,34.517,R0,TASK_CLAIMED,node35,node55,4,"mode=SSP remaining=16"
20260513_230052,0,0,SSP,34.517,R0,DEPART_TO_NEXT_PICKUP,node69,node55,3,"nextPickup=node35"
20260513_230052,0,0,SSP,39.160,R0,DEPART_TO_PICKUP,node35,node55,4,"hops=0"
20260513_230052,0,0,SSP,39.160,R0,ARRIVED_AT_PICKUP,node35,node55,4,"toPickupTime=4.6s"
20260513_230052,0,0,SSP,43.984,R0,ARRIVED_AT_DEST,node35,node55,4,"delivLegTime=4.8s"
20260513_230052,0,0,SSP,43.984,R0,TASK_COMPLETE,node35,node55,4,"total=9.5s toPickup=4.6s delivery=4.8s return=0.0s"
20260513_230052,0,0,SSP,43.984,R0,TASK_CLAIMED,node35,node66,5,"mode=SSP remaining=15"
20260513_230052,0,0,SSP,43.984,R0,DEPART_TO_NEXT_PICKUP,node35,node55,4,"nextPickup=node35"
20260513_230052,0,0,SSP,48.810,R0,DEPART_TO_PICKUP,node35,node66,5,"hops=0"
20260513_230052,0,0,SSP,48.810,R0,ARRIVED_AT_PICKUP,node35,node66,5,"toPickupTime=4.8s"
20260513_230052,0,0,SSP,59.518,R0,ARRIVED_AT_DEST,node35,node66,5,"delivLegTime=10.7s"
20260513_230052,0,0,SSP,59.518,R0,TASK_COMPLETE,node35,node66,5,"total=15.5s toPickup=4.8s delivery=10.7s return=0.0s"
20260513_230052,0,0,SSP,59.518,R0,TASK_CLAIMED,node69,node29,6,"mode=SSP remaining=14"
20260513_230052,0,0,SSP,59.518,R0,DEPART_TO_NEXT_PICKUP,node35,node66,5,"nextPickup=node69"
20260513_230052,0,0,SSP,62.029,R0,DEPART_TO_PICKUP,node69,node29,6,"hops=0"
20260513_230052,0,0,SSP,62.029,R0,ARRIVED_AT_PICKUP,node69,node29,6,"toPickupTime=2.5s"
20260513_230052,0,0,SSP,67.535,R0,ARRIVED_AT_DEST,node69,node29,6,"delivLegTime=5.5s"
20260513_230052,0,0,SSP,67.535,R0,TASK_COMPLETE,node69,node29,6,"total=8.0s toPickup=2.5s delivery=5.5s return=0.0s"
20260513_230052,0,0,SSP,67.535,R0,TASK_CLAIMED,node69,node48,7,"mode=SSP remaining=13"
20260513_230052,0,0,SSP,67.535,R0,DEPART_TO_NEXT_PICKUP,node69,node29,6,"nextPickup=node69"
20260513_230052,0,0,SSP,73.532,R0,DEPART_TO_PICKUP,node69,node48,7,"hops=0"
20260513_230052,0,0,SSP,73.532,R0,ARRIVED_AT_PICKUP,node69,node48,7,"toPickupTime=6.0s"
20260513_230052,0,0,SSP,92.719,R0,ARRIVED_AT_DEST,node69,node48,7,"delivLegTime=19.2s"
20260513_230052,0,0,SSP,92.719,R0,TASK_COMPLETE,node69,node48,7,"total=25.2s toPickup=6.0s delivery=19.2s return=0.0s"
20260513_230052,0,0,SSP,92.719,R0,TASK_CLAIMED,node19,node40,8,"mode=SSP remaining=12"
20260513_230052,0,0,SSP,92.719,R0,DEPART_TO_NEXT_PICKUP,node69,node48,7,"nextPickup=node19"
20260513_230052,0,0,SSP,105.594,R0,DEPART_TO_PICKUP,node19,node40,8,"hops=0"
20260513_230052,0,0,SSP,105.594,R0,ARRIVED_AT_PICKUP,node19,node40,8,"toPickupTime=12.9s"
20260513_230052,0,0,SSP,118.315,R0,ARRIVED_AT_DEST,node19,node40,8,"delivLegTime=12.7s"
20260513_230052,0,0,SSP,118.315,R0,TASK_COMPLETE,node19,node40,8,"total=25.6s toPickup=12.9s delivery=12.7s return=0.0s"
20260513_230052,0,0,SSP,118.315,R0,TASK_CLAIMED,node19,node44,9,"mode=SSP remaining=11"
20260513_230052,0,0,SSP,118.315,R0,DEPART_TO_NEXT_PICKUP,node19,node40,8,"nextPickup=node19"
20260513_230052,0,0,SSP,130.784,R0,DEPART_TO_PICKUP,node19,node44,9,"hops=0"
20260513_230052,0,0,SSP,130.784,R0,ARRIVED_AT_PICKUP,node19,node44,9,"toPickupTime=12.5s"
20260513_230052,0,0,SSP,138.503,R0,ARRIVED_AT_DEST,node19,node44,9,"delivLegTime=7.7s"
20260513_230052,0,0,SSP,138.503,R0,TASK_COMPLETE,node19,node44,9,"total=20.2s toPickup=12.5s delivery=7.7s return=0.0s"
20260513_230052,0,0,SSP,138.503,R0,TASK_CLAIMED,node19,node54,10,"mode=SSP remaining=10"
20260513_230052,0,0,SSP,138.503,R0,DEPART_TO_NEXT_PICKUP,node19,node44,9,"nextPickup=node19"
20260513_230052,0,0,SSP,146.205,R0,DEPART_TO_PICKUP,node19,node54,10,"hops=0"
20260513_230052,0,0,SSP,146.205,R0,ARRIVED_AT_PICKUP,node19,node54,10,"toPickupTime=7.7s"
20260513_230052,0,0,SSP,157.792,R0,ARRIVED_AT_DEST,node19,node54,10,"delivLegTime=11.6s"
20260513_230052,0,0,SSP,157.792,R0,TASK_COMPLETE,node19,node54,10,"total=19.3s toPickup=7.7s delivery=11.6s return=0.0s"
20260513_230052,0,0,SSP,157.792,R0,TASK_CLAIMED,node19,node4,11,"mode=SSP remaining=9"
20260513_230052,0,0,SSP,157.792,R0,DEPART_TO_NEXT_PICKUP,node19,node54,10,"nextPickup=node19"
20260513_230052,0,0,SSP,171.548,R0,DEPART_TO_PICKUP,node19,node4,11,"hops=0"
20260513_230052,0,0,SSP,171.548,R0,ARRIVED_AT_PICKUP,node19,node4,11,"toPickupTime=13.8s"
20260513_230052,0,0,SSP,195.218,R0,ARRIVED_AT_DEST,node19,node4,11,"delivLegTime=23.7s"
20260513_230052,0,0,SSP,195.218,R0,TASK_COMPLETE,node19,node4,11,"total=37.4s toPickup=13.8s delivery=23.7s return=0.0s"
20260513_230052,0,0,SSP,195.218,R0,TASK_CLAIMED,node69,node53,12,"mode=SSP remaining=8"
20260513_230052,0,0,SSP,195.218,R0,DEPART_TO_NEXT_PICKUP,node19,node4,11,"nextPickup=node69"
20260513_230052,0,0,SSP,201.419,R0,DEPART_TO_PICKUP,node69,node53,12,"hops=0"
20260513_230052,0,0,SSP,201.419,R0,ARRIVED_AT_PICKUP,node69,node53,12,"toPickupTime=6.2s"
20260513_230052,0,0,SSP,209.745,R0,ARRIVED_AT_DEST,node69,node53,12,"delivLegTime=8.3s"
20260513_230052,0,0,SSP,209.745,R0,TASK_COMPLETE,node69,node53,12,"total=14.5s toPickup=6.2s delivery=8.3s return=0.0s"
20260513_230052,0,0,SSP,209.745,R0,TASK_CLAIMED,node19,node55,13,"mode=SSP remaining=7"
20260513_230052,0,0,SSP,209.745,R0,DEPART_TO_NEXT_PICKUP,node69,node53,12,"nextPickup=node19"
20260513_230052,0,0,SSP,225.535,R0,DEPART_TO_PICKUP,node19,node55,13,"hops=0"
20260513_230052,0,0,SSP,225.535,R0,ARRIVED_AT_PICKUP,node19,node55,13,"toPickupTime=15.8s"
20260513_230052,0,0,SSP,246.389,R0,ARRIVED_AT_DEST,node19,node55,13,"delivLegTime=20.9s"
20260513_230052,0,0,SSP,246.389,R0,TASK_COMPLETE,node19,node55,13,"total=36.6s toPickup=15.8s delivery=20.9s return=0.0s"
20260513_230052,0,0,SSP,246.389,R0,TASK_CLAIMED,node71,node29,14,"mode=SSP remaining=6"
20260513_230052,0,0,SSP,246.389,R0,DEPART_TO_NEXT_PICKUP,node19,node55,13,"nextPickup=node71"
20260513_230052,0,0,SSP,260.695,R0,DEPART_TO_PICKUP,node71,node29,14,"hops=0"
20260513_230052,0,0,SSP,260.695,R0,ARRIVED_AT_PICKUP,node71,node29,14,"toPickupTime=14.3s"
20260513_230052,0,0,SSP,272.518,R0,ARRIVED_AT_DEST,node71,node29,14,"delivLegTime=11.8s"
20260513_230052,0,0,SSP,272.518,R0,TASK_COMPLETE,node71,node29,14,"total=26.1s toPickup=14.3s delivery=11.8s return=0.0s"
20260513_230052,0,0,SSP,272.518,R0,TASK_CLAIMED,node71,node53,15,"mode=SSP remaining=5"
20260513_230052,0,0,SSP,272.518,R0,DEPART_TO_NEXT_PICKUP,node71,node29,14,"nextPickup=node71"
20260513_230052,0,0,SSP,283.768,R0,DEPART_TO_PICKUP,node71,node53,15,"hops=0"
20260513_230052,0,0,SSP,283.768,R0,ARRIVED_AT_PICKUP,node71,node53,15,"toPickupTime=11.3s"
20260513_230052,0,0,SSP,303.140,R0,ARRIVED_AT_DEST,node71,node53,15,"delivLegTime=19.4s"
20260513_230052,0,0,SSP,303.140,R0,TASK_COMPLETE,node71,node53,15,"total=30.6s toPickup=11.3s delivery=19.4s return=0.0s"
20260513_230052,0,0,SSP,303.140,R0,TASK_CLAIMED,node19,node35,16,"mode=SSP remaining=4"
20260513_230052,0,0,SSP,303.140,R0,DEPART_TO_NEXT_PICKUP,node71,node53,15,"nextPickup=node19"
20260513_230052,0,0,SSP,318.531,R0,DEPART_TO_PICKUP,node19,node35,16,"hops=0"
20260513_230052,0,0,SSP,318.531,R0,ARRIVED_AT_PICKUP,node19,node35,16,"toPickupTime=15.4s"
20260513_230052,0,0,SSP,335.522,R0,ARRIVED_AT_DEST,node19,node35,16,"delivLegTime=17.0s"
20260513_230052,0,0,SSP,335.522,R0,TASK_COMPLETE,node19,node35,16,"total=32.4s toPickup=15.4s delivery=17.0s return=0.0s"
20260513_230052,0,0,SSP,335.522,R0,TASK_CLAIMED,node71,node2,17,"mode=SSP remaining=3"
20260513_230052,0,0,SSP,335.522,R0,DEPART_TO_NEXT_PICKUP,node19,node35,16,"nextPickup=node71"
20260513_230052,0,0,SSP,357.175,R0,DEPART_TO_PICKUP,node71,node2,17,"hops=0"
20260513_230052,0,0,SSP,357.175,R0,ARRIVED_AT_PICKUP,node71,node2,17,"toPickupTime=21.7s"
20260513_230052,0,0,SSP,370.596,R0,ARRIVED_AT_DEST,node71,node2,17,"delivLegTime=13.4s"
20260513_230052,0,0,SSP,370.596,R0,TASK_COMPLETE,node71,node2,17,"total=35.1s toPickup=21.7s delivery=13.4s return=0.0s"
20260513_230052,0,0,SSP,370.596,R0,TASK_CLAIMED,node71,node62,18,"mode=SSP remaining=2"
20260513_230052,0,0,SSP,370.596,R0,DEPART_TO_NEXT_PICKUP,node71,node2,17,"nextPickup=node71"
20260513_230052,0,0,SSP,386.905,R0,DEPART_TO_PICKUP,node71,node62,18,"hops=0"
