runId,phase,effectiveMode,modeName,numRobots,numOrders,crowdednessLevel,randomSeed,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,robot0Tasks,robot1Tasks,robot2Tasks,robot3Tasks,robot4Tasks,robot5Tasks,robot6Tasks,robot7Tasks,robot8Tasks,robot9Tasks,robot0TotalSec,robot1TotalSec,robot2TotalSec,robot3TotalSec,robot4TotalSec,robot5TotalSec,robot6TotalSec,robot7TotalSec,robot8TotalSec,robot9TotalSec
20260513_225507,0,0,SSP,1,20,1,7193,378.00,20,18.89,8.10,29.54,8.35,10.54,0.00,20,0,0,0,0,0,0,0,0,0,377.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225507,1,1,EV,1,20,1,7193,360.50,20,18.02,7.25,26.24,7.90,10.12,0.00,20,0,0,0,0,0,0,0,0,0,360.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225507,2,2,EA,1,20,1,7193,371.00,20,18.53,8.36,33.33,7.87,10.66,0.00,20,0,0,0,0,0,0,0,0,0,370.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         378.00
# EV          360.50
# EA          371.00
# SSP     vs best: +4.6%
# EV      vs best: +0.0%
# EA      vs best: +2.8%
20260513_225507,0,0,SSP,2,20,1,7193,199.00,20,19.18,7.25,33.62,8.12,11.06,0.00,11,9,0,0,0,0,0,0,0,0,184.79,198.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225507,1,1,EV,2,20,1,7193,191.00,20,18.67,8.05,28.47,8.06,10.61,0.00,11,9,0,0,0,0,0,0,0,0,182.56,190.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225507,2,2,EA,2,20,1,7193,196.50,20,18.71,8.82,33.03,8.21,10.50,0.00,10,10,0,0,0,0,0,0,0,0,196.22,178.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         199.00
# EV          191.00
# EA          196.50
# SSP     vs best: +4.0%
# EV      vs best: +0.0%
# EA      vs best: +2.8%
20260513_225507,0,0,SSP,3,20,1,7193,135.00,20,18.69,12.95,26.55,7.26,11.43,0.00,7,6,7,0,0,0,0,0,0,0,134.68,116.90,122.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225507,1,1,EV,3,20,1,7193,129.00,20,18.24,11.00,24.43,7.62,10.62,0.00,7,6,7,0,0,0,0,0,0,0,128.62,114.03,122.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225507,2,2,EA,3,20,1,7193,129.50,20,18.04,4.95,32.04,7.36,10.68,0.00,7,6,7,0,0,0,0,0,0,0,129.35,111.98,119.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         135.00
# EV          129.00
# EA          129.50
# SSP     vs best: +4.4%
# EV      vs best: +0.0%
# EA      vs best: +0.4%
20260513_225507,0,0,SSP,4,20,1,7193,102.00,20,18.67,10.38,28.56,7.45,11.22,0.00,5,5,5,5,0,0,0,0,0,0,84.75,90.64,101.60,96.43,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225507,1,1,EV,4,20,1,7193,98.50,20,18.05,10.38,25.29,7.37,10.68,0.00,5,5,5,5,0,0,0,0,0,0,85.98,83.92,98.13,92.97,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225507,2,2,EA,4,20,1,7193,109.00,20,17.81,5.86,35.51,7.09,10.72,0.00,5,5,5,5,0,0,0,0,0,0,108.74,78.00,82.39,87.07,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         102.00
# EV           98.50
# EA          109.00
# SSP     vs best: +3.4%
# EV      vs best: +0.0%
# EA      vs best: +9.6%
20260513_225507,0,0,SSP,5,20,1,7193,94.50,20,19.36,10.74,42.63,8.37,11.00,0.00,4,5,4,4,3,0,0,0,0,0,78.70,72.63,94.15,80.24,61.51,0.00,0.00,0.00,0.00,0.00
20260513_225507,1,1,EV,5,20,1,7193,84.50,20,18.38,11.01,34.25,7.92,10.46,0.00,4,5,4,4,3,0,0,0,0,0,72.28,70.90,84.38,77.71,62.24,0.00,0.00,0.00,0.00,0.00
20260513_225507,2,2,EA,5,20,1,7193,82.00,20,17.62,5.35,32.07,7.07,10.55,0.00,4,4,4,4,4,0,0,0,0,0,65.52,73.27,64.22,67.50,81.97,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          94.50
# EV           84.50
# EA           82.00
# SSP     vs best: +13.2%
# EV      vs best: +3.0%
# EA      vs best: +0.0%
20260513_225507,0,0,SSP,6,20,1,7193,74.50,20,18.64,5.79,29.77,7.61,11.03,0.00,3,4,4,3,3,3,0,0,0,0,69.56,61.10,59.57,61.14,74.42,47.00,0.00,0.00,0.00,0.00
20260513_225507,1,1,EV,6,20,1,7193,74.00,20,18.08,5.84,30.50,7.50,10.58,0.00,3,4,4,3,2,4,0,0,0,0,66.51,54.24,57.07,62.01,47.99,73.76,0.00,0.00,0.00,0.00
20260513_225507,2,2,EA,6,20,1,7193,74.50,20,16.96,2.02,33.66,6.32,10.64,0.00,3,3,4,3,3,4,0,0,0,0,43.34,49.18,74.05,41.68,70.71,60.20,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          74.50
# EV           74.00
# EA           74.50
# SSP     vs best: +0.7%
# EV      vs best: +0.0%
# EA      vs best: +0.7%
20260513_225507,0,0,SSP,7,20,1,7193,69.50,20,18.86,4.95,32.17,7.57,11.30,0.00,2,3,4,3,3,3,2,0,0,0,44.30,54.35,48.91,58.17,69.01,62.16,40.35,0.00,0.00,0.00
20260513_225507,1,1,EV,7,20,1,7193,62.50,20,18.06,4.95,24.38,7.20,10.86,0.00,2,3,4,3,3,3,2,0,0,0,45.24,53.46,55.84,52.30,62.41,51.67,40.23,0.00,0.00,0.00
20260513_225507,2,2,EA,7,20,1,7193,66.00,20,16.95,2.27,33.51,6.15,10.80,0.00,3,3,3,3,2,3,3,0,0,0,63.19,65.78,55.87,40.81,35.58,36.39,41.36,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          69.50
# EV           62.50
# EA           66.00
# SSP     vs best: +10.1%
# EV      vs best: +0.0%
# EA      vs best: +5.3%
20260513_225507,0,0,SSP,8,20,1,7193,70.00,20,18.90,4.95,40.62,7.46,11.44,0.00,3,3,3,2,2,3,2,2,0,0,46.32,69.60,51.40,45.26,38.19,35.50,39.68,52.04,0.00,0.00
