runId,phase,effectiveMode,modeName,simTime,robotId,eventType,pickupNode,destNode,taskSeq,detail
20260513_224629,0,0,SSP,0.000,R0,TASK_CLAIMED,node28,node29,1,"mode=SSP remaining=19"
20260513_224629,0,0,SSP,0.000,R0,DEPART_TO_PICKUP,node28,node29,1,"hops=4"
20260513_224629,0,0,SSP,1.424,R0,DEPART_TO_PICKUP,node28,node29,1,"hops=3"
20260513_224629,0,0,SSP,2.816,R0,DEPART_TO_PICKUP,node28,node29,1,"hops=2"
20260513_224629,0,0,SSP,4.225,R0,DEPART_TO_PICKUP,node28,node29,1,"hops=1"
20260513_224629,0,0,SSP,4.225,R0,ARRIVED_AT_PICKUP,node28,node29,1,"toPickupTime=4.2s"
20260513_224629,0,0,SSP,4.225,R0,ARRIVED_AT_DEST,node28,node29,1,"delivLegTime=0.0s"
20260513_224629,0,0,SSP,4.225,R0,TASK_COMPLETE,node28,node29,1,"total=4.2s toPickup=4.2s delivery=0.0s return=0.0s"
20260513_224629,0,0,SSP,4.225,R0,TASK_CLAIMED,node28,node43,2,"mode=SSP remaining=18"
20260513_224629,0,0,SSP,4.225,R0,DEPART_TO_NEXT_PICKUP,node28,node29,1,"nextPickup=node28"
20260513_224629,0,0,SSP,5.466,R0,DEPART_TO_PICKUP,node28,node43,2,"hops=0"
20260513_224629,0,0,SSP,5.466,R0,ARRIVED_AT_PICKUP,node28,node43,2,"toPickupTime=1.2s"
20260513_224629,0,0,SSP,26.170,R0,ARRIVED_AT_DEST,node28,node43,2,"delivLegTime=20.7s"
20260513_224629,0,0,SSP,26.170,R0,TASK_COMPLETE,node28,node43,2,"total=21.9s toPickup=1.2s delivery=20.7s return=0.0s"
20260513_224629,0,0,SSP,26.170,R0,TASK_CLAIMED,node49,node8,3,"mode=SSP remaining=17"
20260513_224629,0,0,SSP,26.170,R0,DEPART_TO_NEXT_PICKUP,node28,node43,2,"nextPickup=node49"
20260513_224629,0,0,SSP,32.047,R0,DEPART_TO_PICKUP,node49,node8,3,"hops=0"
20260513_224629,0,0,SSP,32.047,R0,ARRIVED_AT_PICKUP,node49,node8,3,"toPickupTime=5.9s"
20260513_224629,0,0,SSP,38.964,R0,ARRIVED_AT_DEST,node49,node8,3,"delivLegTime=6.9s"
20260513_224629,0,0,SSP,38.964,R0,TASK_COMPLETE,node49,node8,3,"total=12.8s toPickup=5.9s delivery=6.9s return=0.0s"
20260513_224629,0,0,SSP,38.964,R0,TASK_CLAIMED,node69,node15,4,"mode=SSP remaining=16"
20260513_224629,0,0,SSP,38.964,R0,DEPART_TO_NEXT_PICKUP,node49,node8,3,"nextPickup=node69"
20260513_224629,0,0,SSP,45.771,R0,DEPART_TO_PICKUP,node69,node15,4,"hops=0"
20260513_224629,0,0,SSP,45.771,R0,ARRIVED_AT_PICKUP,node69,node15,4,"toPickupTime=6.8s"
20260513_224629,0,0,SSP,54.336,R0,ARRIVED_AT_DEST,node69,node15,4,"delivLegTime=8.6s"
20260513_224629,0,0,SSP,54.336,R0,TASK_COMPLETE,node69,node15,4,"total=15.4s toPickup=6.8s delivery=8.6s return=0.0s"
20260513_224629,0,0,SSP,54.336,R0,TASK_CLAIMED,node49,node24,5,"mode=SSP remaining=15"
20260513_224629,0,0,SSP,54.336,R0,DEPART_TO_NEXT_PICKUP,node69,node15,4,"nextPickup=node49"
20260513_224629,0,0,SSP,62.030,R0,DEPART_TO_PICKUP,node49,node24,5,"hops=0"
20260513_224629,0,0,SSP,62.030,R0,ARRIVED_AT_PICKUP,node49,node24,5,"toPickupTime=7.7s"
20260513_224629,0,0,SSP,77.363,R0,ARRIVED_AT_DEST,node49,node24,5,"delivLegTime=15.3s"
20260513_224629,0,0,SSP,77.363,R0,TASK_COMPLETE,node49,node24,5,"total=23.0s toPickup=7.7s delivery=15.3s return=0.0s"
20260513_224629,0,0,SSP,77.363,R0,TASK_CLAIMED,node11,node2,6,"mode=SSP remaining=14"
20260513_224629,0,0,SSP,77.363,R0,DEPART_TO_NEXT_PICKUP,node49,node24,5,"nextPickup=node11"
20260513_224629,0,0,SSP,80.296,R0,DEPART_TO_PICKUP,node11,node2,6,"hops=0"
20260513_224629,0,0,SSP,80.296,R0,ARRIVED_AT_PICKUP,node11,node2,6,"toPickupTime=2.9s"
20260513_224629,0,0,SSP,94.890,R0,ARRIVED_AT_DEST,node11,node2,6,"delivLegTime=14.6s"
20260513_224629,0,0,SSP,94.890,R0,TASK_COMPLETE,node11,node2,6,"total=17.5s toPickup=2.9s delivery=14.6s return=0.0s"
20260513_224629,0,0,SSP,94.890,R0,TASK_CLAIMED,node69,node55,7,"mode=SSP remaining=13"
20260513_224629,0,0,SSP,94.890,R0,DEPART_TO_NEXT_PICKUP,node11,node2,6,"nextPickup=node69"
20260513_224629,0,0,SSP,104.842,R0,DEPART_TO_PICKUP,node69,node55,7,"hops=0"
20260513_224629,0,0,SSP,104.842,R0,ARRIVED_AT_PICKUP,node69,node55,7,"toPickupTime=10.0s"
20260513_224629,0,0,SSP,112.528,R0,ARRIVED_AT_DEST,node69,node55,7,"delivLegTime=7.7s"
20260513_224629,0,0,SSP,112.528,R0,TASK_COMPLETE,node69,node55,7,"total=17.6s toPickup=10.0s delivery=7.7s return=0.0s"
20260513_224629,0,0,SSP,112.528,R0,TASK_CLAIMED,node49,node57,8,"mode=SSP remaining=12"
20260513_224629,0,0,SSP,112.528,R0,DEPART_TO_NEXT_PICKUP,node69,node55,7,"nextPickup=node49"
20260513_224629,0,0,SSP,117.233,R0,DEPART_TO_PICKUP,node49,node57,8,"hops=0"
20260513_224629,0,0,SSP,117.233,R0,ARRIVED_AT_PICKUP,node49,node57,8,"toPickupTime=4.7s"
20260513_224629,0,0,SSP,123.605,R0,ARRIVED_AT_DEST,node49,node57,8,"delivLegTime=6.4s"
20260513_224629,0,0,SSP,123.605,R0,TASK_COMPLETE,node49,node57,8,"total=11.1s toPickup=4.7s delivery=6.4s return=0.0s"
20260513_224629,0,0,SSP,123.605,R0,TASK_CLAIMED,node69,node22,9,"mode=SSP remaining=11"
20260513_224629,0,0,SSP,123.605,R0,DEPART_TO_NEXT_PICKUP,node49,node57,8,"nextPickup=node69"
20260513_224629,0,0,SSP,130.212,R0,DEPART_TO_PICKUP,node69,node22,9,"hops=0"
