runId,phase,effectiveMode,modeName,robotId,taskSeq,pickupNode,destNode,taskStartSim,toPickupSec,deliveryLegSec,returnSec,totalSec,expOutSec,expInSec,hopsToStore,hopsToDest,hopsReturn,crowdednessLevel,numRobots,numOrders,randomSeed
20260513_230714,0,0,SSP,0,1,node5,node14,0.00,4.05,18.42,0.00,22.47,34.50,47.50,1,3,0,1,1,20,2803
20260513_230714,0,0,SSP,0,2,node46,node61,22.47,4.52,5.54,0.00,10.06,0.00,25.27,0,4,0,1,1,20,2803
20260513_230714,0,0,SSP,0,3,node46,node71,32.53,5.92,10.10,0.00,16.02,0.00,42.02,0,6,0,1,1,20,2803
20260513_230714,0,0,SSP,0,4,node66,node63,48.54,5.73,13.67,0.00,19.40,0.00,72.41,0,6,0,1,1,20,2803
20260513_230714,0,0,SSP,0,5,node46,node44,67.95,7.16,2.69,0.00,9.85,0.00,13.45,0,2,0,1,1,20,2803
20260513_230714,0,0,SSP,0,6,node37,node65,77.80,8.81,10.85,0.00,19.66,0.00,45.20,0,6,0,1,1,20,2803
20260513_230714,0,0,SSP,0,7,node66,node6,97.46,1.33,6.28,0.00,7.62,0.00,28.11,0,3,0,1,1,20,2803
20260513_230714,0,0,SSP,0,8,node5,node59,105.07,2.33,11.25,0.00,13.59,0.00,43.13,0,4,0,1,1,20,2803
20260513_230714,0,0,SSP,0,9,node37,node46,118.66,6.49,11.96,0.00,18.45,0.00,57.52,0,9,0,1,1,20,2803
20260513_230714,0,0,SSP,0,10,node37,node27,137.11,12.01,13.18,0.00,25.19,0.00,70.58,0,9,0,1,1,20,2803
20260513_230714,0,0,SSP,0,11,node66,node61,162.30,4.44,17.99,0.00,22.43,0.00,83.73,0,7,0,1,1,20,2803
20260513_230714,0,0,SSP,0,12,node37,node60,184.73,8.76,6.13,0.00,14.89,0.00,35.86,0,6,0,1,1,20,2803
20260513_230714,0,0,SSP,0,13,node5,node54,199.62,13.02,7.04,0.00,20.06,0.00,29.26,0,5,0,1,1,20,2803
20260513_230714,0,0,SSP,0,14,node5,node13,219.68,7.69,10.83,0.00,18.53,0.00,41.67,0,2,0,1,1,20,2803
20260513_230714,0,0,SSP,0,15,node5,node26,238.21,11.83,7.89,0.00,19.72,0.00,42.38,0,6,0,1,1,20,2803
20260513_230714,0,0,SSP,0,16,node66,node53,257.93,5.88,8.19,0.00,14.07,0.00,39.14,0,5,0,1,1,20,2803
20260513_230714,0,0,SSP,0,17,node5,node66,272.00,6.71,3.80,0.00,10.51,0.00,15.66,0,2,0,1,1,20,2803
20260513_230714,0,0,SSP,0,18,node66,node9,282.52,0.00,5.95,0.00,5.95,0.00,30.06,0,3,0,1,1,20,2803
20260513_230714,0,0,SSP,0,19,node66,node64,288.47,5.23,11.11,0.00,16.33,0.00,65.99,0,5,0,1,1,20,2803
20260513_230714,0,0,SSP,0,20,node66,node75,304.80,15.63,7.25,0.00,22.88,0.00,35.80,0,5,0,1,1,20,2803
20260513_230714,1,1,EV,0,1,node5,node14,328.00,3.98,13.95,0.00,17.93,33.17,45.00,1,4,0,1,1,20,2803
20260513_230714,1,1,EV,0,2,node46,node61,345.93,4.79,5.48,0.00,10.28,0.00,25.27,0,4,0,1,1,20,2803
20260513_230714,1,1,EV,0,3,node46,node71,356.21,5.56,10.88,0.00,16.44,0.00,42.02,0,6,0,1,1,20,2803
20260513_230714,1,1,EV,0,4,node66,node63,372.65,6.43,10.18,0.00,16.62,0.00,56.13,0,7,0,1,1,20,2803
20260513_230714,1,1,EV,0,5,node46,node44,389.26,6.78,2.69,0.00,9.47,0.00,13.45,0,2,0,1,1,20,2803
20260513_230714,1,1,EV,0,6,node37,node65,398.73,8.81,9.95,0.00,18.76,0.00,45.20,0,6,0,1,1,20,2803
20260513_230714,1,1,EV,0,7,node66,node6,417.50,0.93,5.03,0.00,5.97,0.00,28.11,0,3,0,1,1,20,2803
20260513_230714,1,1,EV,0,8,node5,node59,423.46,2.58,8.66,0.00,11.25,0.00,39.76,0,6,0,1,1,20,2803
20260513_230714,1,1,EV,0,9,node37,node46,434.71,6.49,11.46,0.00,17.95,0.00,57.52,0,9,0,1,1,20,2803
20260513_230714,1,1,EV,0,10,node37,node27,452.66,12.01,15.42,0.00,27.42,0.00,70.58,0,9,0,1,1,20,2803
20260513_230714,1,1,EV,0,11,node66,node61,480.08,4.74,14.94,0.00,19.69,0.00,67.45,0,8,0,1,1,20,2803
20260513_230714,1,1,EV,0,12,node37,node60,499.77,8.79,6.39,0.00,15.18,0.00,35.86,0,6,0,1,1,20,2803
20260513_230714,1,1,EV,0,13,node5,node54,514.95,10.68,6.44,0.00,17.11,0.00,29.26,0,5,0,1,1,20,2803
20260513_230714,1,1,EV,0,14,node5,node13,532.07,6.99,9.08,0.00,16.08,0.00,39.17,0,3,0,1,1,20,2803
20260513_230714,1,1,EV,0,15,node5,node26,548.14,10.33,8.87,0.00,19.20,0.00,42.38,0,7,0,1,1,20,2803
20260513_230714,1,1,EV,0,16,node66,node53,567.34,5.34,7.54,0.00,12.88,0.00,39.14,0,5,0,1,1,20,2803
20260513_230714,1,1,EV,0,17,node5,node66,580.23,6.31,3.13,0.00,9.44,0.00,15.66,0,3,0,1,1,20,2803
20260513_230714,1,1,EV,0,18,node66,node9,589.67,0.00,7.29,0.00,7.29,0.00,27.75,0,4,0,1,1,20,2803
20260513_230714,1,1,EV,0,19,node66,node64,596.96,5.65,11.01,0.00,16.66,0.00,49.71,0,6,0,1,1,20,2803
20260513_230714,1,1,EV,0,20,node66,node75,613.62,13.15,8.25,0.00,21.40,0.00,35.80,0,5,0,1,1,20,2803
20260513_230714,2,2,EA,0,1,node5,node66,635.50,3.78,5.19,0.00,8.97,33.17,15.66,1,3,0,1,1,20,2803
20260513_230714,2,2,EA,0,2,node66,node6,644.47,0.00,5.46,0.00,5.46,0.00,28.11,0,3,0,1,1,20,2803
20260513_230714,2,2,EA,0,3,node5,node54,649.93,2.58,6.44,0.00,9.02,0.00,29.26,0,5,0,1,1,20,2803
20260513_230714,2,2,EA,0,4,node37,node65,658.96,5.69,9.67,0.00,15.36,0.00,45.20,0,6,0,1,1,20,2803
20260513_230714,2,2,EA,0,5,node66,node9,674.31,1.33,7.09,0.00,8.42,0.00,27.75,0,4,0,1,1,20,2803
20260513_230714,2,2,EA,0,6,node66,node53,682.74,5.85,8.01,0.00,13.86,0.00,39.14,0,5,0,1,1,20,2803
20260513_230714,2,2,EA,0,7,node37,node46,696.60,4.07,11.46,0.00,15.53,0.00,57.52,0,9,0,1,1,20,2803
20260513_230714,2,2,EA,0,8,node46,node44,712.13,0.00,2.98,0.00,2.98,0.00,13.45,0,2,0,1,1,20,2803
20260513_230714,2,2,EA,0,9,node46,node61,715.11,2.69,6.46,0.00,9.15,0.00,25.27,0,4,0,1,1,20,2803
20260513_230714,2,2,EA,0,10,node46,node71,724.26,5.85,9.25,0.00,15.10,0.00,42.02,0,6,0,1,1,20,2803
20260513_230714,2,2,EA,0,11,node66,node75,739.37,6.38,7.65,0.00,14.03,0.00,35.80,0,5,0,1,1,20,2803
