runId,phase,effectiveMode,modeName,numRobots,numOrders,crowdednessLevel,randomSeed,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,robot0Tasks,robot1Tasks,robot2Tasks,robot3Tasks,robot4Tasks,robot5Tasks,robot6Tasks,robot7Tasks,robot8Tasks,robot9Tasks,robot0TotalSec,robot1TotalSec,robot2TotalSec,robot3TotalSec,robot4TotalSec,robot5TotalSec,robot6TotalSec,robot7TotalSec,robot8TotalSec,robot9TotalSec
20260513_225811,0,0,SSP,1,20,1,8527,401.00,20,20.05,9.38,54.61,7.23,12.81,0.00,20,0,0,0,0,0,0,0,0,0,400.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225811,1,1,EV,1,20,1,8527,393.50,20,19.67,9.80,45.69,7.16,12.51,0.00,20,0,0,0,0,0,0,0,0,0,393.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225811,2,2,EA,1,20,1,8527,424.00,20,21.18,7.49,46.87,8.67,12.51,0.00,20,0,0,0,0,0,0,0,0,0,423.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         401.00
# EV          393.50
# EA          424.00
# SSP     vs best: +1.9%
# EV      vs best: +0.0%
# EA      vs best: +7.2%
20260513_225811,0,0,SSP,2,20,1,8527,218.50,20,20.39,9.11,40.29,6.89,13.50,0.00,10,10,0,0,0,0,0,0,0,0,218.15,189.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225811,1,1,EV,2,20,1,8527,221.00,20,20.47,8.93,40.11,7.07,13.40,0.00,10,10,0,0,0,0,0,0,0,0,220.70,188.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225811,2,2,EA,2,20,1,8527,225.00,20,20.84,7.97,42.86,7.75,13.08,0.00,10,10,0,0,0,0,0,0,0,0,192.14,224.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         218.50
# EV          221.00
# EA          225.00
# SSP     vs best: +0.0%
# EV      vs best: +1.1%
# EA      vs best: +2.9%
20260513_225811,0,0,SSP,3,20,1,8527,151.00,20,19.65,6.45,38.50,6.91,12.75,0.00,6,7,7,0,0,0,0,0,0,0,127.99,150.72,114.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225811,1,1,EV,3,20,1,8527,138.50,20,20.20,7.16,34.64,6.98,13.21,0.00,6,7,7,0,0,0,0,0,0,0,135.91,138.28,129.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225811,2,2,EA,3,20,1,8527,156.00,20,20.51,2.09,39.66,7.28,13.23,0.00,6,7,7,0,0,0,0,0,0,0,125.00,155.89,129.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         151.00
# EV          138.50
# EA          156.00
# SSP     vs best: +8.3%
# EV      vs best: +0.0%
# EA      vs best: +11.2%
20260513_225811,0,0,SSP,4,20,1,8527,117.50,20,19.79,6.95,38.65,6.43,13.36,0.00,4,5,6,5,0,0,0,0,0,0,94.44,96.45,87.94,117.02,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225811,1,1,EV,4,20,1,8527,120.50,20,19.77,6.45,40.12,6.62,13.14,0.00,4,5,6,5,0,0,0,0,0,0,94.15,95.16,85.77,120.22,0.00,0.00,0.00,0.00,0.00,0.00
20260513_225811,2,2,EA,4,20,1,8527,110.00,20,19.83,8.38,40.03,6.64,13.20,0.00,5,5,5,5,0,0,0,0,0,0,90.49,96.69,109.98,99.49,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         117.50
# EV          120.50
# EA          110.00
# SSP     vs best: +6.4%
# EV      vs best: +8.7%
# EA      vs best: +0.0%
20260513_225811,0,0,SSP,5,20,1,8527,93.50,20,18.69,6.63,35.12,5.99,12.70,0.00,4,4,4,4,4,0,0,0,0,0,93.30,60.75,59.78,79.95,80.05,0.00,0.00,0.00,0.00,0.00
20260513_225811,1,1,EV,5,20,1,8527,97.00,20,18.85,6.45,35.66,6.11,12.74,0.00,3,5,4,4,4,0,0,0,0,0,62.23,96.72,61.48,76.89,79.66,0.00,0.00,0.00,0.00,0.00
20260513_225811,2,2,EA,5,20,1,8527,101.50,20,19.74,8.38,43.89,6.76,12.98,0.00,4,4,4,4,4,0,0,0,0,0,101.00,66.29,85.90,66.86,74.67,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          93.50
# EV           97.00
# EA          101.50
# SSP     vs best: +0.0%
# EV      vs best: +3.6%
# EA      vs best: +7.9%
20260513_225811,0,0,SSP,6,20,1,8527,87.50,20,18.97,6.45,40.23,5.92,13.05,0.00,3,4,4,3,3,3,0,0,0,0,55.11,63.76,59.76,61.38,52.20,87.21,0.00,0.00,0.00,0.00
20260513_225811,1,1,EV,6,20,1,8527,87.50,20,19.27,7.16,40.03,6.03,13.24,0.00,3,4,4,3,3,3,0,0,0,0,59.16,67.79,60.19,58.27,52.84,87.11,0.00,0.00,0.00,0.00
20260513_225811,2,2,EA,6,20,1,8527,86.00,20,19.16,8.66,38.17,6.04,13.12,0.00,3,3,3,4,4,3,0,0,0,0,63.69,47.77,57.37,76.55,85.75,52.06,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          87.50
# EV           87.50
# EA           86.00
# SSP     vs best: +1.7%
# EV      vs best: +1.7%
# EA      vs best: +0.0%
20260513_225811,0,0,SSP,7,20,1,8527,82.50,20,20.13,1.92,37.40,6.95,13.18,0.00,3,3,4,3,2,2,3,0,0,0,65.68,55.32,52.34,82.22,48.85,53.25,44.96,0.00,0.00,0.00
20260513_225811,1,1,EV,7,20,1,8527,81.50,20,19.79,1.92,37.18,6.94,12.85,0.00,3,3,4,3,2,2,3,0,0,0,55.14,52.42,62.99,81.16,44.71,54.11,45.28,0.00,0.00,0.00
20260513_225811,2,2,EA,7,20,1,8527,72.50,20,19.93,6.83,36.43,6.69,13.24,0.00,2,3,3,3,3,3,3,0,0,0,43.88,72.39,71.61,51.21,52.27,60.15,47.11,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          82.50
# EV           81.50
# EA           72.50
# SSP     vs best: +12.1%
# EV      vs best: +11.0%
# EA      vs best: +0.0%
20260513_225811,0,0,SSP,8,20,1,8527,63.00,20,18.85,1.92,29.01,5.85,13.00,0.00,3,3,3,2,2,2,3,2,0,0,62.67,48.23,38.12,45.35,37.19,40.14,52.22,53.14,0.00,0.00
20260513_225811,1,1,EV,8,20,1,8527,63.00,20,18.97,1.92,30.35,5.68,13.29,0.00,3,3,3,2,2,2,3,2,0,0,62.73,46.93,38.94,44.08,37.46,38.31,52.35,58.55,0.00,0.00
20260513_225811,2,2,EA,8,20,1,8527,78.00,20,20.41,8.78,38.63,7.09,13.32,0.00,2,2,2,3,3,3,2,3,0,0,41.21,39.46,44.19,77.63,53.75,62.90,46.41,42.68,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          63.00
# EV           63.00
# EA           78.00
# SSP     vs best: +0.0%
# EV      vs best: +0.0%
# EA      vs best: +19.2%
20260513_225811,0,0,SSP,9,20,1,8527,59.00,20,19.22,1.92,37.89,6.23,12.99,0.00,2,3,3,2,2,2,2,2,2,0,37.19,43.16,47.95,58.90,45.82,49.17,31.12,31.51,39.66,0.00
20260513_225811,1,1,EV,9,20,1,8527,59.00,20,18.88,1.92,37.98,5.80,13.08,0.00,2,3,3,2,2,2,2,2,2,0,37.67,42.23,48.94,58.67,42.42,36.19,32.96,38.26,40.26,0.00
20260513_225811,2,2,EA,9,20,1,8527,66.50,20,20.27,6.14,38.79,6.97,13.30,0.00,2,2,2,2,2,2,2,3,3,0,40.20,39.84,33.02,48.19,36.51,35.22,47.23,66.42,58.82,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          59.00
# EV           59.00
# EA           66.50
# SSP     vs best: +0.0%
# EV      vs best: +0.0%
# EA      vs best: +11.3%
20260513_225811,0,0,SSP,10,20,1,8527,52.00,20,18.85,6.56,32.99,5.81,13.05,0.00,2,3,2,1,2,2,2,2,2,2,35.62,51.72,45.42,20.69,45.95,41.92,23.61,42.67,39.58,29.91
20260513_225811,1,1,EV,10,20,1,8527,62.00,20,19.19,6.56,40.59,6.07,13.12,0.00,2,3,2,2,2,2,2,1,2,2,36.75,38.71,42.91,61.90,51.85,36.83,21.55,22.43,39.22,31.67
20260513_225811,2,2,EA,10,20,1,8527,58.50,20,20.18,2.04,37.65,6.75,13.43,0.00,2,2,2,2,2,2,1,2,3,2,44.82,41.08,30.49,57.80,38.06,50.36,23.16,37.53,58.05,22.20

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP          52.00
# EV           62.00
# EA           58.50
# SSP     vs best: +0.0%
# EV      vs best: +16.1%
# EA      vs best: +11.1%
