runId,phase,effectiveMode,modeName,robotId,taskSeq,pickupNode,destNode,taskStartSim,toPickupSec,deliveryLegSec,returnSec,totalSec,expOutSec,expInSec,hopsToStore,hopsToDest,hopsReturn,crowdednessLevel,numRobots,numOrders,randomSeed
20260513_224911,0,0,SSP,0,1,node3,node53,0.00,0.00,10.16,0.00,10.16,18.00,33.26,1,5,0,1,1,20,4783
20260513_224911,0,0,SSP,0,2,node5,node50,10.16,6.86,8.15,0.00,15.01,0.00,31.50,0,2,0,1,1,20,4783
20260513_224911,0,0,SSP,0,3,node5,node29,25.18,10.18,6.53,0.00,16.71,0.00,35.55,0,5,0,1,1,20,4783
20260513_224911,0,0,SSP,0,4,node69,node50,41.89,5.16,12.34,0.00,17.49,0.00,51.96,0,4,0,1,1,20,4783
20260513_224911,0,0,SSP,0,5,node5,node55,59.38,7.98,3.41,0.00,11.39,0.00,14.04,0,2,0,1,1,20,4783
20260513_224911,0,0,SSP,0,6,node5,node36,70.77,4.15,5.90,0.00,10.05,0.00,28.80,0,4,0,1,1,20,4783
20260513_224911,0,0,SSP,0,7,node5,node23,80.83,7.60,18.07,0.00,25.68,0.00,81.42,0,6,0,1,1,20,4783
20260513_224911,0,0,SSP,0,8,node24,node34,106.50,2.67,14.76,0.00,17.43,0.00,76.04,0,11,0,1,1,20,4783
20260513_224911,0,0,SSP,0,9,node3,node17,123.93,8.93,18.35,0.00,27.28,0.00,78.02,0,5,0,1,1,20,4783
20260513_224911,0,0,SSP,0,10,node69,node66,151.21,10.90,1.93,0.00,12.83,0.00,8.79,0,2,0,1,1,20,4783
20260513_224911,0,0,SSP,0,11,node69,node10,164.04,2.34,2.09,0.00,4.43,0.00,9.21,0,1,0,1,1,20,4783
20260513_224911,0,0,SSP,0,12,node24,node15,168.47,4.33,9.49,0.00,13.83,0.00,54.19,0,7,0,1,1,20,4783
20260513_224911,0,0,SSP,0,13,node24,node26,182.30,12.34,3.20,0.00,15.53,0.00,14.40,0,2,0,1,1,20,4783
20260513_224911,0,0,SSP,0,14,node24,node3,197.83,2.88,10.96,0.00,13.84,0.00,62.04,0,7,0,1,1,20,4783
20260513_224911,0,0,SSP,0,15,node3,node33,211.67,0.00,6.74,0.00,6.74,0.00,29.38,0,3,0,1,1,20,4783
20260513_224911,0,0,SSP,0,16,node3,node33,218.41,8.29,5.84,0.00,14.13,0.00,29.38,0,3,0,1,1,20,4783
20260513_224911,0,0,SSP,0,17,node3,node52,232.54,7.08,7.54,0.00,14.62,0.00,28.56,0,4,0,1,1,20,4783
20260513_224911,0,0,SSP,0,18,node5,node63,247.16,5.17,12.49,0.00,17.65,0.00,53.46,0,4,0,1,1,20,4783
20260513_224911,0,0,SSP,0,19,node5,node66,264.81,12.77,3.38,0.00,16.15,0.00,15.66,0,2,0,1,1,20,4783
20260513_224911,0,0,SSP,0,20,node3,node70,280.96,6.49,10.06,0.00,16.55,0.00,44.10,0,6,0,1,1,20,4783
20260513_224911,1,1,EV,0,1,node3,node53,298.00,1.53,8.88,0.00,10.41,16.67,33.26,1,5,0,1,1,20,4783
20260513_224911,1,1,EV,0,2,node5,node50,308.41,6.56,4.95,0.00,11.51,0.00,29.00,0,3,0,1,1,20,4783
20260513_224911,1,1,EV,0,3,node5,node29,319.92,8.48,7.39,0.00,15.87,0.00,35.55,0,6,0,1,1,20,4783
20260513_224911,1,1,EV,0,4,node69,node50,335.79,6.35,12.86,0.00,19.21,0.00,51.96,0,4,0,1,1,20,4783
20260513_224911,1,1,EV,0,5,node5,node55,355.00,7.63,3.21,0.00,10.84,0.00,14.04,0,2,0,1,1,20,4783
20260513_224911,1,1,EV,0,6,node5,node36,365.84,3.34,5.70,0.00,9.05,0.00,28.80,0,4,0,1,1,20,4783
20260513_224911,1,1,EV,0,7,node5,node23,374.88,7.10,10.56,0.00,17.66,0.00,56.99,0,9,0,1,1,20,4783
20260513_224911,1,1,EV,0,8,node24,node34,392.55,2.27,15.03,0.00,17.29,0.00,76.04,0,11,0,1,1,20,4783
20260513_224911,1,1,EV,0,9,node3,node17,409.84,8.61,17.15,0.00,25.75,0.00,75.52,0,6,0,1,1,20,4783
20260513_224911,1,1,EV,0,10,node69,node66,435.60,12.78,2.31,0.00,15.09,0.00,8.79,0,2,0,1,1,20,4783
20260513_224911,1,1,EV,0,11,node69,node10,450.69,2.69,2.09,0.00,4.78,0.00,9.21,0,1,0,1,1,20,4783
20260513_224911,1,1,EV,0,12,node24,node15,455.47,3.15,10.28,0.00,13.43,0.00,54.19,0,7,0,1,1,20,4783
20260513_224911,1,1,EV,0,13,node24,node26,468.90,12.91,2.88,0.00,15.79,0.00,14.40,0,2,0,1,1,20,4783
20260513_224911,1,1,EV,0,14,node24,node3,484.69,3.18,12.51,0.00,15.69,0.00,62.04,0,7,0,1,1,20,4783
20260513_224911,1,1,EV,0,15,node3,node33,500.38,0.00,5.84,0.00,5.84,0.00,29.38,0,3,0,1,1,20,4783
20260513_224911,1,1,EV,0,16,node3,node33,506.21,7.81,6.74,0.00,14.55,0.00,29.38,0,3,0,1,1,20,4783
20260513_224911,1,1,EV,0,17,node3,node52,520.76,7.51,6.44,0.00,13.95,0.00,28.56,0,4,0,1,1,20,4783
20260513_224911,1,1,EV,0,18,node5,node63,534.71,4.72,12.25,0.00,16.96,0.00,50.96,0,5,0,1,1,20,4783
20260513_224911,1,1,EV,0,19,node5,node66,551.67,13.50,3.13,0.00,16.63,0.00,15.66,0,3,0,1,1,20,4783
20260513_224911,1,1,EV,0,20,node3,node70,568.30,5.75,9.92,0.00,15.67,0.00,44.10,0,6,0,1,1,20,4783
20260513_224911,2,2,EA,0,1,node5,node66,584.00,3.83,3.93,0.00,7.76,33.17,15.66,1,3,0,1,1,20,4783
20260513_224911,2,2,EA,0,2,node69,node10,591.76,2.48,2.09,0.00,4.58,0.00,9.21,0,1,0,1,1,20,4783
20260513_224911,2,2,EA,0,3,node69,node66,596.34,1.67,2.11,0.00,3.78,0.00,8.79,0,2,0,1,1,20,4783
20260513_224911,2,2,EA,0,4,node5,node55,600.12,4.53,3.61,0.00,8.13,0.00,14.04,0,2,0,1,1,20,4783
20260513_224911,2,2,EA,0,5,node5,node36,608.25,3.34,5.70,0.00,9.05,0.00,28.80,0,4,0,1,1,20,4783
20260513_224911,2,2,EA,0,6,node3,node52,617.30,8.66,6.89,0.00,15.55,0.00,28.56,0,4,0,1,1,20,4783
20260513_224911,2,2,EA,0,7,node5,node29,632.85,5.12,7.39,0.00,12.50,0.00,35.55,0,6,0,1,1,20,4783
20260513_224911,2,2,EA,0,8,node24,node26,645.36,7.03,3.51,0.00,10.54,0.00,14.40,0,2,0,1,1,20,4783
20260513_224911,2,2,EA,0,9,node24,node3,655.90,2.88,11.94,0.00,14.82,0.00,62.04,0,7,0,1,1,20,4783
20260513_224911,2,2,EA,0,10,node3,node70,670.72,0.00,9.92,0.00,9.92,0.00,44.10,0,6,0,1,1,20,4783
20260513_224911,2,2,EA,0,11,node69,node50,680.64,2.22,14.41,0.00,16.63,0.00,51.96,0,4,0,1,1,20,4783
20260513_224911,2,2,EA,0,12,node5,node50,697.27,8.28,3.84,0.00,12.12,0.00,29.00,0,3,0,1,1,20,4783
20260513_224911,2,2,EA,0,13,node5,node23,709.39,8.63,10.99,0.00,19.62,0.00,56.99,0,9,0,1,1,20,4783
20260513_224911,2,2,EA,0,14,node24,node15,729.01,1.87,8.29,0.00,10.16,0.00,54.19,0,7,0,1,1,20,4783
20260513_224911,2,2,EA,0,15,node3,node53,739.16,17.43,7.39,0.00,24.82,0.00,33.26,0,5,0,1,1,20,4783
20260513_224911,2,2,EA,0,16,node3,node33,763.99,9.41,5.84,0.00,15.24,0.00,29.38,0,3,0,1,1,20,4783
20260513_224911,2,2,EA,0,17,node3,node33,779.23,8.06,6.29,0.00,14.35,0.00,29.38,0,3,0,1,1,20,4783
20260513_224911,2,2,EA,0,18,node5,node63,793.58,11.94,9.80,0.00,21.74,0.00,50.96,0,5,0,1,1,20,4783
20260513_224911,2,2,EA,0,19,node24,node34,815.32,12.56,14.46,0.00,27.02,0.00,76.04,0,11,0,1,1,20,4783
20260513_224911,2,2,EA,0,20,node3,node17,842.34,8.56,15.15,0.00,23.71,0.00,75.52,0,6,0,1,1,20,4783
20260513_224911,0,0,SSP,0,1,node3,node53,866.50,0.00,11.06,0.00,11.06,18.00,33.26,1,5,0,1,2,20,4783
20260513_224911,0,0,SSP,1,1,node69,node50,866.50,3.96,11.54,0.00,15.50,23.28,51.96,1,4,0,1,2,20,4783
20260513_224911,0,0,SSP,0,2,node5,node50,877.56,6.11,8.15,0.00,14.26,0.00,31.50,0,2,0,1,2,20,4783
20260513_224911,0,0,SSP,1,2,node5,node29,882.00,9.83,6.77,0.00,16.61,0.00,35.55,0,5,0,1,2,20,4783
20260513_224911,0,0,SSP,0,3,node5,node55,891.82,8.28,3.81,0.00,12.09,0.00,14.04,0,2,0,1,2,20,4783
20260513_224911,0,0,SSP,1,3,node69,node66,898.61,6.20,2.11,0.00,8.31,0.00,8.79,0,2,0,1,2,20,4783
20260513_224911,0,0,SSP,1,4,node69,node10,906.92,2.31,2.09,0.00,4.40,0.00,9.21,0,1,0,1,2,20,4783
20260513_224911,0,0,SSP,0,4,node5,node36,903.91,4.55,6.11,0.00,10.65,0.00,28.80,0,4,0,1,2,20,4783
20260513_224911,0,0,SSP,1,5,node24,node34,911.32,3.53,14.46,0.00,17.99,0.00,76.04,0,11,0,1,2,20,4783
20260513_224911,0,0,SSP,0,5,node5,node23,914.56,7.35,18.75,0.00,26.10,0.00,81.42,0,6,0,1,2,20,4783
20260513_224911,0,0,SSP,0,6,node24,node15,940.66,2.27,10.10,0.00,12.36,0.00,54.19,0,7,0,1,2,20,4783
20260513_224911,0,0,SSP,1,6,node3,node17,929.31,8.49,19.45,0.00,27.94,0.00,78.02,0,5,0,1,2,20,4783
20260513_224911,0,0,SSP,0,7,node24,node26,953.02,12.36,3.20,0.00,15.56,0.00,14.40,0,2,0,1,2,20,4783
20260513_224911,0,0,SSP,1,7,node24,node3,957.26,11.18,11.11,0.00,22.29,0.00,62.04,0,7,0,1,2,20,4783
20260513_224911,0,0,SSP,1,8,node3,node33,979.54,0.00,6.45,0.00,6.45,0.00,29.38,0,3,0,1,2,20,4783
20260513_224911,0,0,SSP,0,8,node5,node63,968.58,9.64,11.31,0.00,20.95,0.00,53.46,0,4,0,1,2,20,4783
20260513_224911,0,0,SSP,1,9,node3,node33,985.99,7.08,5.84,0.00,12.91,0.00,29.38,0,3,0,1,2,20,4783
20260513_224911,0,0,SSP,0,9,node5,node66,989.53,14.31,3.98,0.00,18.29,0.00,15.66,0,2,0,1,2,20,4783
20260513_224911,0,0,SSP,1,10,node3,node52,998.91,7.38,7.04,0.00,14.42,0.00,28.56,0,4,0,1,2,20,4783
20260513_224911,0,0,SSP,0,10,node3,node70,1007.83,6.82,9.67,0.00,16.48,0.00,44.10,0,6,0,1,2,20,4783
20260513_224911,1,1,EV,0,1,node3,node53,1024.50,1.33,10.09,0.00,11.42,16.67,33.26,1,5,0,1,2,20,4783
20260513_224911,1,1,EV,1,1,node69,node50,1024.50,3.96,10.42,0.00,14.38,23.28,51.96,1,4,0,1,2,20,4783
20260513_224911,1,1,EV,0,2,node5,node50,1035.92,6.26,4.09,0.00,10.35,0.00,29.00,0,3,0,1,2,20,4783
20260513_224911,1,1,EV,1,2,node5,node29,1038.88,8.28,7.21,0.00,15.49,0.00,35.55,0,6,0,1,2,20,4783
20260513_224911,1,1,EV,0,3,node5,node55,1046.27,8.33,3.61,0.00,11.94,0.00,14.04,0,2,0,1,2,20,4783
20260513_224911,1,1,EV,1,3,node69,node66,1054.37,6.20,2.13,0.00,8.34,0.00,8.79,0,2,0,1,2,20,4783
20260513_224911,1,1,EV,1,4,node69,node10,1062.71,2.51,2.09,0.00,4.60,0.00,9.21,0,1,0,1,2,20,4783
20260513_224911,1,1,EV,0,4,node5,node36,1058.21,3.55,6.54,0.00,10.09,0.00,28.80,0,4,0,1,2,20,4783
20260513_224911,1,1,EV,1,5,node24,node34,1067.31,3.50,15.03,0.00,18.53,0.00,76.04,0,11,0,1,2,20,4783
20260513_224911,1,1,EV,0,5,node5,node23,1068.30,7.35,10.31,0.00,17.66,0.00,56.99,0,9,0,1,2,20,4783
20260513_224911,1,1,EV,0,6,node24,node15,1085.96,1.87,9.33,0.00,11.20,0.00,54.19,0,7,0,1,2,20,4783
20260513_224911,1,1,EV,1,6,node3,node17,1085.84,8.36,16.10,0.00,24.45,0.00,75.52,0,6,0,1,2,20,4783
20260513_224911,1,1,EV,0,7,node24,node26,1097.16,11.56,2.88,0.00,14.44,0.00,14.40,0,2,0,1,2,20,4783
20260513_224911,1,1,EV,0,8,node5,node63,1111.60,10.45,10.55,0.00,21.00,0.00,50.96,0,5,0,1,2,20,4783
20260513_224911,1,1,EV,1,7,node24,node3,1110.30,10.86,12.76,0.00,23.62,0.00,62.04,0,7,0,1,2,20,4783
20260513_224911,1,1,EV,1,8,node3,node33,1133.91,0.00,6.29,0.00,6.29,0.00,29.38,0,3,0,1,2,20,4783
20260513_224911,1,1,EV,0,9,node5,node66,1132.61,13.54,3.38,0.00,16.92,0.00,15.66,0,3,0,1,2,20,4783
20260513_224911,1,1,EV,1,9,node3,node33,1140.20,7.63,6.90,0.00,14.52,0.00,29.38,0,3,0,1,2,20,4783
20260513_224911,1,1,EV,0,10,node3,node52,1149.53,6.44,6.24,0.00,12.68,0.00,28.56,0,4,0,1,2,20,4783
20260513_224911,1,1,EV,1,10,node3,node70,1154.72,7.06,10.03,0.00,17.09,0.00,44.10,0,6,0,1,2,20,4783
20260513_224911,2,2,EA,1,1,node69,node10,1172.00,3.96,0.00,0.00,3.96,23.28,9.21,1,1,0,1,2,20,4783
20260513_224911,2,2,EA,0,1,node5,node66,1172.00,3.98,4.77,0.00,8.75,33.17,15.66,1,3,0,1,2,20,4783
20260513_224911,2,2,EA,1,2,node24,node26,1175.96,3.15,2.88,0.00,6.03,0.00,14.40,0,2,0,1,2,20,4783
20260513_224911,2,2,EA,0,2,node69,node66,1180.75,2.16,2.11,0.00,4.27,0.00,8.79,0,2,0,1,2,20,4783
20260513_224911,2,2,EA,1,3,node5,node55,1181.99,10.65,3.21,0.00,13.86,0.00,14.04,0,2,0,1,2,20,4783
20260513_224911,2,2,EA,0,3,node5,node36,1185.02,4.46,6.54,0.00,11.00,0.00,28.80,0,4,0,1,2,20,4783
20260513_224911,2,2,EA,1,4,node3,node52,1195.84,5.71,6.40,0.00,12.11,0.00,28.56,0,4,0,1,2,20,4783
20260513_224911,2,2,EA,0,4,node5,node29,1196.02,7.71,7.78,0.00,15.50,0.00,35.55,0,6,0,1,2,20,4783
20260513_224911,2,2,EA,1,5,node5,node50,1207.95,5.42,4.70,0.00,10.12,0.00,29.00,0,3,0,1,2,20,4783
20260513_224911,2,2,EA,0,5,node3,node70,1211.52,8.14,9.76,0.00,17.90,0.00,44.10,0,6,0,1,2,20,4783
20260513_224911,2,2,EA,1,6,node5,node23,1218.07,7.93,10.68,0.00,18.61,0.00,56.99,0,9,0,1,2,20,4783
20260513_224911,2,2,EA,0,6,node24,node3,1229.41,5.04,12.09,0.00,17.13,0.00,62.04,0,7,0,1,2,20,4783
20260513_224911,2,2,EA,1,7,node24,node15,1236.68,2.27,8.81,0.00,11.08,0.00,54.19,0,7,0,1,2,20,4783
20260513_224911,2,2,EA,0,7,node3,node53,1246.54,0.00,6.63,0.00,6.63,0.00,33.26,0,5,0,1,2,20,4783
