runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260509_185413,1,0,0,SSP,2403.50,100,24.03,3.42,54.97,9.14,14.90,0.00,100,1,5
20260509_185413,1,1,1,EV,2168.50,100,21.68,3.42,42.69,8.70,12.98,0.00,100,1,5
20260509_185413,1,2,2,EA,2171.00,100,21.71,3.42,52.80,8.65,13.05,0.00,100,1,5
20260509_185413,2,0,0,SSP,1207.50,100,23.98,3.71,53.70,9.06,14.93,0.00,100,1,5
20260509_185413,2,1,1,EV,1100.00,100,21.81,3.42,44.10,8.77,13.04,0.00,100,1,5
20260509_185413,2,2,2,EA,1102.50,100,21.71,3.71,51.15,8.56,13.15,0.00,100,1,5
20260509_185413,3,0,0,SSP,839.50,100,24.12,3.71,58.74,9.13,14.99,0.00,100,1,5
20260509_185413,3,1,1,EV,752.00,100,22.02,3.42,42.88,8.83,13.19,0.00,100,1,5
20260509_185413,3,2,2,EA,744.00,100,21.98,3.99,47.19,8.63,13.35,0.00,100,1,5
20260509_185413,4,0,0,SSP,626.50,100,24.47,3.99,58.69,9.25,15.21,0.00,100,1,5
20260509_185413,4,1,1,EV,562.50,100,22.20,3.42,44.18,8.91,13.29,0.00,100,1,5
20260509_185413,4,2,2,EA,572.50,100,22.21,3.42,47.74,8.63,13.57,0.00,100,1,5
20260509_185413,5,0,0,SSP,505.50,100,24.39,3.42,54.05,9.30,15.09,0.00,100,1,5
20260509_185413,5,1,1,EV,466.50,100,22.49,3.42,45.50,9.05,13.44,0.00,100,1,5
20260509_185413,5,2,2,EA,463.00,100,22.05,3.42,47.55,8.61,13.44,0.00,100,1,5
20260509_185413,6,0,0,SSP,429.50,100,24.50,3.60,54.45,9.37,15.13,0.00,100,1,5
20260509_185413,6,1,1,EV,393.50,100,22.86,3.99,43.75,9.35,13.52,0.00,100,1,5
20260509_185413,6,2,2,EA,386.00,100,22.15,3.71,41.54,8.59,13.56,0.00,100,1,5
20260509_185413,7,0,0,SSP,386.00,100,24.55,3.71,58.30,9.40,15.15,0.00,100,1,5
20260509_185413,7,1,1,EV,333.50,100,22.46,3.42,43.21,8.98,13.47,0.00,100,1,5
20260509_185413,7,2,2,EA,341.00,100,22.21,0.00,56.45,8.61,13.60,0.00,100,1,5
20260509_185413,8,0,0,SSP,324.50,100,24.30,3.42,57.10,9.20,15.10,0.00,100,1,5
20260509_185413,8,1,1,EV,295.00,100,22.49,3.42,41.73,9.00,13.49,0.00,100,1,5
20260509_185413,8,2,2,EA,294.00,100,21.78,0.00,48.61,8.39,13.39,0.00,100,1,5
20260509_185413,9,0,0,SSP,294.50,100,24.43,3.42,54.53,9.13,15.31,0.00,100,1,5
20260509_185413,9,1,1,EV,273.00,100,22.60,3.99,45.94,9.02,13.58,0.00,100,1,5
