runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260427_110422,0,1,0,3,20,node31,node2,1.00,6.50,1.50,8.00,9.02,9.02
20260427_110422,0,2,0,3,20,node4,node35,9.10,21.40,5.00,26.40,35.32,35.32
20260427_110422,2,1,0,3,20,node4,node40,1.00,33.50,5.50,39.00,48.02,48.02
20260427_110422,1,1,0,3,20,node3,node19,1.00,47.00,5.50,52.50,58.42,58.42
20260427_110422,0,3,0,3,20,node5,node34,35.60,24.90,4.50,29.40,35.04,35.04
20260427_110422,2,2,0,3,20,node50,node16,40.10,30.90,2.00,32.90,29.00,29.00
20260427_110422,0,4,0,3,20,node49,node33,65.10,24.40,1.50,25.90,47.65,47.65
20260427_110422,2,3,0,3,20,node49,node15,73.10,26.90,1.50,28.40,31.00,31.00
20260427_110422,1,2,0,3,20,node28,node44,53.60,46.90,1.50,48.40,85.82,85.82
20260427_110422,2,4,0,3,20,node37,node45,101.60,22.40,1.50,23.90,43.60,43.60
20260427_110422,0,5,0,3,20,node40,node21,91.10,33.40,1.50,34.90,63.25,63.25
20260427_110422,0,6,0,3,20,node46,node15,126.10,6.90,1.50,8.40,14.04,14.04
20260427_110422,1,3,0,3,20,node25,node37,102.10,40.90,2.00,42.90,72.32,72.32
20260427_110422,2,5,0,3,20,node16,node4,125.60,35.90,2.00,37.90,37.00,37.00
20260427_110422,2,6,0,3,20,node16,node14,163.60,1.90,2.00,3.90,7.00,7.00
20260427_110422,1,4,0,3,20,node12,node47,145.10,37.90,2.00,39.90,46.00,46.00
20260427_110422,2,7,0,3,20,node10,node19,167.60,24.90,3.50,28.40,44.85,44.85
20260427_110422,0,7,0,3,20,node16,node34,134.60,60.40,2.00,62.40,67.04,67.04
20260427_110422,2,8,0,3,20,node23,node11,196.10,8.40,2.00,10.40,16.00,16.00
20260427_110422,1,5,0,3,20,node23,node7,185.10,30.40,2.00,32.40,35.50,35.50
SUMMARY_20260427_110422,,,0,3,20,,,1.00,,,216.50,,,
