runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260427_135601,1,1,0,4,20,node4,node39,1.00,21.50,2.50,24.00,42.09,42.09
20260427_135601,2,1,0,4,20,node29,node15,1.00,30.50,1.50,32.00,57.53,57.53
20260427_135601,2,2,0,4,20,node27,node30,33.10,8.40,1.50,9.90,17.38,17.38
20260427_135601,3,1,0,4,20,node55,node75,1.00,40.50,2.50,43.00,52.34,52.34
20260427_135601,0,1,0,4,20,node31,node14,1.00,49.00,1.50,50.50,48.02,48.02
20260427_135601,1,2,0,4,20,node7,node32,25.10,24.90,7.00,31.90,34.00,34.00
20260427_135601,0,2,0,4,20,node71,node14,51.60,9.40,1.00,10.40,18.48,18.48
20260427_135601,2,3,0,4,20,node9,node50,43.10,17.90,3.00,20.90,18.00,18.00
20260427_135601,0,3,0,4,20,node71,node72,62.10,6.40,1.00,7.40,14.12,14.12
20260427_135601,1,3,0,4,20,node72,node60,57.10,11.40,2.00,13.40,23.04,23.04
20260427_135601,3,2,0,4,20,node37,node16,44.10,30.40,1.50,31.90,56.27,56.27
20260427_135601,2,4,0,4,20,node73,node66,64.10,14.40,1.50,15.90,30.59,30.59
20260427_135601,0,4,0,4,20,node75,node3,69.60,28.40,1.50,29.90,48.59,48.59
20260427_135601,1,4,0,4,20,node75,node38,70.60,33.90,1.50,35.40,64.14,64.14
20260427_135601,2,5,0,4,20,node19,node52,80.10,33.90,2.00,35.90,63.99,63.99
20260427_135601,3,3,0,4,20,node39,node68,76.10,42.90,1.50,44.40,52.01,52.01
20260427_135601,1,5,0,4,20,node44,node71,106.10,23.90,1.50,25.40,46.64,46.64
20260427_135601,2,6,0,4,20,node61,node73,116.10,12.90,2.50,15.40,27.22,27.22
20260427_135601,3,4,0,4,20,node43,node70,120.60,21.40,2.50,23.90,44.92,44.92
20260427_135601,0,5,0,4,20,node23,node52,99.60,47.40,2.00,49.40,61.42,61.42
SUMMARY_20260427_135601,,,0,4,20,,,1.00,,,148.00,,,
