runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260427_142806,0,1,0,1,9,node57,node52,1.00,6.50,1.00,7.50,13.01,13.01
20260427_142806,0,2,0,1,9,node55,node71,8.60,22.40,2.50,24.90,45.53,45.53
20260427_142806,0,3,0,1,9,node34,node42,33.60,22.40,1.50,23.90,42.63,42.63
20260427_142806,0,4,0,1,9,node7,node24,57.60,24.40,4.00,28.40,27.50,27.50
20260427_142806,0,5,0,1,9,node64,node20,86.10,16.90,2.00,18.90,33.71,33.71
20260427_142806,0,6,0,1,9,node73,node37,105.10,31.40,1.50,32.90,58.27,58.27
20260427_142806,0,7,0,1,9,node25,node50,138.10,36.90,1.50,38.40,40.52,40.52
20260427_142806,0,8,0,1,9,node61,node72,176.60,9.90,2.50,12.40,22.72,22.72
20260427_142806,0,9,0,1,9,node44,node45,189.10,1.90,1.50,3.40,5.83,5.83
SUMMARY_20260427_142806,,,0,1,9,,,1.00,,,191.50,,,
