runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260427_135639,2,1,0,4,20,node52,node56,1.00,2.50,2.50,5.00,9.01,9.01
20260427_135639,0,1,0,4,20,node5,node52,1.00,8.50,2.00,10.50,17.05,17.05
20260427_135639,3,1,0,4,20,node68,node11,1.00,8.50,2.50,11.00,12.51,12.51
20260427_135639,0,2,0,4,20,node68,node14,11.60,18.40,1.00,19.40,35.42,35.42
20260427_135639,2,2,0,4,20,node36,node17,6.10,31.40,2.00,33.40,59.41,59.41
20260427_135639,1,1,0,4,20,node66,node42,1.00,47.50,2.50,50.00,63.08,63.08
20260427_135639,0,3,0,4,20,node24,node14,31.10,22.90,2.00,24.90,38.95,38.95
20260427_135639,3,2,0,4,20,node26,node40,12.10,54.90,2.00,56.90,72.87,72.87
20260427_135639,2,3,0,4,20,node37,node73,39.60,32.90,1.50,34.40,58.27,58.27
20260427_135639,0,4,0,4,20,node73,node45,56.10,15.40,2.50,17.90,32.10,32.10
20260427_135639,0,5,0,4,20,node18,node46,74.10,4.90,1.50,6.40,11.61,11.61
20260427_135639,2,4,0,4,20,node37,node54,74.10,9.90,1.50,11.40,21.45,21.45
20260427_135639,3,3,0,4,20,node13,node23,69.10,19.40,2.50,21.90,37.58,37.58
20260427_135639,1,2,0,4,20,node24,node35,51.10,49.90,2.00,51.90,66.56,66.56
20260427_135639,3,4,0,4,20,node49,node9,91.10,22.40,1.50,23.90,23.50,23.50
20260427_135639,2,5,0,4,20,node39,node58,85.60,32.40,1.50,33.90,42.92,42.92
20260427_135639,1,3,0,4,20,node49,node65,103.10,26.90,1.50,28.40,31.92,31.92
20260427_135639,0,6,0,4,20,node62,node31,80.60,54.40,1.50,55.90,58.13,58.13
20260427_135639,3,5,0,4,20,node42,node52,115.10,20.40,1.50,21.90,39.83,39.83
20260427_135639,2,6,0,4,20,node42,node11,119.60,33.90,1.50,35.40,59.15,59.15
SUMMARY_20260427_135639,,,0,4,20,,,1.00,,,154.00,,,
