runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260427_120911,0,1,2,3,20,node3,node30,1.00,13.00,3.00,16.00,19.25,19.25
20260427_120911,2,1,2,3,20,node29,node10,1.00,15.50,1.50,17.00,27.13,27.12
20260427_120911,1,1,2,3,20,node31,node69,1.00,18.50,1.50,20.00,33.37,33.37
20260427_120911,1,2,2,3,20,node74,node10,21.10,6.40,2.00,8.40,12.59,12.59
20260427_120911,0,2,2,3,20,node38,node3,17.10,23.90,1.50,25.40,40.07,40.07
20260427_120911,2,2,2,3,20,node29,node52,18.10,24.40,1.50,25.90,46.56,46.56
20260427_120911,0,3,2,3,20,node54,node48,42.60,4.40,1.50,5.90,10.39,10.39
20260427_120911,1,3,2,3,20,node63,node2,29.60,35.40,1.50,36.90,57.67,57.67
20260427_120911,0,4,2,3,20,node49,node65,48.60,19.90,1.50,21.40,38.93,38.93
20260427_120911,0,5,2,3,20,node59,node61,70.10,5.40,2.50,7.90,13.94,13.94
20260427_120911,2,3,2,3,20,node24,node34,44.10,36.90,1.50,38.40,62.16,62.16
20260427_120911,0,6,2,3,20,node40,node62,78.10,12.40,1.50,13.90,24.69,24.69
20260427_120911,1,4,2,3,20,node63,node24,66.60,27.90,1.50,29.40,47.61,53.88
20260427_120911,2,4,2,3,20,node70,node16,82.60,14.40,2.00,16.40,29.42,29.42
20260427_120911,2,5,2,3,20,node63,node16,99.10,7.40,1.50,8.90,15.52,15.52
20260427_120911,1,5,2,3,20,node14,node19,96.10,12.90,1.00,13.90,24.42,24.42
20260427_120911,0,7,2,3,20,node53,node14,92.10,19.40,1.00,20.40,36.23,36.23
20260427_120911,2,6,2,3,20,node28,node49,108.10,27.90,2.00,29.90,54.66,54.66
20260427_120911,0,8,2,3,20,node51,node21,112.60,36.40,1.50,37.90,68.67,68.67
20260427_120911,1,6,2,3,20,node25,node50,110.10,40.40,2.00,42.40,77.66,77.66
SUMMARY_20260427_120911,,,2,3,20,,,1.00,,,151.50,,,
