runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260504_114045,0,1,0,2,6,node67,node28,1.00,2.00,2.00,4.00,6.32,6.32
20260504_114045,1,1,0,2,6,node67,node29,1.00,5.00,2.00,7.00,11.64,11.64
20260504_114045,0,2,0,2,6,node67,node55,5.10,15.40,1.50,16.90,29.91,29.91
20260504_114045,1,2,0,2,6,node8,node23,8.10,18.40,6.00,24.40,29.50,29.50
20260504_114045,0,3,0,2,6,node38,node6,22.10,26.40,1.50,27.90,39.02,39.02
20260504_114045,1,3,0,2,6,node41,node53,32.60,18.40,1.50,19.90,35.13,35.13
SUMMARY_20260504_114045,,,0,2,6,,,1.00,,,51.50,,,
