runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260427_110615,0,1,2,4,20,node31,node2,1.00,6.50,1.50,8.00,9.02,9.02
20260427_110615,2,1,2,4,20,node31,node25,1.00,18.50,1.50,20.00,34.07,34.07
20260427_110615,0,2,2,4,20,node36,node48,9.10,13.90,1.50,15.40,27.33,27.33
20260427_110615,3,1,2,4,20,node40,node32,1.00,22.50,1.50,24.00,43.50,43.50
20260427_110615,1,1,2,4,20,node2,node7,1.00,21.50,4.00,25.50,24.00,24.00
20260427_110615,2,2,2,4,20,node23,node11,21.10,7.40,2.00,9.40,16.00,16.00
20260427_110615,2,3,2,4,20,node22,node21,30.60,1.90,2.00,3.90,6.52,6.52
20260427_110615,3,2,2,4,20,node43,node50,25.10,22.90,1.50,24.40,41.87,41.87
20260427_110615,0,3,2,4,20,node9,node38,24.60,32.90,3.00,35.90,45.02,45.02
20260427_110615,3,3,2,4,20,node14,node20,49.60,15.90,1.00,16.90,30.69,30.69
20260427_110615,1,2,2,4,20,node22,node6,26.60,38.90,2.00,40.90,46.54,46.54
20260427_110615,2,4,2,4,20,node19,node2,34.60,47.40,2.00,49.40,81.96,81.96
20260427_110615,3,4,2,4,20,node19,node47,66.60,31.90,2.00,33.90,60.49,60.49
SUMMARY_20260427_110615,,,2,4,20,,,1.00,,,105.98,,,
