runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260427_133752,0,1,2,4,20,node66,node57,1.00,6.50,2.50,9.00,16.50,16.50
20260427_133752,1,1,2,4,20,node22,node25,1.00,10.00,1.50,11.50,20.06,20.06
20260427_133752,2,1,2,4,20,node29,node21,1.00,26.50,1.50,28.00,49.39,49.39
20260427_133752,3,1,2,4,20,node69,node38,1.00,30.00,1.00,31.00,55.50,55.50
20260427_133752,0,2,2,4,20,node14,node52,10.10,19.40,2.50,21.90,40.26,40.26
20260427_133752,3,2,2,4,20,node16,node71,32.10,11.90,2.00,13.90,25.48,25.48
20260427_133752,1,2,2,4,20,node20,node56,12.60,31.90,1.50,33.40,61.92,61.92
20260427_133752,2,2,2,4,20,node46,node7,29.10,24.40,1.50,25.90,32.54,32.54
20260427_133752,3,3,2,4,20,node64,node44,46.10,12.90,1.50,14.40,25.00,25.00
20260427_133752,2,3,2,4,20,node19,node45,55.10,10.90,2.00,12.90,23.63,23.63
20260427_133752,0,3,2,4,20,node44,node32,32.10,34.90,1.50,36.40,65.00,65.00
20260427_133752,1,3,2,4,20,node19,node59,46.10,24.90,2.00,26.90,46.96,46.96
20260427_133752,2,4,2,4,20,node19,node61,68.10,19.90,2.00,21.90,39.59,39.59
20260427_133752,3,4,2,4,20,node61,node9,60.60,27.40,2.50,29.90,49.81,49.81
20260427_133752,0,4,2,4,20,node61,node24,68.60,31.90,2.50,34.40,57.31,63.59
20260427_133752,1,4,2,4,20,node58,node42,73.10,31.40,2.50,33.90,60.65,60.65
20260427_133752,2,5,2,4,20,node38,node71,90.10,32.90,1.50,34.40,62.67,62.67
20260427_133752,3,5,2,4,20,node51,node22,90.60,40.40,1.50,41.90,75.19,75.19
20260427_133752,0,5,2,4,20,node51,node46,103.10,29.40,1.50,30.90,56.38,56.38
20260427_133752,1,5,2,4,20,node30,node62,107.10,38.90,2.00,40.90,73.72,73.72
SUMMARY_20260427_133752,,,2,4,20,,,1.00,,,147.00,,,
