runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260427_142235,1,1,0,2,6,node34,node25,1.00,33.50,1.50,35.00,56.14,56.14
20260427_142235,0,1,0,2,6,node34,node25,1.00,33.50,1.50,35.00,56.14,56.14
20260427_142235,1,2,0,2,6,node6,node28,36.10,18.40,2.50,20.90,30.16,30.16
20260427_142235,0,2,0,2,6,node6,node28,36.10,18.40,2.50,20.90,30.16,30.16
20260427_142235,0,3,0,2,6,node13,node66,57.10,27.40,5.00,32.40,33.42,33.42
20260427_142235,1,3,0,2,6,node13,node66,57.10,27.40,5.00,32.40,33.42,33.42
20260427_142235,0,4,0,2,6,node59,node40,89.60,14.40,1.50,15.90,20.52,20.52
20260427_142235,1,4,0,2,6,node59,node40,89.60,14.40,1.50,15.90,20.52,20.52
20260427_142235,1,5,0,2,6,node44,node35,105.60,25.90,1.50,27.40,48.67,48.67
20260427_142235,0,5,0,2,6,node44,node35,105.60,25.90,1.50,27.40,48.67,48.67
20260427_142235,1,6,0,2,6,node12,node24,133.10,1.40,1.50,2.90,5.00,5.00
20260427_142235,0,6,0,2,6,node12,node24,133.10,1.40,1.50,2.90,5.00,5.00
SUMMARY_20260427_142235,,,0,2,6,,,1.00,,,135.00,,,
