runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260427_110525,2,1,2,3,20,node24,node26,1.00,6.00,1.50,7.50,12.35,12.35
20260427_110525,0,1,2,3,20,node31,node35,1.00,15.50,1.50,17.00,27.35,27.35
20260427_110525,2,2,2,3,20,node23,node10,8.60,10.90,2.00,12.90,20.00,20.00
20260427_110525,1,1,2,3,20,node2,node13,1.00,33.00,4.00,37.00,34.00,34.00
20260427_110525,0,2,2,3,20,node27,node8,18.10,27.90,1.50,29.40,38.99,38.99
20260427_110525,2,3,2,3,20,node50,node34,21.60,25.90,1.50,27.40,48.46,48.46
20260427_110525,1,2,2,3,20,node7,node12,38.10,20.40,4.00,24.40,22.50,22.50
20260427_110525,0,3,2,3,20,node34,node47,47.60,16.40,1.50,17.90,31.96,31.96
20260427_110525,2,4,2,3,20,node47,node2,49.10,30.40,1.50,31.90,52.97,52.97
20260427_110525,2,5,2,3,20,node44,node45,81.10,1.90,1.50,3.40,5.83,5.83
20260427_110525,1,3,2,3,20,node17,node8,62.60,26.90,2.50,29.40,33.01,33.01
20260427_110525,0,4,2,3,20,node5,node25,65.60,37.40,4.50,41.90,57.09,57.09
20260427_110525,1,4,2,3,20,node18,node42,92.10,16.90,1.50,18.40,34.50,34.50
20260427_110525,2,6,2,3,20,node46,node29,84.60,43.90,1.50,45.40,79.61,79.61
20260427_110525,1,5,2,3,20,node20,node10,110.60,22.40,1.50,23.90,38.58,38.58
20260427_110525,2,7,2,3,20,node46,node15,130.10,6.90,1.50,8.40,14.04,14.04
20260427_110525,0,5,2,3,20,node8,node18,107.60,29.40,3.50,32.90,39.10,39.10
20260427_110525,2,8,2,3,20,node39,node46,138.60,19.40,1.50,20.90,38.06,38.06
20260427_110525,1,6,2,3,20,node7,node42,134.60,22.90,4.50,27.40,43.17,43.17
20260427_110525,0,6,2,3,20,node3,node19,140.60,60.40,3.00,63.40,86.96,86.96
SUMMARY_20260427_110525,,,2,3,20,,,1.00,,,203.00,,,
