runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260504_161701,1,1,0,2,20,node9,node7,0.00,19.27,0.00,19.27,11.00,11.00
20260504_161701,0,1,0,2,20,node6,node3,0.00,21.58,0.00,21.58,14.00,14.00
20260504_161701,0,2,0,2,20,node6,node48,21.58,17.94,0.00,17.94,22.50,22.50
20260504_161701,1,2,0,2,20,node6,node2,19.27,29.58,0.00,29.58,19.00,19.00
20260504_161701,0,3,0,2,20,node59,node47,39.52,12.37,0.00,12.37,11.00,11.00
20260504_161701,0,4,0,2,20,node59,node7,51.89,14.08,0.00,14.08,16.97,16.97
20260504_161701,1,3,0,2,20,node59,node3,48.85,41.50,0.00,41.50,35.97,35.97
20260504_161701,1,4,0,2,20,node59,node44,90.35,11.14,0.00,11.14,23.52,23.52
20260504_161701,0,5,0,2,20,node59,node68,65.97,38.27,0.00,38.27,40.99,40.99
20260504_161701,1,5,0,2,20,node59,node57,101.49,15.55,0.00,15.55,30.05,30.05
20260504_161701,0,6,0,2,20,node59,node74,104.23,19.25,0.00,19.25,37.03,37.03
20260504_161701,1,6,0,2,20,node59,node33,117.04,19.55,0.00,19.55,40.17,40.17
20260504_161701,1,7,0,2,20,node59,node17,136.60,17.78,0.00,17.78,34.55,34.55
20260504_161701,0,7,0,2,20,node59,node29,123.49,39.31,0.00,39.31,57.44,57.44
20260504_161701,1,8,0,2,20,node42,node53,154.38,21.73,0.00,21.73,36.56,36.56
20260504_161701,0,8,0,2,20,node42,node22,162.79,32.40,0.00,32.40,59.39,59.39
20260504_161701,1,9,0,2,20,node42,node25,176.11,38.37,0.00,38.37,73.17,73.17
20260504_161701,1,10,0,2,20,node42,node14,214.47,14.73,0.00,14.73,28.77,28.77
20260504_161701,0,9,0,2,20,node42,node2,195.19,34.28,0.00,34.28,63.64,63.64
20260504_161701,1,11,0,2,20,node42,node48,229.20,13.34,0.00,13.34,25.67,25.67
SUMMARY_20260504_161701,,,0,2,20,,,1.00,,,324.83,,,
