runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260504_161727,1,1,1,2,20,node9,node7,0.00,18.79,0.00,18.79,11.00,11.00
20260504_161727,0,1,1,2,20,node6,node3,0.00,21.10,0.00,21.10,14.00,14.00
20260504_161727,0,2,1,2,20,node6,node48,21.10,17.94,0.00,17.94,22.50,22.50
20260504_161727,1,2,1,2,20,node6,node2,18.79,28.14,0.00,28.14,19.00,19.00
20260504_161727,0,3,1,2,20,node59,node47,39.04,12.37,0.00,12.37,11.00,11.00
20260504_161727,0,4,1,2,20,node59,node7,51.41,14.08,0.00,14.08,16.97,16.97
20260504_161727,1,3,1,2,20,node59,node3,46.93,29.08,0.00,29.08,38.65,38.65
20260504_161727,1,4,1,2,20,node59,node44,76.01,11.14,0.00,11.14,23.52,23.52
20260504_161727,0,5,1,2,20,node59,node68,65.49,26.23,0.00,26.23,50.58,50.58
20260504_161727,1,5,1,2,20,node59,node57,87.15,15.55,0.00,15.55,30.05,30.05
20260504_161727,0,6,1,2,20,node59,node74,91.71,19.25,0.00,19.25,37.03,37.03
20260504_161727,1,6,1,2,20,node59,node33,102.70,19.55,0.00,19.55,40.17,40.17
20260504_161727,1,7,1,2,20,node59,node17,122.26,17.78,0.00,17.78,34.55,34.55
20260504_161727,0,7,1,2,20,node59,node29,110.97,32.83,0.00,32.83,63.59,63.59
20260504_161727,1,8,1,2,20,node42,node53,140.04,21.73,0.00,21.73,36.56,36.56
20260504_161727,0,8,1,2,20,node42,node22,143.80,32.40,0.00,32.40,59.39,59.39
20260504_161727,1,9,1,2,20,node42,node25,161.77,36.82,0.00,36.82,73.17,79.45
20260504_161727,0,9,1,2,20,node42,node2,176.20,34.28,0.00,34.28,63.64,63.64
20260504_161727,1,10,1,2,20,node42,node14,198.59,14.73,0.00,14.73,28.77,28.77
20260504_161727,0,10,1,2,20,node42,node48,210.49,13.34,0.00,13.34,25.67,25.67
SUMMARY_20260504_161727,,,1,2,20,,,1.00,,,419.17,,,
