runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260504_161633,3,1,0,4,20,node42,node53,0.00,18.25,0.00,18.25,36.56,36.56
20260504_161633,1,1,0,4,20,node9,node7,0.00,19.27,0.00,19.27,11.00,11.00
20260504_161633,0,1,0,4,20,node6,node3,0.00,21.58,0.00,21.58,14.00,14.00
20260504_161633,2,1,0,4,20,node42,node22,0.00,30.50,0.00,30.50,59.39,59.39
20260504_161633,0,2,0,4,20,node6,node48,21.58,17.94,0.00,17.94,22.50,22.50
20260504_161633,1,2,0,4,20,node6,node2,19.27,29.58,0.00,29.58,19.00,19.00
20260504_161633,0,3,0,4,20,node59,node47,39.52,12.37,0.00,12.37,11.00,11.00
20260504_161633,3,2,0,4,20,node42,node25,18.25,38.37,0.00,38.37,73.17,73.17
20260504_161633,2,2,0,4,20,node42,node2,30.50,34.28,0.00,34.28,63.64,63.64
20260504_161633,0,4,0,4,20,node59,node7,51.89,14.08,0.00,14.08,16.97,16.97
20260504_161633,3,3,0,4,20,node42,node14,56.61,14.73,0.00,14.73,28.77,28.77
20260504_161633,2,3,0,4,20,node42,node48,64.78,13.34,0.00,13.34,25.67,25.67
20260504_161633,3,4,0,4,20,node59,node44,71.35,12.58,0.00,12.58,23.52,23.52
20260504_161633,1,3,0,4,20,node59,node3,48.85,41.50,0.00,41.50,35.97,35.97
20260504_161633,2,4,0,4,20,node59,node57,78.12,21.68,0.00,21.68,30.05,30.05
20260504_161633,3,5,0,4,20,node59,node74,83.92,19.25,0.00,19.25,37.03,37.03
20260504_161633,0,5,0,4,20,node59,node68,65.97,38.27,0.00,38.27,40.99,40.99
20260504_161633,1,4,0,4,20,node59,node33,90.35,19.55,0.00,19.55,40.17,40.17
20260504_161633,3,6,0,4,20,node59,node17,103.18,17.78,0.00,17.78,34.55,34.55
20260504_161633,2,5,0,4,20,node59,node29,99.80,39.31,0.00,39.31,57.44,57.44
SUMMARY_20260504_161633,,,0,4,20,,,1.00,,,179.50,,,
