runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260507_171117,1,0,0,SSP,1967.44,100,11.29,1.48,27.47,0.07,11.22,0.00,100,4,5
20260507_171117,1,1,1,EV,1781.12,100,10.23,1.48,20.17,0.09,10.14,0.00,100,4,5
20260507_171117,1,2,2,EA,1731.07,100,10.29,1.48,20.41,0.09,10.20,0.00,100,4,5
20260507_171117,2,0,0,SSP,980.01,100,11.25,1.48,27.47,0.07,11.19,0.00,100,4,5
20260507_171117,2,1,1,EV,890.13,101,10.35,1.48,22.29,0.21,10.14,0.00,100,4,5
20260507_171117,2,2,2,EA,855.17,100,10.26,1.48,20.41,0.09,10.17,0.00,100,4,5
20260507_171117,3,0,0,SSP,657.96,101,11.54,1.48,32.04,0.29,11.25,0.00,100,4,5
20260507_171117,3,1,1,EV,596.82,100,10.33,1.48,20.25,0.19,10.13,0.00,100,4,5
20260507_171117,3,2,2,EA,573.00,102,10.53,1.48,35.41,0.27,10.26,0.00,100,4,5
20260507_171117,4,0,0,SSP,504.77,102,12.04,1.48,40.64,0.52,11.52,0.00,100,4,5
20260507_171117,4,1,1,EV,449.98,103,10.91,1.48,46.95,0.51,10.40,0.00,100,4,5
20260507_171117,4,2,2,EA,439.09,102,10.95,1.48,42.06,0.54,10.41,0.00,100,4,5
20260507_171117,5,0,0,SSP,403.34,103,11.90,1.48,30.89,0.75,11.16,0.00,100,4,5
20260507_171117,5,1,1,EV,366.94,103,10.93,1.48,36.95,0.62,10.31,0.00,100,4,5
20260507_171117,5,2,2,EA,348.26,101,10.66,1.48,29.18,0.39,10.27,0.00,100,4,5
20260507_171117,6,0,0,SSP,330.15,103,12.03,1.48,45.70,0.67,11.36,0.00,100,4,5
20260507_171117,6,1,1,EV,303.11,101,10.81,1.48,37.68,0.56,10.25,0.00,100,4,5
20260507_171117,6,2,2,EA,301.07,104,11.34,1.48,33.59,0.82,10.52,0.00,100,4,5
20260507_171117,7,0,0,SSP,277.93,101,11.59,1.48,27.47,0.44,11.15,0.00,100,4,5
20260507_171117,7,1,1,EV,254.72,101,10.80,1.48,41.96,0.62,10.18,0.00,100,4,5
20260507_171117,7,2,2,EA,258.47,105,11.52,1.48,38.03,0.98,10.54,0.00,100,4,5
20260507_171117,8,0,0,SSP,246.70,101,11.89,1.48,40.64,0.56,11.33,0.00,100,4,5
20260507_171117,8,1,1,EV,230.83,106,11.73,1.48,50.93,1.12,10.61,0.00,100,4,5
20260507_171117,8,2,2,EA,232.31,105,11.50,1.48,38.03,0.86,10.64,0.00,100,4,5
20260507_171117,9,0,0,SSP,220.53,102,12.17,1.48,43.89,0.58,11.59,0.00,100,4,5
20260507_171117,9,1,1,EV,204.11,106,11.75,1.48,43.36,1.22,10.52,0.00,100,4,5
20260507_171117,9,2,2,EA,201.95,104,11.40,0.00,39.45,0.87,10.53,0.00,100,4,5
20260507_171117,10,0,0,SSP,195.44,103,12.45,1.48,51.68,0.95,11.50,0.00,100,4,5
20260507_171117,10,1,1,EV,184.24,106,11.61,1.48,43.36,1.15,10.46,0.00,100,4,5
20260507_171117,10,2,2,EA,187.70,106,11.99,0.00,49.09,1.18,10.81,0.00,100,4,5
