runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260509_001201,1,0,0,SSP,2298.00,100,22.98,3.42,54.97,8.58,14.40,0.00,100,3,5
20260509_001201,1,1,1,EV,2046.50,100,20.46,3.42,40.48,8.22,12.24,0.00,100,3,5
20260509_001201,1,2,2,EA,2044.50,100,20.44,3.42,47.95,8.19,12.25,0.00,100,3,5
20260509_001201,2,0,0,SSP,1163.50,100,22.92,2.70,52.72,8.56,14.36,0.00,100,3,5
20260509_001201,2,1,1,EV,1030.50,100,20.40,3.42,40.48,8.20,12.20,0.00,100,3,5
20260509_001201,2,2,2,EA,1014.50,100,20.24,3.42,47.11,7.95,12.29,0.00,100,3,5
20260509_001201,3,0,0,SSP,783.50,100,22.90,3.42,56.70,8.52,14.38,0.00,100,3,5
20260509_001201,3,1,1,EV,689.00,100,20.39,3.42,44.24,8.17,12.22,0.00,100,3,5
20260509_001201,3,2,2,EA,689.00,100,20.24,3.42,47.11,7.97,12.27,0.00,100,3,5
20260509_001201,4,0,0,SSP,597.00,100,22.99,2.70,56.70,8.58,14.41,0.00,100,3,5
20260509_001201,4,1,1,EV,525.50,100,20.53,3.42,40.48,8.28,12.25,0.00,100,3,5
20260509_001201,4,2,2,EA,514.50,100,20.20,3.42,42.91,7.88,12.32,0.00,100,3,5
20260509_001201,5,0,0,SSP,474.00,100,23.01,3.42,52.72,8.72,14.29,0.00,100,3,5
20260509_001201,5,1,1,EV,415.50,100,20.55,3.42,40.48,8.34,12.21,0.00,100,3,5
20260509_001201,5,2,2,EA,426.00,100,20.32,3.42,43.32,8.00,12.32,0.00,100,3,5
20260509_001201,6,0,0,SSP,395.50,100,22.92,3.42,52.72,8.63,14.30,0.00,100,3,5
20260509_001201,6,1,1,EV,357.00,100,20.70,3.42,39.33,8.49,12.22,0.00,100,3,5
20260509_001201,6,2,2,EA,352.50,100,20.00,3.42,43.36,7.73,12.27,0.00,100,3,5
20260509_001201,7,0,0,SSP,344.50,100,22.79,3.42,49.45,8.52,14.28,0.00,100,3,5
20260509_001201,7,1,1,EV,309.00,100,20.54,3.42,39.33,8.34,12.20,0.00,100,3,5
20260509_001201,7,2,2,EA,300.50,100,19.97,0.00,43.32,7.75,12.22,0.00,100,3,5
20260509_001201,8,0,0,SSP,300.00,100,22.58,3.42,54.30,8.30,14.28,0.00,100,3,5
20260509_001201,8,1,1,EV,269.00,100,20.21,3.42,38.81,8.04,12.17,0.00,100,3,5
20260509_001201,8,2,2,EA,267.00,100,19.81,0.00,42.91,7.68,12.12,0.00,100,3,5
20260509_001201,9,0,0,SSP,270.00,100,22.83,3.42,49.63,8.41,14.42,0.00,100,3,5
20260509_001201,9,1,1,EV,237.50,100,20.34,3.42,40.20,8.12,12.22,0.00,100,3,5
20260509_001201,9,2,2,EA,242.50,100,19.72,0.00,41.73,7.58,12.14,0.00,100,3,5
20260509_001201,10,0,0,SSP,242.00,100,22.65,3.42,54.30,8.27,14.38,0.00,100,3,5
20260509_001201,10,1,1,EV,218.00,100,20.14,3.42,44.24,7.93,12.21,0.00,100,3,5
20260509_001201,10,2,2,EA,223.00,100,19.51,3.42,42.91,7.37,12.14,0.00,100,3,5
